0	ચિત્રો વડે અપૂર્ણાંકો સમજો
1	આ વિભાગના અંતે તમે નીચેનું કરી શકશો:
2	સમ અપૂર્ણાંકો શોધવા
3	અપૂર્ણાંકોને સાદું રૂપ આપવું
4	અપૂર્ણાંકોનો ગુણાકાર કરવો
5	અપૂર્ણાંકોનો ભાગાકાર કરવો
6	અપૂર્ણાંક રેખા વડે લખેલી પદાવલીઓને સાદું રૂપ આપવું
7	શબ્દસમૂહોને અપૂર્ણાંકવાળી પદાવલીઓમાં લખવા
8	આ વિભાગના વિષયોનો વધુ વિગતવાર પરિચય આ પુસ્તકમાં મળે છે:
9	પૂર્વબીજગણિત
10	પ્રકરણ,
11	અપૂર્ણાંકો
12	સમ અપૂર્ણાંકો શોધો
13	આખી વસ્તુના ભાગો દર્શાવવાની એક રીત છે. અપૂર્ણાંક
14	દર્શાવે છે કે એક આખી વસ્તુના 3 સરખા ભાગ કર્યા છે અને દરેક ભાગ એ ત્રણ સરખા ભાગોમાંનો એક છે. જુઓ
15	. અપૂર્ણાંક
16	ત્રણ સરખા ભાગોમાંના બે ભાગ દર્શાવે છે. અપૂર્ણાંકમાં
17	2ને કહે છે
18	અંશ
19	અને 3ને કહે છે
20	છેદ
21	બે વર્તુળો છે. રેખાઓ વડે દરેકના ત્રણ સરખા ભાગ કર્યા છે. ડાબા વર્તુળના દરેક ભાગમાં ‘એક તૃતીયાંશ’ લખેલું છે અને બધા ભાગમાં રંગ ભરેલો છે. જમણા વર્તુળના ત્રણમાંથી બે ભાગમાં રંગ ભરેલો છે.
22	ડાબા વર્તુળના 3 સરખા ભાગ કર્યા છે. દરેક ભાગ છે
23	જેટલો, એટલે કે 3 સરખા ભાગોમાંનો એક. જમણા વર્તુળમાં,
24	જેટલા ભાગમાં રંગ ભરેલો છે (3 સરખા ભાગોમાંથી 2).
25	હાથવગી સામગ્રીથી ગણિત શીખવાની પ્રવૃત્તિ ‘અપૂર્ણાંકોનું નિરૂપણ’ કરવાથી અપૂર્ણાંક, તેના અંશ અને છેદને વધુ સારી રીતે સમજી શકશો.
26	અપૂર્ણાંક
27	એક
28	અપૂર્ણાંક
29	આ રીતે લખાય છે:
30	જ્યાં
31	અને
32	a
33	છે
34	b
35	અપૂર્ણાંક આખી વસ્તુના ભાગો દર્શાવે છે. છેદ
36	દર્શાવે છે કે આખી વસ્તુના કેટલા સરખા ભાગ કર્યા છે, અને અંશ
37	દર્શાવે છે કે તેમાંના કેટલા ભાગ લીધા છે.
38	એક આખી પાઈના 6 ટુકડા કર્યા હોય અને આપણે બધા 6 ટુકડા ખાઈએ, તો આપણે ખાધા
39	ટુકડા, એટલે કે એક આખી પાઈ.
40	એક વર્તુળના છ ભાગ કર્યા છે. બધા ભાગમાં રંગ ભરેલો છે.
41	તેથી
42	આમાંથી એકનો ગુણધર્મ મળે છે: શૂન્ય સિવાયની કોઈ પણ સંખ્યાને તે જ સંખ્યા વડે ભાગતાં 1 મળે છે.
43	એકનો ગુણધર્મ
44	શૂન્ય સિવાયની કોઈ પણ સંખ્યાને તે જ સંખ્યા વડે ભાગતાં એક મળે છે.
45	હાથવગી સામગ્રીથી ગણિત શીખવાની પ્રવૃત્તિ ‘એકની બરાબર મૂલ્ય ધરાવતા અપૂર્ણાંકો’ કરવાથી એકના સમ અપૂર્ણાંકોને વધુ સારી રીતે સમજી શકશો.
46	જો પાઈના કર્યા હોય
47	ટુકડા અને આપણે બધા 6 ખાઈએ, તો આપણે ખાધા
48	ટુકડા, એટલે કે એક આખી પાઈ. પાઈના 8 ટુકડા કર્યા હોય અને બધા 8 ખાઈએ, તો આપણે ખાધા
49	ટુકડા, એટલે કે એક આખી પાઈ. બંને વખતે આપણે સરખો જથ્થો ખાધો—એક આખી પાઈ.
50	અપૂર્ણાંકો
51	નું મૂલ્ય સરખું, એટલે કે 1 છે; તેથી તેમને સમ અપૂર્ણાંકો કહે છે.
52	સમ અપૂર્ણાંકો
53	એ સરખું મૂલ્ય ધરાવતા અપૂર્ણાંકો છે.
54	હવે પિઝાનો વિચાર કરીએ.
