0	પૂર્ણ સંખ્યાઓનો પરિચય
1	આ વિભાગના અંતે તમે આ કરી શકશો:
2	પૂર્ણ સંખ્યાઓમાં સ્થાનકિંમતનો ઉપયોગ કરવો
3	અવયવીઓ ઓળખવા અને વિભાજ્યતાની કસોટીઓ લાગુ કરવી
4	અવિભાજ્ય અવયવીકરણ અને લઘુત્તમ સામાન્ય અવયવી શોધવા
5	આ વિભાગના વિષયોનો વધુ વિગતવાર પરિચય
6	પૂર્વબીજગણિત
7	પુસ્તકના આ પ્રકરણોમાં મળે છે:
8	પૂર્ણ સંખ્યાઓ
9	અને
10	બીજગણિતની ભાષા
11	પ્રાથમિક બીજગણિતનો અભ્યાસ શરૂ કરતાં પહેલાં આપણે કેટલીક કુશળતાઓ અને શબ્દો ફરી યાદ કરવાના છે. આ પ્રકરણમાં પૂર્ણ સંખ્યાઓ, પૂર્ણાંકો, અપૂર્ણાંકો, દશાંશ સંખ્યાઓ અને વાસ્તવિક સંખ્યાઓ પર ધ્યાન આપીશું. આપણે બીજગણિતનાં સંકેતો અને શબ્દોનો ઉપયોગ પણ શરૂ કરીશું.
12	પૂર્ણ સંખ્યાઓમાં સ્થાનકિંમતનો ઉપયોગ કરો
13	બીજગણિતમાં વપરાતી સૌથી પાયાની સંખ્યાઓ એ છે જેનાથી આપણે આસપાસની વસ્તુઓ ગણીએ છીએ: 1, 2, 3, 4 અને આમ આગળ. આને કહે છે
14	ગણતરીની સંખ્યાઓ
15	
16	. ગણતરીની સંખ્યાઓનું બીજું નામ છે
17	પ્રાકૃતિક સંખ્યાઓ
18	. ગણતરીની સંખ્યાઓમાં શૂન્ય ઉમેરીએ તો મળે છે
19	પૂર્ણ સંખ્યાઓ
20	ગણતરીની સંખ્યાઓ: 1, 2, 3, …
21	પૂર્ણ સંખ્યાઓ: 0, 1, 2, 3, …
22	“…” સંકેતને લોપચિહ્ન કહે છે. તેનો અર્થ “અને આમ આગળ” થાય છે, એટલે કે આ તરાહ અંત વિના ચાલુ રહે છે.
