portfolio_id,portfolio_name,source_project,exact_content,raw_units,source_alpha_tokens,preferred_depth,cumulative_result,prerequisite_portfolio,source_ids,notes
MV-1,Minimum viable quantitative curriculum,OpenStax,Algebra and Trigonometry 2e,94,,D2,"Coherent algebra functions and trigonometry gateway",,ACE-E002;ACE-E003,"Whole book retained because later statistics physics and calculus reuse its sequence and vocabulary."
SB-1,Secondary data bridge,OpenStax,MV-1 plus Introductory Statistics 2e,196,,D2,"Algebra plus complete one-semester applied statistics",MV-1,ACE-E002;ACE-E003,"Statistics chapters are not fully independent; partial extracts must be labeled as packets."
SB-2,Secondary STEM bridge,OpenStax,SB-1 plus College Physics 2e,479,,D2_then_D3,"Algebra/trigonometry-based quantitative science without calculus",SB-1,ACE-E002;ACE-E003,"College Physics is algebra based and does not require calculus."
UG-1,Undergraduate STEM breadth,OpenStax,SB-2 plus Chemistry 2e and Biology 2e,887,,D2,"Two-semester biology and chemistry added to mathematics statistics and physics",SB-2,ACE-E002;ACE-E003,"Terminology figure and alt-text burden rises substantially."
UG-2,Complete undergraduate STEM core,OpenStax,UG-1 plus Calculus Volumes 1 through 3,1050,,D2_then_D3,"Complete recovered eight-book suite",UG-1,ACE-E002;ACE-E003,"Calculus volumes must be sequenced 1 then 2 then 3."
FR-1,Formal-reasoning foundation,Open Logic Project,methods plus sets-functions-relations plus propositional,87,50330,D2,"Proof methods sets relations functions and propositional semantics",,ACE-A013;ACE-E004;ACE-E005,"Compact mathematical-reasoning route."
FR-2,Formal-reasoning core,Open Logic Project,FR-1 plus first-order-logic,210,120083,D2,"Syntax semantics models proof systems completeness and foundations",FR-1,ACE-A013;ACE-E004;ACE-E005,"Preferred main Open Logic educational intervention."
FR-3,Logic and computation bridge,Open Logic Project,FR-2 plus computability plus turing-machines,276,157048,D2,"Adds formal computation and undecidability",FR-2,ACE-A013;ACE-E004,"Suitable as a logic/computer-science bridge."
FR-4,Advanced formal-reasoning portfolio,Open Logic Project,full canonical reader,642,318916,D1_or_D2,"Adds set theory model theory incompleteness lambda calculus and non-classical logics",FR-2,ACE-A013;ACE-E004,"Select by official remix rather than repository order."
FR-5,Complete archival corpus,Open Logic Project,canonical plus supplements,722,367220,D1_unless_selected,"Preservation and reference scope",FR-4,ACE-A013;ACE-E004,"Not automatically a teachable sequence."
AX-1,Core accessibility package,Cross-project,semantic HTML or MathML plus screen PDF print PDF and offline package,,,parallel_to_D2,"Screen-reader-native low-bandwidth and print access",,ACE-E003;ACE-E005,"Apply to every selected language and curriculum tier rather than deferring."
AX-2,Enhanced nonvisual access,Cross-project,formula narration diagram descriptions and audio or TTS-ready text,,,separate_derivative,"Nonvisual access beyond written translation",AX-1,ACE-E003;ACE-E005,"Requires deterministic mathematical and chemistry reading conventions."
AX-3,Plain-language companion,Cross-project,definitions summaries and worked-example explanations,,,separate_derivative,"Additional cognitive-access scaffold",AX-1,ACE-E003;ACE-E005,"Supplement only; never silently replaces the source-faithful edition."
