observation_id,territory,language_or_census_label,population_measure,population_count,age_scope,literacy_count,literacy_rate,see_or_higher_count,see_or_higher_rate,instruction_language_context,reference_year,source_id,source_locator,limitations
ACE-EDU-NP01,Nepal,All mother tongues,mother tongue,29164578,total,20377980,0.762,6436335,0.221,"Instruction is mainly Nepali and English in some private schools.",2021,ACE-E010,"Tables 4.2 and 4.8; printed pp. 99 and 105-106","Literacy denominator is age 5+; attainment association is not causal."
ACE-EDU-NP02,Nepal,Nepali,mother tongue,13084457,total,10212670,0.841,3721062,0.284,"National official language and main instructional medium.",2021,ACE-E010,"Tables 4.2 and 4.8","Negative-control tendency for basic medium mismatch; advanced open-material scarcity remains separate."
ACE-EDU-NP03,Nepal,Maithili,mother tongue,3222389,total,1999641,0.686,554796,0.172,"Instruction is generally through wider languages rather than guaranteed Maithili medium.",2021,ACE-E010,"Tables 4.2 and 4.8","Socioeconomic and location factors also affect attainment."
ACE-EDU-NP04,Nepal,Bhojpuri,mother tongue,1820795,total,1134157,0.689,217309,0.119,"Instruction is generally through wider languages rather than guaranteed Bhojpuri medium.",2021,ACE-E010,"Tables 4.2 and 4.8","Census label may conceal regional variation."
ACE-EDU-NP05,Nepal,Tharu,mother tongue,1714091,total,1190346,0.748,343133,0.200,"Multiple Tharu varieties are grouped in the census; medium alignment varies locally.",2021,ACE-E010,"Tables 4.2 and 4.8","Not a single commission-ready language surface."
ACE-EDU-NP06,Nepal,Tamang,mother tongue,1423075,total,955092,0.726,241170,0.169,"Nepali is the main wider instructional language.",2021,ACE-E010,"Tables 4.2 and 4.8","Regional and dialect differences require target resolution."
ACE-EDU-NP07,Nepal,Bajjika,mother tongue,1133764,total,536143,0.538,63820,0.056,"Nepali and regional wider languages dominate formal education.",2021,ACE-E010,"Tables 4.2 and 4.8","Lowest recorded major-language attainment; causal attribution to language alone is not warranted."
ACE-EDU-NP08,Nepal,Avadhi,mother tongue,864276,total,489218,0.640,66983,0.078,"Nepali is the main wider instructional language.",2021,ACE-E010,"Tables 4.2 and 4.8","Census spelling is Avadhi; cross-border standardization needs audit."
ACE-EDU-NP09,Nepal,Nepalbhasha (Newari),mother tongue,863380,total,701710,0.852,375104,0.434,"Instruction is often not in the mother tongue, but urbanization and socioeconomic factors coincide with high attainment.",2021,ACE-E010,"Tables 4.2 and 4.8","Strong negative control against treating medium mismatch as the only determinant."
ACE-EDU-NP10,Nepal,Magar Dhut,mother tongue,810315,total,607016,0.801,172391,0.213,"Nepali is the main wider instructional language.",2021,ACE-E010,"Tables 4.2 and 4.8","Distinct from Magar Kham."
ACE-EDU-NP11,Nepal,Doteli,mother tongue,494864,total,336560,0.752,85010,0.172,"Nepali is the main wider instructional language.",2021,ACE-E010,"Tables 4.2 and 4.8","Potential close-language overlap must be measured rather than assumed."
ACE-EDU-NP12,Nepal,Urdu,mother tongue,413785,total,226788,0.632,34075,0.082,"Nepali is the main wider instructional language; Urdu is also reported as a second language.",2021,ACE-E010,"Tables 4.2 and 4.8","Count and standard are Nepal-specific; do not merge mechanically with Pakistan or India."
ACE-EDU-NP13,Nepal,Yakthung/Limbu,mother tongue,350436,total,271396,0.832,78313,0.223,"Nepali is the main wider instructional language.",2021,ACE-E010,"Tables 4.2 and 4.8","Attainment near national mean despite medium difference."
ACE-EDU-NP14,Nepal,Gurung,mother tongue,328074,total,248379,0.799,87029,0.265,"Nepali is the main wider instructional language.",2021,ACE-E010,"Tables 4.2 and 4.8","High attainment is a calibration case; association is not causal."
ACE-EDU-NP15,Nepal,Baitadeli,mother tongue,152666,total,,,8641,0.057,"Nepali is the main wider instructional language.",2021,ACE-E010,"Table 4.8","Very low recorded attainment; literacy not printed in the >300000 table."
ACE-EDU-NP16,Nepal,Rai,census mother-tongue label,144512,total,,,36900,0.255,"Nepali is the main wider instructional language.",2021,ACE-E010,"Table 4.8","Rai is an aggregate label and not a commission-ready surface."
