source_id,title,authority,reference_date_or_year,source_type,territory,measure_definition,url,source_locator,local_witness_path,local_witness_sha256,local_witness_bytes,pdf_pages,accessed_date,source_tier,confidence,limitations,provenance_table
PM-S001,"C-16 Population by Mother Tongue, Statement 1: Abstract of Speakers' Strength of Languages and Mother Tongues, Census of India 2011","Office of the Registrar General & Census Commissioner, India",2011,official census table,India,Persons returned under each census language or mother-tongue category,https://censusindia.gov.in/nada/index.php/catalog/42458/download/46089/C-16_25062018.pdf,"Statement 1, printed pp. 5-12; Part A scheduled-language totals and named mother-tongue components",private_local_witness_omitted; verify by registered URL and SHA-256,2AAC967E452FC6AF7768A1266E8F88BBD031B61C62383EBDA6B16C8E633B40F3,,,2026-08-25,1,high,"Census language categories can aggregate distinct mother tongues; Hindi parent total overlaps its listed child categories and must not be summed with them. Counts are 2011 observations, not current estimates.",ACE-A074
PM-S002,"C-17 Population by Bilingualism and Trilingualism, Census of India 2011","Office of the Registrar General & Census Commissioner, India",2011,official census workbook with bounded derived sensitivity table,India,Reported English or Hindi as first or second subsidiary language within each C-17 census language category,https://censusindia.gov.in/nada/index.php/catalog/10262/download/13374/DDW-C17-0000.XLSX,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,private_local_witness_omitted; verify by registered URL and SHA-256,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,,,2026-08-25,1,medium,"Reported language knowledge is not academic reading comfort. Sensitivity bounds in the derived table are scenario factors, not observed educational access. Categories can aggregate mother tongues.",ACE-A074
PM-S003,"Table 11: Population by Mother Tongue, Sex and Rural/Urban, Census 2023",Pakistan Bureau of Statistics,2023,official census table,Pakistan,All-localities all-sexes persons by reported mother tongue,https://www.pbs.gov.pk/wp-content/uploads/census_tables/tables/table_11_national.pdf,"Table 11, national row, PDF p. 1",private_local_witness_omitted; verify by registered URL and SHA-256,B74C5E37D943B28F625467FF3AF2AFD73F1EF79573169C9DDD026A2994D5C6F4,,,2026-08-25,1,high,"Several labels are census aggregates (for example Pushto, Balochi, Kohistani); they are not automatically single edition targets.",ACE-A074
PM-S004,Languages in Nepal: National Population and Housing Census 2021 Thematic Report,"National Statistics Office, Nepal",2021,official census thematic report,Nepal,Persons by reported mother tongue,https://censusnepal.cbs.gov.np/results/files/result-folder/Language%20in%20Nepal.pdf,"Annex 1, printed pp. 123-126",private_local_witness_omitted; verify by registered URL and SHA-256,1E41F6C52A47B93A88907007C13D2C38FDCA4303EAC203F8A5C5CF09C64086AF,,,2026-08-25,1,high,Some census labels aggregate varieties; the Sign Language entry is a census mother-tongue response category rather than a full sign-language-use census.,ACE-A074
PM-S005,"Kewarganegaraan, Suku Bangsa, Agama, dan Bahasa Sehari-hari Penduduk Indonesia: Hasil Sensus Penduduk 2010",BPS-Statistics Indonesia,2010,official census publication,Indonesia,Population aged 5 and over by language used daily at home,https://www.bps.go.id/en/publication/2012/05/23/55eca38b7fe0830834605b35/nationality--ethnicity--religion--and-dailylanguage-of-indonesian-population.html,"Table L4.1, printed p. 47 (PDF p. 55)",,,,,2026-08-25,1,high,"Home-use counts are not L1 totals. Several rows are broad language groups, including Batak and regional clusters; only individually named cells are retained here.",ACE-A074
PM-S006,Tagalog is the Most Widely Spoken Language at Home (2020 Census of Population and Housing),Philippine Statistics Authority,2020,official census press release and table,Philippines,Households by language or dialect generally spoken at home,https://psa.gov.ph/system/files/phcd/02%20-Press%20Release%20on%20Language_Dialect%20Generally%20Spoken%20at%20Home_030323_PMMJ_CRD.pdf,"Table 1, PDF p. 2",,,,,2026-08-25,1,high,"Unit is households, not persons; excludes households enumerated as homeless. Several labels, including Bisaya/Binisaya and Bikol/Bicol, aggregate varieties.",ACE-A074
PM-S007,"Peru: Perfil Sociodemográfico, Censos Nacionales 2017",Instituto Nacional de Estadística e Informática (INEI),2017,official census report,Peru,Census population aged 3 and over by language or mother tongue learned in childhood,https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1544/00TOMO_01.pdf,"Cuadro 4, printed p. 618, total column",private_local_witness_omitted; verify by registered URL and SHA-256,899D64794B9CE1596F4CBB779B293C2D4D094E0368FABC6D9A14CC53CDCFBF53,,,2026-08-25,1,high,Quechua and Aimara are aggregate census labels spanning varieties. The total column is used from a health-insurance cross-tabulation; it remains the national count for the stated age and language universe.,ACE-A074
PM-S008,"Censo de Población y Vivienda 2020: Presentación de resultados, Estados Unidos Mexicanos",Instituto Nacional de Estadística y Geografía (INEGI),2020,official census presentation,Mexico,"Population aged 3 and over who speaks an Indigenous language, by principal census linguistic grouping",https://www.inegi.org.mx/contenidos/programas/ccpv/2020/doc/Censo2020_Principales_resultados_EUM.pdf,"Chart 'Población de 3 años y más hablante de lengua indígena por principales lenguas', PDF p. 46",,,,,2026-08-25,1,high,"INEGI agrupaciones lingüísticas such as Nahuatl, Mixtec, Zapotec, Otomi, Totonac and Mazatec include multiple varieties; they must not be treated as single standardized edition targets.",ACE-A074
PM-S009,"Census Profile, 2021 Census of Population: Canada [Country]",Statistics Canada,2021,official census profile,Canada,"Mother tongue for population excluding institutional residents, 100% data",https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/page.cfm?DGUIDlist=2021A000011124&GENDERlist=1&HEADERlist=14&LANG=E&STATISTIClist=1%2C4&SearchText=Canada,"Mother tongue section, Canada profile",,,,,2026-08-25,1,high,Counts preserve named census response categories. Census confidentiality processing and multiple-response structure can affect totals; English and French rows are negative controls.,ACE-A074
PM-S010,Chart 2: Indigenous languages spoken predominantly at home by the most people,Statistics Canada,2021,official census chart,Canada,Persons speaking the named Indigenous language predominantly at home,https://www150.statcan.gc.ca/n1/daily-quotidien/220817/cg-a002-eng.htm,"Accessible chart description, Chart 2",,,,,2026-08-25,1,high,"Cree languages, Dene languages and Ojibway languages are aggregates; predominant-home-language counts are not mother-tongue or knowledge totals.",ACE-A074
