intervention_id,target_type,target_name,variety_or_register,script,territory_scope,curriculum_source,curriculum_work,curriculum_unit,adaptation_depth,formats,existing_local_status,source_ids,evidence_status,overlap_rule,notes,rankability_status,profile_tag_status,profile_resolution_status,profile_ranking_treatment,profile_negative_control_status,profile_source_ids,resolved_edition_name
NAT-001,natural_language,Bangladesh Bangla,bn-Beng-BD,Beng,Bangladesh,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; current primary population cell pending,Separate Bangladesh terminology and education baseline from Indian Bengali; deduct comfortable English access only from joint evidence.,High-reach candidate; no access-deficit percentage is inferred from population alone.,requires_exact_population_join,,,,,,
NAT-002,natural_language,Indian Bengali,bn-Beng-IN,Beng,India,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E011;ACE-A021,official 2011 mother-tongue count registered; current deficit evidence pending,Do not merge with bn-Beng-BD; deduct Hindi or English access only where measured.,Educational terminology and institutional examples require Indian localization.,requires_exact_population_join,,,,,,
NAT-003,natural_language,Telugu,te-Telu-IN,Telu,Andhra Pradesh and Telangana India,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E011;ACE-A021,official 2011 mother-tongue count registered; current deficit evidence pending,Own-language cell only; no Hindi or English blanket overlap.,State terminology and open-material census remain required for scoring.,requires_exact_population_join,,,,,,
NAT-004,natural_language,Indian Tamil,ta-Taml-IN,Taml,India,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E011;ACE-A021,official 2011 mother-tongue count registered; current deficit evidence pending,Keep India and Sri Lanka cells disjoint before any diaspora union.,Shared language does not erase institutional terminology differences.,requires_exact_population_join,,,,,,
NAT-005,natural_language,Sri Lankan Tamil,ta-Taml-LK,Taml,Sri Lanka,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; primary population and deficit evidence pending,Keep separate from ta-Taml-IN and avoid double-counting diaspora residents.,Local school and university terminology must control.,requires_exact_population_join,,,,,,
NAT-006,natural_language,Marathi,mr-Deva-IN,Deva,Maharashtra India,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E011;ACE-A021,official 2011 mother-tongue count registered; current deficit evidence pending,Devanagari script overlap with Hindi gives zero language-coverage credit.,High-reach regional-language candidate.,requires_exact_population_join,,,,,,
NAT-007,natural_language,Gujarati,gu-Gujr-IN,Gujr,Gujarat India,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E011;ACE-A021,official 2011 mother-tongue count registered; current deficit evidence pending,Own-language cell only; English and Hindi overlap remain measured variables.,Reader count is not equated with census population.,requires_exact_population_join,,,,,,
NAT-008,natural_language,Kannada,kn-Knda-IN,Knda,Karnataka India,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E011;ACE-A021,official 2011 mother-tongue count registered; current deficit evidence pending,Own-language cell only; no Dravidian-family credit.,Open university mathematics audit is still required.,requires_exact_population_join,,,,,,
NAT-009,natural_language,Malayalam,ml-Mlym-IN,Mlym,Kerala India,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E011;ACE-A021,official 2011 mother-tongue count registered; current deficit evidence pending,Deduct English comfort only with cohort evidence.,High literacy is not proof of comfortable advanced English access.,requires_exact_population_join,,,,,,
NAT-010,natural_language,Odia,or-Orya-IN,Orya,Odisha India,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E011;ACE-A021,official 2011 mother-tongue count registered; current deficit evidence pending,Own-language cell only; no Bengali or Hindi automatic coverage.,Terminology and model feasibility require direct audit.,requires_exact_population_join,,,,,,
NAT-011,natural_language,Assamese,as-Beng-IN,Beng,Assam India,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E011;ACE-A021,official 2011 mother-tongue count registered; current deficit evidence pending,Shared script with Bengali gives zero comprehension credit.,Compact FR-2 is a lower-compute first serious-mathematics edition.,requires_exact_population_join,,,,,,
NAT-012,natural_language,Pakistani Urdu,ur-Arab-PK,Arab Nastaliq,Pakistan,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E012;ACE-A021,official 2023 mother-tongue count registered; current deficit evidence pending,Do not treat Arabic Persian or Hindi editions as Urdu coverage; Hindi-Urdu reuse is compute-only until tested.,Nastaliq rendering is a production constraint not a reason to erase the candidate.,requires_exact_population_join,,,,,,
NAT-013,natural_language,Indian Urdu,ur-Arab-IN,Arab Nastaliq,India,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E011;ACE-E019;ACE-A021,official 2011 mother-tongue count and English-or-Hindi subsidiary-language union registered; academic comfort remains unknown,Keep India and Pakistan registers separate; C-17 reports 23172258 of 50772631 Urdu-category speakers with English or Hindi as a subsidiary language but this is only an overlap bound.,Sensitivity non-overlap is 0.543607303/0.771803651/0.908721461; use a shared term graph with locale-specific outputs.,requires_exact_population_join,,,,,,
NAT-014,natural_language,Eastern Punjabi,pa-Guru-IN,Guru,Punjab India,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E011;ACE-E019;ACE-A021,official 2011 mother-tongue count and English-or-Hindi subsidiary-language union registered; academic comfort remains unknown,Do not merge with pnb-Arab-PK; C-17 reports 17571723 of 33124726 Punjabi-category speakers with English or Hindi as a subsidiary language and supplies only an overlap bound.,Sensitivity non-overlap is 0.469528503/0.734764251/0.893905701; synchronized two-script architecture is IL-011.,requires_exact_population_join,,,,,,
NAT-015,natural_language,Western Punjabi,pnb-Arab-PK,Arab Shahmukhi,Pakistan,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E012;ACE-A021,official 2023 Punjabi census label is a population ceiling; exact pnb mapping pending,Count only resolved Shahmukhi cells and never add the same bilingual reader to both Punjabi outputs.,Literacy and census-label decomposition remain uncertain.,requires_exact_population_join,,,,,,
NAT-016,natural_language,Afghan Pashto,ps-Arab-AF,Arab,Afghanistan and displaced cohorts,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-A021,candidate seed; exact variety population and deficit evidence pending,Keep Afghanistan and Pakistan cells separate; deduct Dari or Urdu access only with evidence.,Regional standard and safe offline distribution must be fixed.,discovery_only_target_resolution_required,,,,,,
NAT-017,natural_language,Pakistani Pashto,ps-Arab-PK,Arab,Pakistan,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E012;ACE-A021,official 2023 Pashto umbrella count registered; exact variety mapping pending,Do not merge umbrella census count with Afghan Pashto or multiple Pakistani varieties.,Population ceiling is not commission-ready variety reach.,discovery_only_target_resolution_required,,,,,,
NAT-018,natural_language,Sindhi,sd-Arab-PK,Arab,Pakistan,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E012;ACE-A021,official 2023 mother-tongue count registered; current deficit evidence pending,Own-language cell only; Urdu bilingualism is an explicit overlap variable.,Arabic-derived script does not imply Arabic or Urdu coverage.,requires_exact_population_join,,,,,,
NAT-019,natural_language,Saraiki,skr-Arab-PK,Arab,Pakistan,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E012;ACE-A021,official 2023 mother-tongue count registered; current deficit evidence pending,Exclude from Punjabi two-script package unless a source defines tested overlap.,Separate named output preserves identity and prevents false Punjabi aggregation.,requires_exact_population_join,,,,,,
NAT-020,natural_language,Balochi Pakistan profile,bal-Arab-PK,Arab,Pakistan,Open Logic Project,Formal-reasoning core,FR-2,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E012;ACE-A021,official 2023 Balochi umbrella count registered; exact variety mapping pending,No cross-border or dialect aggregation without exact cells.,Use D0 terminology work before freezing one regional surface.,discovery_only_target_resolution_required,,,,,,
NAT-021,natural_language,Brahui,brh-Arab-PK,Arab,Pakistan,Open Logic Project,Formal-reasoning foundation,FR-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E012;ACE-A021,official 2023 mother-tongue count registered; current deficit evidence pending,Do not include in Balochi or Dravidian reuse reach.,Shared regional vocabulary may reduce compute but never creates coverage credit.,requires_exact_population_join,,,,,,
NAT-022,natural_language,Nepali,ne-Deva-NP,Deva,Nepal,OpenStax,Algebra and Trigonometry 2e,MV-1,D2,AX-HTML;AX-PDF;AX-OFFLINE,missing,ACE-E010;ACE-E013,official 2021 mother-tongue and education observations registered,National-instruction status lowers basic mismatch but does not prove open advanced-material sufficiency.,Use as a Nepal negative-control comparator while measuring advanced-material scarcity.,requires_exact_population_join,,,,,,
