intervention_id,target_type,target_name,variety_or_register,script,territory_scope,curriculum_work,curriculum_unit,formats,raw_existing_local_status,reconciliation_state,verified_covered_units,declared_total_units,residual_units,residual_deficit_fraction,deficit_effect,registered_source_ids,evidence_status,overlap_rule,notes
NAT-001,natural_language,Bangladesh Bangla,bn-Beng-BD,Beng,Bangladesh,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; current primary population cell pending,Separate Bangladesh terminology and education baseline from Indian Bengali; deduct comfortable English access only from joint evidence.,High-reach candidate; no access-deficit percentage is inferred from population alone.
NAT-002,natural_language,Indian Bengali,bn-Beng-IN,Beng,India,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E011;ACE-A021,official 2011 mother-tongue count registered; current deficit evidence pending,Do not merge with bn-Beng-BD; deduct Hindi or English access only where measured.,Educational terminology and institutional examples require Indian localization.
NAT-003,natural_language,Telugu,te-Telu-IN,Telu,Andhra Pradesh and Telangana India,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E011;ACE-A021,official 2011 mother-tongue count registered; current deficit evidence pending,Own-language cell only; no Hindi or English blanket overlap.,State terminology and open-material census remain required for scoring.
NAT-004,natural_language,Indian Tamil,ta-Taml-IN,Taml,India,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E011;ACE-A021,official 2011 mother-tongue count registered; current deficit evidence pending,Keep India and Sri Lanka cells disjoint before any diaspora union.,Shared language does not erase institutional terminology differences.
NAT-005,natural_language,Sri Lankan Tamil,ta-Taml-LK,Taml,Sri Lanka,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-A021,candidate seed; primary population and deficit evidence pending,Keep separate from ta-Taml-IN and avoid double-counting diaspora residents.,Local school and university terminology must control.
NAT-006,natural_language,Marathi,mr-Deva-IN,Deva,Maharashtra India,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E011;ACE-A021,official 2011 mother-tongue count registered; current deficit evidence pending,Devanagari script overlap with Hindi gives zero language-coverage credit.,High-reach regional-language candidate.
NAT-007,natural_language,Gujarati,gu-Gujr-IN,Gujr,Gujarat India,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E011;ACE-A021,official 2011 mother-tongue count registered; current deficit evidence pending,Own-language cell only; English and Hindi overlap remain measured variables.,Reader count is not equated with census population.
NAT-008,natural_language,Kannada,kn-Knda-IN,Knda,Karnataka India,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E011;ACE-A021,official 2011 mother-tongue count registered; current deficit evidence pending,Own-language cell only; no Dravidian-family credit.,Open university mathematics audit is still required.
NAT-009,natural_language,Malayalam,ml-Mlym-IN,Mlym,Kerala India,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E011;ACE-A021,official 2011 mother-tongue count registered; current deficit evidence pending,Deduct English comfort only with cohort evidence.,High literacy is not proof of comfortable advanced English access.
NAT-010,natural_language,Odia,or-Orya-IN,Orya,Odisha India,Algebra and Trigonometry 2e,MV-1,AX-HTML;AX-PDF;AX-OFFLINE,missing,missing,,,,,No registered target coverage: D=1 for the declared target × unit × format.,ACE-E011;ACE-A021,official 2011 mother-tongue count registered; current deficit evidence pending,Own-language cell only; no Bengali or Hindi automatic coverage.,Terminology and model feasibility require direct audit.
