observation_id,region,subregion,language_label,edition_profile,iso_639_3_or_other_id,territory,modality,script_or_profile,orthography_evidence_status,learner_stratum,measure_type,count_unit,population_low,population_base,population_high,reference_date_or_year,source_id,source_locator,source_observation_transcribed_exactly,negative_control,source_candidate_flag_superseded,target_mapping_status,observation_use,gross_population_only,rank_ready_marginal_access,overlap_group_id,alternative_measure_role,academic_lingua_franca_overlap_status,existing_edition_overlap_status,portfolio_overlap_status,common_year_status,caveats,provenance_table
POP-IN-001,Asia,South Asia,Assamese,C-16 Assamese census language category,asm,India,written_text_candidate,Bengali-Assamese,provisional_uncited_by_population_source,national_language_population,census_mother_tongue_persons,persons,15311351,15311351,15311351,2011,PM-S001,"Statement 1, printed p. 5",true,false,true,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-001-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,Category total includes named mother tongues grouped by ORGI. India C-16 census-language category can include multiple named mother-tongue components.,ACE-A078
POP-IN-002,Asia,South Asia,Bengali,C-16 Bengali census language category,ben,India,written_text_candidate,Bengali,provisional_uncited_by_population_source,national_language_population,census_mother_tongue_persons,persons,97237669,97237669,97237669,2011,PM-S001,"Statement 1, printed p. 5",true,false,true,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-002-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,Census category includes Bengali plus grouped mother tongues. India C-16 census-language category can include multiple named mother-tongue components.,ACE-A078
POP-IN-003,Asia,South Asia,Bodo,C-16 Bodo census language category,brx,India,written_text_candidate,Devanagari,provisional_uncited_by_population_source,Indigenous_or_tribal_language_population,census_mother_tongue_persons,persons,1482929,1482929,1482929,2011,PM-S001,"Statement 1, printed p. 5",true,false,true,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-003-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,"ORGI category includes Bodo, Kachari, Mech/Mechhia and Others. India C-16 census-language category can include multiple named mother-tongue components.",ACE-A078
POP-IN-004,Asia,South Asia,Dogri,C-16 Dogri census language category,doi,India,written_text_candidate,Devanagari,provisional_uncited_by_population_source,regional_language_population,census_mother_tongue_persons,persons,2596767,2596767,2596767,2011,PM-S001,"Statement 1, printed p. 5",true,false,true,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-004-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,Count is the ORGI census language category. India C-16 census-language category can include multiple named mother-tongue components.,ACE-A078
POP-IN-005,Asia,South Asia,Gujarati,C-16 Gujarati census language category,guj,India,written_text_candidate,Gujarati,provisional_uncited_by_population_source,national_language_population,census_mother_tongue_persons,persons,55492554,55492554,55492554,2011,PM-S001,"Statement 1, printed p. 5",true,false,true,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-005-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,Category includes grouped minor mother-tongue labels. India C-16 census-language category can include multiple named mother-tongue components.,ACE-A078
POP-IN-006,Asia,South Asia,Hindi,C-16 Hindi census language umbrella,hin:ORGI-006,India,written_text_candidate,Devanagari,provisional_uncited_by_population_source,national_language_umbrella,census_mother_tongue_persons,persons,528347193,528347193,528347193,2011,PM-S001,"Statement 1, printed pp. 5-6",true,false,false,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-006-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,Overlaps all child cells POP-IN-023 through POP-IN-030 and many additional listed mother tongues; never sum parent with children. India C-16 census-language category can include multiple named mother-tongue components.,ACE-A078
POP-IN-007,Asia,South Asia,Kannada,C-16 Kannada census language category,kan,India,written_text_candidate,Kannada,provisional_uncited_by_population_source,national_language_population,census_mother_tongue_persons,persons,43706512,43706512,43706512,2011,PM-S001,"Statement 1, printed p. 6",true,false,true,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-007-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,ORGI category total includes grouped mother tongues. India C-16 census-language category can include multiple named mother-tongue components.,ACE-A078
POP-IN-008,Asia,South Asia,Kashmiri,C-16 Kashmiri census language category,kas,India,written_text_candidate,Perso-Arabic; Devanagari,provisional_uncited_by_population_source,regional_language_population,census_mother_tongue_persons,persons,6797587,6797587,6797587,2011,PM-S001,"Statement 1, printed p. 7",true,false,false,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-008-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,"Census category includes Dardi, Kishtwari, Siraji and Others; not one unqualified edition target. India C-16 census-language category can include multiple named mother-tongue components.",ACE-A078
POP-IN-009,Asia,South Asia,Konkani,C-16 Konkani census language category,kok,India,written_text_candidate,Devanagari; Roman; Kannada,provisional_uncited_by_population_source,regional_language_population,census_mother_tongue_persons,persons,2256502,2256502,2256502,2011,PM-S001,"Statement 1, printed p. 7",true,false,false,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-009-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,Multiple scripts and regional standards make the census category non-unitary for production. India C-16 census-language category can include multiple named mother-tongue components.,ACE-A078
POP-IN-010,Asia,South Asia,Maithili,C-16 Maithili census language category,mai,India,written_text_candidate,Devanagari,provisional_uncited_by_population_source,regional_language_population,census_mother_tongue_persons,persons,13583464,13583464,13583464,2011,PM-S001,"Statement 1, printed p. 7",true,false,true,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,true,false,ALT-POP-IN-010-CATEGORY-COMPONENT,scheduled_language_category_parent_context,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,source_year_observation_no_projection,"ORGI category includes Maithili, Purbi Maithili, Tharu, Thati and Others. India C-16 census-language category can include multiple named mother-tongue components.",ACE-A078
