gross_ceiling_display_order,portfolio_position,intervention_id,intervention_type,intervention_name,target_profiles,output_count,territory_or_scope,portfolio_lane,population_low,population_base,population_high,source_population_low_reported,source_population_high_reported,population_interval_status,population_measure,population_years,population_observation_ids,population_source_ids,profile_authority_source_ids,profile_population_attribution,source_confidence,source_tier,deduplication_rule,evidence_caveat
1,1,NAT-121,natural_language_edition,Bahasa Indonesia,id-Latn-ID,1,Indonesia,high_reach_underserved,0,248501794,248501794,,,source_point_without_interval_model_low_zero_high_point,official_long_form_census_able_to_speak_indonesian_persons_age5plus,2022,POP-ID-018,PM-S021,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
2,2,NAT-001,natural_language_edition,Bangladesh Bangla,bn-Beng-BD,1,Bangladesh,high_reach_underserved,0,165323060,165323060,,,source_point_without_interval_model_low_zero_high_point,derived_cldr_territory_functional_language_users,2026-03-17 CLDR release; component estimate year not stated,ASSEC-BD-BN-001,ASSEC-S006,,,medium,2,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
3,4,NAT-002,natural_language_edition,Indian Bengali,bn-Beng-IN,1,India,high_reach_underserved,96177835,96177835,96177835,96177835,96177835,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-002,PM-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
4,5,NAT-028,natural_language_edition,Vietnamese,vi-Latn-VN,1,Vietnam,high_reach_underserved,89000000,89000000,89000000,89000000,,source_lower_bound_only_model_high_uses_reported_threshold,peer_reviewed_published_lower_bound_speakers,2016 publication; population estimate vintage not stated,ASSEC-VN-VI-001,ASSEC-S007,,,medium,2,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
5,8,NAT-015,natural_language_edition,Western Punjabi,pnb-Arab-PK,1,Pakistan,high_reach_underserved,88915544,88915544,88915544,88915544,88915544,source_interval_or_exact_bounds,census_mother_tongue_persons,2023,POP-PK-002,PM-S003,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
6,6,NAT-006,natural_language_edition,Marathi,mr-Deva-IN,1,India,high_reach_underserved,82801140,82801140,82801140,82801140,82801140,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-013,PM-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
7,3,NAT-003,natural_language_edition,Telugu,te-Telu-IN,1,India,high_reach_underserved,80912459,80912459,80912459,80912459,80912459,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-021,PM-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
8,7,NAT-004,natural_language_edition,Indian Tamil,ta-Taml-IN,1,India,high_reach_underserved,68888839,68888839,68888839,68888839,68888839,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-020,PM-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
9,9,NAT-038,natural_language_edition,Javanese,jv-Latn-ID,1,Indonesia,high_reach_underserved,68044660,68044660,68044660,68044660,68044660,source_interval_or_exact_bounds,daily_language_at_home_age5plus_persons,2010,POP-ID-001,PM-S005,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
10,11,NAT-029,natural_language_edition,Thai,th-Thai-TH,1,Thailand,high_reach_underserved,64080191,64080191,64080191,64080191,64080191,source_interval_or_exact_bounds,derived_union_of_mutually_exclusive_census_strata_persons,2010-09-01,TH-2010-003,TH-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
11,10,NAT-007,natural_language_edition,Gujarati,gu-Gujr-IN,1,India,high_reach_underserved,55036204,55036204,55036204,55036204,55036204,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-005,PM-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
12,14,NAT-013,natural_language_edition,Indian Urdu,ur-Arab-IN,1,India,high_reach_underserved,50725762,50725762,50725762,50725762,50725762,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-022,PM-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
13,13,NAT-008,natural_language_edition,Kannada,kn-Knda-IN,1,India,high_reach_underserved,43506272,43506272,43506272,43506272,43506272,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-007,PM-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
14,15,NAT-030,natural_language_edition,Burmese,my-Mymr-MM,1,Myanmar,high_reach_underserved,0,36817344,36817344,,,source_point_without_interval_model_low_zero_high_point,derived_cldr_territory_functional_language_users,2026-03-17 CLDR release; component estimate year not stated,ASSEC-MM-MY-001,ASSEC-S006,,,medium,2,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
15,17,EXP-003,natural_language_edition,Uzbekistan Uzbek Latin-script edition,uz-Latn-UZ,1,Uzbekistan,high_reach_underserved,35650000,35700000,35749999,35650000,35749999,source_interval_or_exact_bounds,preliminary_census_mother_tongue_persons_rounded,2026,ALG-UZ-L001,ALG-S018,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
16,16,NAT-009,natural_language_edition,Malayalam,ml-Mlym-IN,1,India,high_reach_underserved,34776533,34776533,34776533,34776533,34776533,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-011,PM-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
17,20,NAT-018,natural_language_edition,Sindhi,sd-Arab-PK,1,Pakistan,high_reach_underserved,34401564,34401564,34401564,34401564,34401564,source_interval_or_exact_bounds,census_mother_tongue_persons,2023,POP-PK-003,PM-S003,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
18,12,NAT-010,natural_language_edition,Odia,or-Orya-IN,1,India,high_reach_underserved,34059266,34059266,34059266,34059266,34059266,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-015,PM-S001,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
19,19,NAT-039,natural_language_edition,Sundanese,su-Latn-ID,1,Indonesia,high_reach_underserved,32412752,32412752,32412752,32412752,32412752,source_interval_or_exact_bounds,daily_language_at_home_age5plus_persons,2010,POP-ID-003,PM-S005,,,high,1,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
