intervention_id,mechanism_class,table6_panel,cardinal_ranking_treatment,component_subtotal_treatment,base_reuse_status,selected_for_deduplicated_portfolio,decision_reason,upstream_population_union_admissible,expected_new_named_outputs,named_outputs_with_exact_population,population_coverage_fraction_of_named_outputs,included_target_profiles,included_population_observation_ids,included_population_source_ids,population_years,included_population_observation_measures,included_population_source_locators,included_population_observation_caveats,population_evidence_status,exact_named_output_population_low,exact_named_output_population_base,exact_named_output_population_high,marginal_access_low_sum,base_marginal_access_sensitivity_sum,marginal_access_high_sum,marginal_access_high_optimistic_sensitivity_sum,marginal_score_joined_output_count,marginal_score_territory_proxy_derived_output_count,independent_named_output_tokens_base,shared_core_tokens_base,modeled_token_savings_base,named_output_compute_savings_fraction_base_sensitivity,rankable_as_observed_population_gross_sum,exclusions_and_nonadditivity,caveat,interpretation
IL-AR,pluricentric_shared_core,excluded_package_proposals,excluded,partial_or_zero_diagnostic_component_subtotals_nonadditive_noncardinal,unobserved_base_reuse_sensitivity_not_empirical_production_saving,false,exclude_incomplete_observed_population_coverage,false,0,0,,,,,,,,,no_rankable_exact_named_output_population,0,0,0,,,,,0,0,0,5702269,-5702269,,false,,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings.",No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-BCMS,pluricentric_shared_core,excluded_package_proposals,excluded,partial_or_zero_diagnostic_component_subtotals_nonadditive_noncardinal,unobserved_base_reuse_sensitivity_not_empirical_production_saving,false,exclude_incomplete_observed_population_coverage,false,3,0,0.000000,,,,,,,,no_rankable_exact_named_output_population,0,0,0,,,,,0,0,16292196,10793580,5498616,0.3749999693104601,false,bs-Latn:no eligible exact person observation;hr-Latn:no eligible exact person observation;cnr-Latn:no eligible exact person observation,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings.",No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-GERM,natural_intercomprehension_reuse,excluded_package_proposals,excluded,partial_or_zero_diagnostic_component_subtotals_nonadditive_noncardinal,unobserved_base_reuse_sensitivity_not_empirical_production_saving,false,exclude_incomplete_observed_population_coverage,false,10,1,0.100000,af-Latn,ZA-AFR-2022,ZA-S001,2022,ZA-AFR-2022=census_language_most_often_spoken_in_household_persons_age_1_plus,"ZA-AFR-2022=Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column","ZA-AFR-2022=No Nguni, Sotho-Tswana, or other family-level intelligibility coverage is inferred from this count. Exact 2022 census count for the printed language category. It measures language most often spoken in the household, not mother tongue, total speakers, literacy, or academic-language comfort. The common denominator is 59,876,448 coded persons; the table excludes 638,736 Not applicable and 258,967 Unspecified.",component_population_subtotal_nonadditive_not_rankable,6365488,6365488,6365488,0,2901071,6365488,6365488,1,1,40730490,22401770,18328720,0.44999998772418404,false,nl-Latn:no eligible exact person observation;nds-Latn-DE:no eligible exact person observation;pdt-Latn:no eligible exact person observation;pdc-Latn:no eligible exact person observation;geh-Latn:no eligible exact person observation;fy-Latn-NL:no eligible exact person observation;yi-Hebr:no eligible exact person observation;sco-Latn-GB:no eligible exact person observation;fo-Latn-FO:no eligible exact person observation,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings.","The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-IDMS,pluricentric_shared_core,excluded_package_proposals,excluded,partial_or_zero_diagnostic_component_subtotals_nonadditive_noncardinal,unobserved_base_reuse_sensitivity_not_empirical_production_saving,false,exclude_incomplete_observed_population_coverage,false,3,1,0.333333,id-Latn-ID,POP-ID-002,PM-S005,2010,POP-ID-002=daily_language_at_home_age5plus_persons,"POP-ID-002=Table L4.1, printed p. 47",POP-ID-002=Do not treat this row as total reachable Indonesian readership.,component_population_subtotal_nonadditive_not_rankable,42682566,42682566,42682566,0,20487632,42682566,42682566,1,1,12219147,8757055,3462092,0.33333333333333337,false,ms-Latn-MY:no eligible exact person observation;ms-Latn-BN:no eligible exact person observation,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings.","The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-ISV,constructed_bridge,excluded_package_proposals,excluded,partial_or_zero_diagnostic_component_subtotals_nonadditive_noncardinal,unobserved_base_reuse_sensitivity_not_empirical_production_saving,false,exclude_incomplete_observed_population_coverage,false,0,0,,,,,,,,,constructed_bridge_zero_conservative_reach,0,0,0,,,,,0,0,0,4684006,-4684006,,false,constructed bridge: exact target/task incremental comprehension is absent; conservative reach is zero,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings.",No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-MANDING,pluricentric_shared_core,excluded_package_proposals,excluded,partial_or_zero_diagnostic_component_subtotals_nonadditive_noncardinal,unobserved_base_reuse_sensitivity_not_empirical_production_saving,false,exclude_incomplete_observed_population_coverage,false,3,1,0.333333,bm-Latn-ML,POP-ML-AFG-001,AFG-S008,2022,POP-ML-AFG-001=census_mother_tongue_persons_age_3_plus,"POP-ML-AFG-001=Tableau 3.01, printed p.25, Ensemble cell for Bambara/Bamanankan","POP-ML-AFG-001=Exact published Table 3.01 Ensemble cell for the language category; not inferred from ethnicity. Table 3.01 conflicts with Annex A03 and has small internal addition discrepancies, so this value is preserved verbatim and not repaired. ISO mapping is editorial; the census table does not establish script or orthography.",component_population_subtotal_nonadditive_not_rankable,9551561,9551561,9551561,0,1701611,9551561,9551561,1,0,12219147,9368013,2851134,0.33333333333333337,false,man-Latn:no eligible exact person observation;dyu-Latn-CI:no eligible exact person observation,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings.","The displayed population is a diagnostic subtotal of separately linked named-output components. The validated upstream link and matrix controls do not authorize it as an additive package union, so it is excluded from the cardinal ranking and retained only for architecture sensitivity."
IL-PDT,pluricentric_shared_core,excluded_package_proposals,excluded,partial_or_zero_diagnostic_component_subtotals_nonadditive_noncardinal,unobserved_base_reuse_sensitivity_not_empirical_production_saving,false,exclude_incomplete_observed_population_coverage,false,2,0,0.000000,,,,,,,,no_rankable_exact_named_output_population,0,0,0,,,,,0,0,8146098,6109574,2036524,0.24999993862092007,false,prs-Arab-AF:no eligible exact person observation;tg-Cyrl-TJ:no eligible exact person observation,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings.",No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-ROM,pluricentric_shared_core,excluded_package_proposals,excluded,partial_or_zero_diagnostic_component_subtotals_nonadditive_noncardinal,unobserved_base_reuse_sensitivity_not_empirical_production_saving,false,exclude_incomplete_observed_population_coverage,false,7,0,0.000000,,,,,,,,no_rankable_exact_named_output_population,0,0,0,,,,,0,0,20365245,12219147,8146098,0.4,false,es:no eligible exact person observation;pt-BR:no eligible exact person observation;fr:no eligible exact person observation;it-Latn-IT:no eligible exact person observation;ro-Latn-RO:no eligible exact person observation;ca-Latn:no eligible exact person observation;gl-Latn-ES:no eligible exact person observation,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings.",No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-SCAND,natural_intercomprehension_reuse,excluded_package_proposals,excluded,partial_or_zero_diagnostic_component_subtotals_nonadditive_noncardinal,unobserved_base_reuse_sensitivity_not_empirical_production_saving,false,exclude_incomplete_observed_population_coverage,false,4,0,0.000000,,,,,,,,no_rankable_exact_named_output_population,0,0,0,,,,,0,0,16292196,10182623,6109573,0.3749999693104601,false,da-Latn-DK:no eligible exact person observation;nb-Latn-NO:no eligible exact person observation;nn-Latn-NO:no eligible exact person observation;sv-Latn-SE:no eligible exact person observation,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings.",No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-SQUECHUA,pluricentric_shared_core,excluded_package_proposals,excluded,partial_or_zero_diagnostic_component_subtotals_nonadditive_noncardinal,unobserved_base_reuse_sensitivity_not_empirical_production_saving,false,exclude_incomplete_observed_population_coverage,false,3,0,0.000000,,,,,,,,no_rankable_exact_named_output_population,0,0,0,,,,,0,0,12219147,8146098,4073049,0.33333333333333337,false,quy-Latn-PE:no eligible exact person observation;quz-Latn-PE:no eligible exact person observation;quh-Latn-BO:no eligible exact person observation,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings.",No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
