exposure_position,wave,allocation_lane,entry_id,entry_type,entry_name,target_profiles,territory_or_scope,component_profile_ids,population_context,population_denominator_classes,population_source_ids,direct_reader_reach_claim,shared_core_compute_reuse,education_stages,needs_profile_ids,named_output_profile_ids,why_now,first_bounded_package,follow_on_package,prerequisite_route,existing_supply_state,delivery_formats,teacher_independent_requirements,accessibility_requirements,non_overlap_rule,package_evidence_status,recommendation_status,ordering_basis,evidence_confidence,source_urls,uncertainty
1,wave_1_top10,high_reach_underserved,SHC-BN,pluricentric_shared_core_with_named_outputs,Bangla shared-source caregiver/ECE and Indian TVET residuals,bn-Beng-BD; bn-Beng-IN,Bangladesh; West Bengal and other Indian Bengali contexts,GLB-010;GLB-011,"Bangla, Bangladesh: 168,419,331 (interval 168,410,840–168,427,822) [mother_tongue_or_first_language; 2022 population / 2023 survey] | Bengali, India: 97,237,669 [mother_tongue_or_first_language; 2011] | Bengali, India: 96,177,835 [same_name_mother_tongue_component; 2011]",mother_tongue_or_first_language;same_name_mother_tongue_component,SUP-039;SUPSRC-BD-BBS-PHC2022-SEDS2023;POP-IN-002;PM-S001;POP-IN-COMP-002,"Active opportunity covers caregiver/ECE in bn-Beng-BD and secondary/TVET in bn-Beng-IN only. NAT-001 grades 2–5 readers and any shared-source core audience are excluded; country population figures are ceilings, not active stage counts.","High same-script semantic, terminology, formula, accessibility and QA reuse; two separately localized curricula and examples. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",Bangladesh caregiver/pre-primary; Indian Bengali secondary/TVET transition,HRN-005;HRN-006,bn-Beng-BD;bn-Beng-IN,Documented Bangladesh ECE participation gaps and Indian Bengali secondary/TVET material discontinuity support two distinct localized residuals. The Bangladesh grades 2–5 recovery commission is owned by NAT-001 and is excluded from this action's reader estimate.,"Produce only the residual Bangladesh 24-week caregiver/ECE component and the Indian Bengali secondary/TVET workshop-mathematics, safety, coding, finance and entrepreneurship bridge. Link the Bangladesh primary progression to NAT-001 grades 2–5 recovery; do not recommission or count that recovery component here.",Separate Bangladesh disaster-resilience and Indian Bengali first-year university overlays; then postgraduate research methods.,Oral-language/ECE entry -> grades 2-5 literacy/numeracy recovery -> lower-secondary re-entry -> TVET/applied pathway. | Secondary mastery diagnostic -> workshop mathematics/science -> TVET or first-year bridge -> research methods.,Current school books exist in both jurisdictions; the gap is mastery/continuity in Bangladesh and TVET/tertiary transition in India.,"Print, offline HTML, audio, IVR/SMS-compatible prompts and SD-card/local-server bundle. | Offline phone/desktop course graph plus print workshop cards.","Daily diagnostic cycle, full worked answers, caregiver scripts and catch-up placement/re-entry map. | Worked cases, complete answers, simulated labs and Bengali-English terminology.","Unicode Bangla, semantic math, TTS testing, captions, large-print and low-data audio. | Semantic Bangla/MathML, captions, audio, high-contrast print and keyboard navigation.",SHC-BN owns caregiver/ECE and Indian Bengali secondary/TVET only. NAT-001 owns Bangladesh grades 2–5 recovery. NAT-002 Indian Bengali grades 3–8 catch-up is a distinct stage-specific action. Do not sum learner/caregiver roles or ordinal R bands into a measured total.,literature_backed_high_reach_need,commission_documented_bounded_nonduplicative_package,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier stage_specific; least-dispatched compatible typed view mother_tongue_or_first_language|Bangladesh residents represented by the official 2023 SEDS mother-tongue estimate|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",high need evidence | medium-high,https://www.unicef.org/bangladesh/en/data-situation-children-bangladesh ; https://banglarshiksha.wb.gov.in/Frontend/e_textbook,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. Population counts do not equal affected cohorts; exact MICS indicator universes must remain attached. | Indian territorial outcomes are not a direct Bengali-speaker sample.
2,wave_1_top10,high_reach_underserved,NAT-003,natural_language_locale_output,Telugu applied STEM and tertiary-transition package,te-Telu-IN with Andhra Pradesh and Telangana overlays,"Andhra Pradesh and Telangana, India",GLB-012,"Telugu: 81,127,740 [mother_tongue_or_first_language; 2011] | Telugu: 80,912,459 [same_name_mother_tongue_component; 2011]",mother_tongue_or_first_language;same_name_mother_tongue_component,POP-IN-021;PM-S001;POP-IN-COMP-021,"The 80,912,459 census component is an L1 gross ceiling, not a measured affected learner cohort.",Reuse source semantics and labs across two state overlays; each curriculum crosswalk remains distinct. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,secondary/TVET; first-year tertiary; professional continuing education,HRN-007,te-Telu-IN,"A large exact L1 population and substantial school supply point to the school-to-TVET/first-year transition, not another primary textbook series.","Produce applied secondary/TVET/first-year STEM, coding, financial safety and entrepreneurship with Telugu–English terminology and offline simulations.","Agriculture/climate, health and SME continuing education, then postgraduate research methods and reproducibility.",Secondary prerequisite repair -> TVET/applied STEM -> first-year bilingual bridge -> professional/research methods.,Both states have substantial school stocks; audited vocational output is much smaller.,"Offline simulations, semantic HTML/EPUB/PDF and print practical guides.","Placement, full solutions, terminology crosswalk, low-cost laboratories and career cases.","Telugu screen-reader/font testing, semantic math, captions and reflow.",Do not average Andhra Pradesh and Telangana outcomes or treat one state curriculum as the other.,literature_backed_high_reach_need,commission_documented_bounded_nonduplicative_package,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier stage_specific; least-dispatched compatible typed view mother_tongue_or_first_language|national_language_population|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",medium-high,https://www.scert.telangana.gov.in/Home.aspx/Pdf/Displaycontent.aspx?encry=ammkNW4%2Fgx+NeApstGPX+A%3D%3D ; https://nimi.gov.in/web/pdf/Annual%20Report-2025_English%20Version.pdf,"Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The exact need is stage/territory specific, not one uniform Telugu deficit. ASER is rural and territorial; Andhra Pradesh and Telangana differ materially and should not be averaged into a fake single rate Andhra Pradesh and Telangana require separate curriculum crosswalks."
3,wave_1_top10,regional_depth,NAT-010,natural_language,Odia,or-Orya-IN,Odisha India,GLB-018,"Odia: 37,521,324 [mother_tongue_or_first_language; 2011] | Odia: 34,059,266 [same_name_mother_tongue_component; 2011]",mother_tongue_or_first_language;same_name_mother_tongue_component,POP-IN-015;PM-S001;POP-IN-COMP-015,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",secondary through first-year tertiary,,or-Orya-IN,Use ISO 639-3 `ory` in research tables; keep `or` as tooling alias.,"Produce the registered MV-1 Minimum viable quantitative curriculum for this exact named output: Algebra and Trigonometry 2e; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,Supply inventory incomplete.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Below 50M on verified measures.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle regional_depth; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view mother_tongue_or_first_language|national_language_population|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,ACE-E011;ACE-A021,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing. Below 50M on verified measures.
4,wave_1_top10,high_reach_underserved,NAT-125,natural_language,Bhojpuri (India),bho-Deva-IN,India,GLB-052,"Bhojpuri, India: 50,579,447 [mother_tongue_or_first_language; 2011]",mother_tongue_or_first_language,POP-IN-023;PM-S001,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",foundational numeracy through algebra,HRN-020,bho-Deva-IN,"The exact 50,579,447 mother-tongue return establishes scale but not literacy, academic comfort, current population or the number newly served; Hindi academic-reading overlap is unmeasured.","Create a declared versioned Devanagari Bhojpuri editorial register and a teacher-independent foundational-numeracy-through-algebra sequence with diagnostics, full worked answers, phone/offline delivery, audio, and Bhojpuri-to-Hindi bridge terminology.","After an exact supply audit, add missing secondary/TVET practical science, health, finance and computing; keep tertiary/professional work as a separately evidenced residual.",Bhojpuri oral/Devanagari entry diagnostic -> foundational numeracy -> pre-algebra/algebra -> secondary/TVET bridge -> separately audited tertiary residual.,"Official sources evidence Hindi-medium schooling and some Bhojpuri-as-subject provision, but no continuous open Bhojpuri-medium mathematics/STEM sequence has been evidenced.","Download-once semantic HTML/MathML, EPUB, tagged PDF, print workbook and low-data audio; no login required.",Entry diagnostic; Bhojpuri oral-to-Devanagari support; complete worked feedback; explicit Hindi bridge glossary; reversible Bihar/eastern-UP terminology overlays.,"Devanagari font/TTS/screen-reader tests, semantic mathematics, reflow, captions/transcripts, large print and keyboard navigation.","Never add Bhojpuri to the parent Hindi census umbrella; award zero automatic Hindi comprehension credit; keep Nepal, Mauritius, Magahi and Maithili outputs separate.",literature_backed_high_reach_need,commission_documented_bounded_nonduplicative_package,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier stage_specific; least-dispatched compatible typed view mother_tongue_or_first_language|regional_language_population|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",high exact population identity; medium supply diagnosis,https://censusindia.gov.in/nada/index.php/catalog/10191 ; https://censusindia.gov.in/nada/index.php/catalog/45247/download/48954/LSI_BIHAR.pdf ; https://scert.bihar.gov.in/public/uploads/deled_books/S-9-D_PEDAGOGY_OF_ENGLISH_%282%291.pdf ; https://bstbpc.bihar.gov.in/Class9.aspx?download=zwtpxAyp.html,"Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. Devanagari is a defensible production default, not proof of one transregional standard. The 50,579,447 count is a 2011 India mother-tongue return nested within the 528,347,193 Census Hindi umbrella; it is not a current, all-variety, literacy, academic-comfort, India-plus-Nepal, or diaspora count. Devanagari is a production default, not proof of one transregional standard."
5,wave_1_top10,high_reach_underserved,SHC-HAUSA,cross_border_shared_core_with_named_orthographies,Hausa boko Nigeria–Niger package with optional established Ajami layers,ha-Latn-NG; ha-Latn-NE; optional locally established ha-Arab layers,Nigeria and Niger; cross-border communities,GLB-037,"Hausa Boko country outputs: 58,000,000 [published_or_derived_speaker_estimate; 2022] | Hausa Boko country outputs: 94,000,000 [published_or_derived_speaker_estimate; 2022]",published_or_derived_speaker_estimate,SUP-026;SUPSRC-NEWMAN-HAUSA-2022;SUP-027;SUPSRC-WORLDBANK-HAUSA-2022,No 94M written-reader claim; L1 and total-user estimates remain alternative gross universes.,High semantic core reuse; country orthographies and every Ajami layer stay explicit and separately validated. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,foundational literacy/numeracy; secondary/TVET; practical professional learning,HRN-014,ha-Latn-NG;ha-Latn-NE,"Hausa has a very large L1/L2 universe and unusually strong cross-border reuse potential, but script, literacy and country-curriculum reach are not one number.","Build boko structured literacy/numeracy with diagnostics and Hausa↔English in Nigeria / Hausa↔French in Niger; add print, radio, IVR and optional established Ajami parallel text/audio.","Secondary/TVET science, agriculture, public health, computing, mobile-money safety, microenterprise, livestock/water and solar/GSM trades; then tertiary statistics/R/Python.",Boko/Ajami placement and oral-literacy entry -> foundational mastery -> practical TVET -> statistics/programming/open science.,"Foundational Hausa resources exist, but progression, offline feedback and advanced/practical supply remain thinner.","Print, radio, IVR, basic-phone and offline HTML/PDF.","Structured phonics/mastery, full feedback, country terminology and practical projects.","Audio, large print, semantic boko, optional local Ajami and captions/transcripts.",Never invent one universal Ajami or convert oral user estimates into written educational reach.,literature_backed_high_reach_need,commission_documented_bounded_nonduplicative_package,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 2 is diagnostic only (planning inference is not measurement); package-evidence policy tier stage_specific; least-dispatched compatible typed view mother_tongue_or_first_language|Unspecified global L1 universe|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",high need regime; low exact written reach,https://assets.cambridge.org/97810091/24300/excerpt/9781009124300_excerpt.pdf ; https://education.gov.ng/e-learning-resources/,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. A compatible functional-reader denominator remains unresolved. 60M and 94M source universes differ; optional Ajami has separate unknown readership.
6,wave_1_top10,regional_depth,NAT-082,natural_language,Bambara,bm-Latn-ML,Mali,,"Mali Bamanankan Latin-script edition: 9,551,561 [census_mother_tongue_persons_age_3_plus; 2022]",census_mother_tongue_persons_age_3_plus,POP-ML-AFG-001;AFG-S008,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",upper-secondary through undergraduate formal reasoning,,bm-Latn-ML,N'Ko literacy is a separate script derivative.,"Produce the registered FR-2 Formal-reasoning core for this exact named output: FR-1 plus first-order-logic; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded FR-2 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry -> FR-1 -> FR-2.,No edition recorded in the bounded project inventory; external/local educational supply has not been assessed by this field.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Manding package saves compute; named Bambara output claims only Bambara cells.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle regional_depth; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view mother_tongue_or_first_language|unspecified_source_stratum|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,ACE-A021,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.
7,wave_1_top10,high_reach_underserved,NAT-124,natural_language,Standard Hindi first-year and research-methods bridge,hi-Deva-IN,India,GLB-007,"Standard Hindi, India: 322,230,097 [same_name_mother_tongue_component; 2011]",same_name_mother_tongue_component,POP-IN-COMP-006;PM-S001,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,High semantic/formula reuse Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,first-year tertiary through active researcher,HRN-004,hi-Deva-IN,"The sharper discontinuity is higher education and professional/research continuity, not absence of all Hindi school books.","Produce the Hindi first-year physics, chemistry, biology, statistics, computing, economics and management bridges with research design, R/Python and open-science methods. NAT-124 owns this exact Hindi component; IL-HU reuses its semantic/formula core for two separate Urdu locale outputs without recommissioning Hindi.","Current health, agriculture, cyber-finance and SME continuing education, then accessible catch-up practice only where exact gaps remain.",Bilingual secondary diagnostic -> first-year disciplinary bridge -> statistics/programming -> postgraduate research methods.,NCERT/DIKSHA school provision is extensive; DIKSHA supports offline use and many languages; Hindi had the largest audited NIMI vocational output.,Offline bilingual HTML/EPUB/PDF plus low-cost laboratory/simulation assets.,"Complete exercises/answers, terminology crosswalk, prerequisites, research datasets and reproducible notebooks.","Devanagari screen-reader testing, semantic math, captions, reflow and print.",NAT-124 is the sole owner of this hi-Deva-IN first-year/professional/methods package. IL-HU owns Urdu outputs only. Exclude Bhojpuri and other Hindi-umbrella returns; neither source reuse nor bilingual overlap creates another Hindi audience.,literature_backed_high_reach_need,commission_documented_bounded_nonduplicative_package,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier stage_specific; least-dispatched compatible typed view mother_tongue_or_first_language|same_name_mother_tongue_component_population|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",high broad stage diagnosis,https://pmevidya.education.gov.in/diksha.html ; https://ncert.nic.in/accessibility.php/textbook.php ; https://nimi.gov.in/web/pdf/Annual%20Report-2025_English%20Version.pdf ; https://nptel.ac.in/translation,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. Use the exact same-name Hindi population only within its measure class. Bhojpuri and other named returns are nested in the census Hindi umbrella.
8,wave_1_top10,endangered_prestige,EXP-026,natural_language,Peru Ashaninka Latin-script edition,cni-Latn-PE,Peru,,"Ashaninka: 73,567 [census_language_learned_in_childhood_age3plus_persons; 2017]",census_language_learned_in_childhood_age3plus_persons,POP-PE-003;PM-S007,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",secondary through first-year tertiary,,cni-Latn-PE,Americas balance; exact Indigenous-language cell,"Produce the registered MV-1 Minimum viable quantitative curriculum for this exact named output: Algebra and Trigonometry 2e; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,External and local supply not yet assessed for this exact output.,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Separate childhood-language category; do not add to aggregate Quechua/Aimara rows or to other measures without a common-universe proof.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle endangered_prestige; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view unknown|unknown|unknown; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,PM-S007;TP-S001-IANA;TP-S002-CLDR,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
9,wave_1_top10,high_reach_underserved,GLB-027,learned_lingua_franca,Russian learned standard,ru-Cyrl-RU; localized successor-state overlays,Europe/Central Asia,GLB-027,"Russian learned standard: 134,319,233 [functional_language_ability_or_estimate; 2021-10-01] | Russian learned standard: 132,317,159 [home_or_usual_language_use; 2021-10-01]",functional_language_ability_or_estimate;home_or_usual_language_use,SUP-014;SUPSRC-RU-ROSSTAT-CENSUS-2021;SUP-015,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",professional/postgraduate/research,HRN-019,ru-Cyrl-RU,"The marginal need is reuse/accessibility/current methods and exact frontier gaps, not wholesale school translation.","Open, accessible, no-login/offline statistics/causal inference, reproducible Python/R, research integrity, open licensing/data stewardship and AI evidence evaluation with applied tracks.",Exact modern frontier review/monograph translations and semantic-accessible editions only where inventory proves absence.,Disciplinary prerequisite check -> statistics/programming/research integrity -> reproducible professional/research work -> exact frontier gaps.,National Open Education and Math-Net show strong university/research infrastructure; rights and full-text access vary.,Open no-login offline semantic bundle plus source and print.,"Exercises/answers, reproducible notebooks, datasets and bilingual search/navigation where relevant.","Cyrillic semantic text/math, captions, screen-reader testing and reflow.","Russian competence is not blanket coverage for Indigenous, displaced, diaspora or successor-state communities.",literature_backed_high_reach_need,commission_exact_accessibility_professional_or_frontier_residual_only,"Declared lane cycle high_reach_underserved; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier stage_specific; least-dispatched compatible typed view home_or_usual_language_use|Respondents answering language-use question|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",high supply diagnosis,https://openedu.ru/ ; https://www.mathnet.ru/ ; https://www.mathnet.ru/ej.phtml?jorder=jrn&jrnid=&option_lang=eng,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. Global speaker estimates do not measure academic comfort or unique residual. Knowledge may mean speaking only; no automatic written competence or ex-Soviet community coverage.
10,wave_1_top10,regional_depth,NAT-058,natural_language,Dari,prs-Arab-AF,Afghanistan and displaced cohorts,,"Dari: 30,083,114 [derived_2020_total_speakers_from_official_secondary_share_and_world_bank_denominator; 2020 estimate; republished in official report 2023]",derived_2020_total_speakers_from_official_secondary_share_and_world_bank_denominator,ASSEC-AF-PRS-001;ASSEC-S018,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach.,High semantic reuse with script/locale deltas Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,secondary through first-year tertiary,,prs-Arab-AF,Shared source and term graph can reduce compute.,"Produce the registered MV-1 Minimum viable quantitative curriculum for this exact named output: Algebra and Trigonometry 2e; adaptation D2; include placement diagnostics, complete worked answers, editable source, and download-once delivery.","After the bounded MV-1 package, extend only after an itemized local supply and stage audit; preserve the same named profile and non-overlap rules.",Diagnostic entry and any source-stated prerequisites -> MV-1.,missing; Iranian Persian complete,AX-HTML;AX-PDF;AX-OFFLINE,"Placement checks, explicit prerequisite repair, complete worked examples and answers, self-check feedback, and no required teacher or live platform.","Semantic headings and mathematics/MathML, keyboard navigation, captions/transcripts for media, reflow, tested fonts and text extraction, low-bandwidth assets, and printable fallback.",Iranian Persian yields zero credit until directional register comprehension is measured.,registered_curriculum_package_provisional_local_need_fit,commission_after_exact_work_stage_format_scope,"Declared lane cycle regional_depth; no remaining dominance predecessors in the planning view; static opportunity layer 1 is diagnostic only (planning inference is not measurement); package-evidence policy tier registered_provisional; least-dispatched compatible typed view institutional_speaker_estimate|total_language_speakers_L1_plus_L2_nonexclusive|persons; within-view gross stratum, target/route specificity, then stable ID. Gross scope is not newly comfortable reach.",population provenance registered; local need fit provisional; marginal increment unmeasured,ACE-A009;ACE-A021,Listed measures are alternatives or separate territories unless the source explicitly establishes disjointness; they are not summed into direct reach. The fixed OpenStax scenario classifies compute scale only; it does not establish that this content is locally missing.
