scenario,entry_id,base_position,scenario_position,R,S,A,N,V,P,F,D,interpretation
cautious,ACC-012,103,103,RU,SU,AU,NU,V3,P4,F1,D2,"Conditional planning/scope sensitivity; not measured benefits, probability bounds or a confidence interval."
cautious,ACC-013,107,107,RU,SU,AU,NU,VU,PU,FU,DU,"Conditional planning/scope sensitivity; not measured benefits, probability bounds or a confidence interval."
cautious,ACC-014,111,111,RU,SU,AU,NU,VU,PU,FU,DU,"Conditional planning/scope sensitivity; not measured benefits, probability bounds or a confidence interval."
cautious,ACC-015,115,115,RU,SU,AU,NU,V3,P4,F1,D3,"Conditional planning/scope sensitivity; not measured benefits, probability bounds or a confidence interval."
cautious,ACC-016,119,119,RU,SU,AU,NU,V2,P4,F2,D2,"Conditional planning/scope sensitivity; not measured benefits, probability bounds or a confidence interval."
cautious,EXP-004,26,23,RU,SU,AU,NU,VU,PU,FU,DU,"Conditional planning/scope sensitivity; not measured benefits, probability bounds or a confidence interval."
cautious,EXP-005,40,33,RU,SU,AU,NU,VU,PU,FU,DU,"Conditional planning/scope sensitivity; not measured benefits, probability bounds or a confidence interval."
cautious,EXP-006,50,40,RU,SU,AU,NU,VU,PU,FU,DU,"Conditional planning/scope sensitivity; not measured benefits, probability bounds or a confidence interval."
cautious,EXP-007,56,46,RU,SU,AU,NU,VU,PU,FU,DU,"Conditional planning/scope sensitivity; not measured benefits, probability bounds or a confidence interval."
cautious,EXP-008,63,50,RU,SU,AU,NU,VU,PU,FU,DU,"Conditional planning/scope sensitivity; not measured benefits, probability bounds or a confidence interval."
cautious,EXP-009,66,53,RU,SU,AU,NU,VU,PU,FU,DU,"Conditional planning/scope sensitivity; not measured benefits, probability bounds or a confidence interval."
cautious,EXP-010,70,56,RU,SU,AU,NU,VU,PU,FU,DU,"Conditional planning/scope sensitivity; not measured benefits, probability bounds or a confidence interval."
cautious,EXP-011,73,60,RU,SU,AU,NU,VU,PU,FU,DU,"Conditional planning/scope sensitivity; not measured benefits, probability bounds or a confidence interval."
cautious,EXP-013,76,63,RU,SU,AU,NU,VU,PU,FU,DU,"Conditional planning/scope sensitivity; not measured benefits, probability bounds or a confidence interval."
