portfolio_id,adaptation_depth,scenario,source_token_measure,source_tokens_before_depth,depth_multiplier,effective_source_tokens,editable_units,uncached_input_tokens,cached_input_tokens,output_tokens,gross_tokens,api_equivalent_usd,source_ids,caveat
MV-1,D2,low,measured,394473,0.6,236684,94,652075,133245,301826,1087145,8.7,ACE-A030,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
MV-1,D2,base,measured,394473,0.7,276131,94,2763601,762105,830305,4356012,27.97,ACE-A030,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
MV-1,D2,high,measured,394473,0.8,315578,94,11666400,3948000,3015629,18630029,108.56,ACE-A030,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
MV-1,D3,low,measured,394473,1,394473,94,990142,133245,489042,1612429,13.79,ACE-A030,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
MV-1,D3,base,measured,394473,1,394473,94,3565191,762105,1146722,5474018,37.5,ACE-A030,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
MV-1,D3,high,measured,394473,1,394473,94,13461261,3948000,3664540,21073801,128.72,ACE-A030,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
SB-1,D2,low,algebra measured; statistics estimated,754031,0.6,452419,196,1157668,277830,557795,1993293,15.9,ACE-A030;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
SB-1,D2,base,algebra measured; statistics estimated,908127,0.7,635689,196,5419591,1589070,1791673,8800335,58.15,ACE-A030;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
SB-1,D2,high,algebra measured; statistics estimated,1062223,0.8,849778,196,24890450,8232000,7409424,40531874,251.04,ACE-A030;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
SB-1,D3,low,algebra measured; statistics estimated,754031,1,754031,196,1803879,277830,915658,2997367,25.64,ACE-A030;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
SB-1,D3,base,algebra measured; statistics estimated,908127,1,908127,196,7264950,1589070,2520105,11374125,80.1,ACE-A030;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
SB-1,D3,high,algebra measured; statistics estimated,1062223,1,1062223,196,29723573,8232000,9156784,47112357,305.32,ACE-A030;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
SB-2,D2,low,algebra measured; statistics and physics estimated,1876328,0.6,1125797,479,2720743,678983,1356758,4756484,38.29,ACE-A030;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
SB-2,D2,base,algebra measured; statistics and physics estimated,2511408,0.7,1757986,479,13633316,3883492,4792415,22309224,151.93,ACE-A030;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
SB-2,D2,high,algebra measured; statistics and physics estimated,3146488,0.8,2517190,479,65795572,20118000,21123888,107037460,693.71,ACE-A030;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
SB-2,D3,low,algebra measured; statistics and physics estimated,1876328,1,1876328,479,4328774,678983,2247263,7255020,62.53,ACE-A030;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
SB-2,D3,base,algebra measured; statistics and physics estimated,2511408,1,2511408,479,18736620,3883492,6806877,29426990,212.64,ACE-A030;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
SB-2,D3,high,algebra measured; statistics and physics estimated,3146488,1,3146488,479,80112102,20118000,26299864,126529966,854.49,ACE-A030;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
UG-1,D2,low,algebra measured; statistics physics chemistry biology estimated,3516224,0.6,2109734,887,5002355,1257323,2524199,8783876,71,ACE-A030;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
UG-1,D2,base,algebra measured; statistics physics chemistry biology estimated,4854116,0.7,3397881,887,25623241,7191352,9177084,41991678,288.91,ACE-A030;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
UG-1,D2,high,algebra measured; statistics physics chemistry biology estimated,6192009,0.8,4953607,887,125508059,37254000,41163418,203925477,1340.2,ACE-A030;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
UG-1,D3,low,algebra measured; statistics physics chemistry biology estimated,3516224,1,3516224,887,8015795,1257323,4193000,13466117,116.43,ACE-A030;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
UG-1,D3,base,algebra measured; statistics physics chemistry biology estimated,4854116,1,4854116,887,35487049,7191352,13070693,55749094,406.24,ACE-A030;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
UG-1,D3,high,algebra measured; statistics physics chemistry biology estimated,6192009,1,6192009,887,153681705,37254000,51349274,242284979,1656.61,ACE-A030;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
UG-2,D2,low,algebra and calculus measured; four science/statistics books estimated,4139088,0.6,2483453,1050,5872373,1488375,2967617,10328365,83.44,ACE-A030;ACE-A031;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
UG-2,D2,base,algebra and calculus measured; four science/statistics books estimated,5476980,0.7,3833886,1050,28928927,8512875,10342853,47784655,325.98,ACE-A030;ACE-A031;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
UG-2,D2,high,algebra and calculus measured; four science/statistics books estimated,6814873,0.8,5451898,1050,138555680,44100000,45261861,227917541,1477.1,ACE-A030;ACE-A031;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
UG-2,D3,low,algebra and calculus measured; four science/statistics books estimated,4139088,1,4139088,1050,9419612,1488375,4932028,15840015,136.91,ACE-A030;ACE-A031;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
UG-2,D3,base,algebra and calculus measured; four science/statistics books estimated,5476980,1,5476980,1050,40058424,8512875,14736075,63307374,458.36,ACE-A030;ACE-A031;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
UG-2,D3,high,algebra and calculus measured; four science/statistics books estimated,6814873,1,6814873,1050,169563361,44100000,56472330,270135691,1825.34,ACE-A030;ACE-A031;curriculum complexity prior,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-1,D2,low,measured source closure,50330,0.6,30198,87,206697,123323,56830,386849,2.01,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-1,D2,base,measured source closure,50330,0.7,35231,87,1116731,705353,186199,2008283,8.47,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-1,D2,high,measured source closure,50330,0.8,40264,87,5329506,3654000,751171,9734677,37.8,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
FR-1,D3,low,measured source closure,50330,1,50330,87,249830,123323,80717,453869,2.66,ACE-A013,API-equivalent scenario only; not observed usage and not a conversion of weekly Codex compute. D2 scales source scope while retaining all module-level prompt overhead.
