population_cell_id,region,subregion,language_name,variety_name,iso_639_3_or_other_id,territory,source_reported_script,source_reported_orthography,modality,learner_stratum,measure_type,count_unit,population_low,population_base,population_high,reference_year,source_id,source_locator,confidence,source_observation_transcribed_exactly,negative_control,producer_strict_reach_flag_superseded,target_mapping_status,observation_use,gross_population_only,rank_ready_marginal_access,requires_intervention_edge,orthography_evidence_status,academic_lingua_franca_overlap_status,existing_edition_overlap_status,portfolio_overlap_status,overlap_group_id,alternative_measure_role,hierarchy_parent_cell_id,overlap_source_id,c17_nonoverlap_low,c17_nonoverlap_base,c17_nonoverlap_high,corrected_written_population_low,corrected_written_population_base,corrected_written_population_high,common_year_status,overlap_notes,caveats,audit_notes
POP-IN-001,Asia,South Asia,Assamese,C-16 Assamese census language category,asm,India,Bengali-Assamese,standard Assamese orthography,written_text_candidate,national_language_population,census_mother_tongue_persons,persons,15311351,15311351,15311351,2011,PM-S001,"Statement 1, printed p. 5",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.747428101,0.873714050,0.949485620,,,,source_year_observation_no_projection,C-17 sensitivity factors only; reported English/Hindi knowledge is not academic comfort.,Category total includes named mother tongues grouped by ORGI.,India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-002,Asia,South Asia,Bengali,C-16 Bengali census language category,ben,India,Bengali,standard Bengali orthography,written_text_candidate,national_language_population,census_mother_tongue_persons,persons,97237669,97237669,97237669,2011,PM-S001,"Statement 1, printed p. 5",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.854331411,0.927165706,0.970866282,,,,source_year_observation_no_projection,C-17 sensitivity factors only; reported English/Hindi knowledge is not academic comfort.,Census category includes Bengali plus grouped mother tongues.,India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-003,Asia,South Asia,Bodo,C-16 Bodo census language category,brx,India,Devanagari,standard Bodo Devanagari,written_text_candidate,Indigenous_or_tribal_language_population,census_mother_tongue_persons,persons,1482929,1482929,1482929,2011,PM-S001,"Statement 1, printed p. 5",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.819201054,0.909600527,0.963840211,,,,source_year_observation_no_projection,C-17 sensitivity factors only; reported English/Hindi knowledge is not academic comfort.,"ORGI category includes Bodo, Kachari, Mech/Mechhia and Others.",India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-004,Asia,South Asia,Dogri,C-16 Dogri census language category,doi,India,Devanagari,standard Dogri Devanagari; Takri heritage,written_text_candidate,regional_language_population,census_mother_tongue_persons,persons,2596767,2596767,2596767,2011,PM-S001,"Statement 1, printed p. 5",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.329193955,0.664596978,0.865838791,,,,source_year_observation_no_projection,C-17 sensitivity factors only; reported English/Hindi knowledge is not academic comfort.,Count is the ORGI census language category.,India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-005,Asia,South Asia,Gujarati,C-16 Gujarati census language category,guj,India,Gujarati,standard Gujarati orthography,written_text_candidate,national_language_population,census_mother_tongue_persons,persons,55492554,55492554,55492554,2011,PM-S001,"Statement 1, printed p. 5",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.584923628,0.792461814,0.916984726,,,,source_year_observation_no_projection,C-17 sensitivity factors only; reported English/Hindi knowledge is not academic comfort.,Category includes grouped minor mother-tongue labels.,India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-006,Asia,South Asia,Hindi,C-16 Hindi census language umbrella,hin:ORGI-006,India,Devanagari,Hindi census umbrella; not equivalent to Standard Hindi,written_text_candidate,national_language_umbrella,census_mother_tongue_persons,persons,528347193,528347193,528347193,2011,PM-S001,"Statement 1, printed pp. 5-6",high,true,false,false,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.933268986,0.966634493,0.986653797,,,,source_year_observation_no_projection,C-17 sensitivity factors apply only to the same Hindi umbrella; knowledge is not academic comfort.,Overlaps all child cells POP-IN-023 through POP-IN-030 and many additional listed mother tongues; never sum parent with children.,India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-007,Asia,South Asia,Kannada,C-16 Kannada census language category,kan,India,Kannada,standard Kannada orthography,written_text_candidate,national_language_population,census_mother_tongue_persons,persons,43706512,43706512,43706512,2011,PM-S001,"Statement 1, printed p. 6",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.854699066,0.927349533,0.970939813,,,,source_year_observation_no_projection,C-17 sensitivity factors only; reported English/Hindi knowledge is not academic comfort.,ORGI category total includes grouped mother tongues.,India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-008,Asia,South Asia,Kashmiri,C-16 Kashmiri census language category,kas,India,Perso-Arabic; Devanagari,script choice is community and territory dependent,written_text_candidate,regional_language_population,census_mother_tongue_persons,persons,6797587,6797587,6797587,2011,PM-S001,"Statement 1, printed p. 7",high,true,false,false,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.824751489,0.912375745,0.964950298,,,,source_year_observation_no_projection,C-17 sensitivity factors only; reported English/Hindi knowledge is not academic comfort.,"Census category includes Dardi, Kishtwari, Siraji and Others; not one unqualified edition target.",India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-009,Asia,South Asia,Konkani,C-16 Konkani census language category,kok,India,Devanagari; Roman; Kannada,multiple standardized regional orthographies,written_text_candidate,regional_language_population,census_mother_tongue_persons,persons,2256502,2256502,2256502,2011,PM-S001,"Statement 1, printed p. 7",high,true,false,false,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.474232241,0.737116120,0.894846448,,,,source_year_observation_no_projection,C-17 sensitivity factors only; reported English/Hindi knowledge is not academic comfort.,Multiple scripts and regional standards make the census category non-unitary for production.,India C-16 census-language category can include multiple named mother-tongue components.
POP-IN-010,Asia,South Asia,Maithili,C-16 Maithili census language category,mai,India,Devanagari,standard Devanagari; Tirhuta heritage,written_text_candidate,regional_language_population,census_mother_tongue_persons,persons,13583464,13583464,13583464,2011,PM-S001,"Statement 1, printed p. 7",high,true,false,true,c16_census_language_aggregate,aggregate_upper_bound_requires_same_name_component_or_target_fit,true,false,true,provisional_uncited_by_population_source,bounded_category_proxy_available,pending_central_coverage_join,unmeasured_beyond_single_observation,,standalone_observation,,PM-S002,0.464892240,0.732446120,0.892978448,,,,source_year_observation_no_projection,C-17 sensitivity factors only; reported English/Hindi knowledge is not academic comfort.,"ORGI category includes Maithili, Purbi Maithili, Tharu, Thati and Others.",India C-16 census-language category can include multiple named mother-tongue components.
