"source_key","entity","authority_or_authors","registered_date","title","version_identity","license_identity","url","local_evidence_workspace_relative","registered_bytes","recomputed_bytes","bytes_status","registered_sha256","recomputed_sha256","hash_status","supporting_evidence_workspace_relative","supporting_evidence_sha256","apa_reference_draft","manuscript_source_statement","missing_or_bounded_evidence"
"OPENSTAX-OS-ZH-01","OpenStax","OpenStax","not registered","Algebra and Trigonometry 2e","repository commit 789b54099106b071d1d32bfcee454fed72eb4768; collection UUID eaefdaf1-bda0-4ada-a9fe-f1c065bfcc4e; collection SHA-256 3E094B2648AC7EBFD2E6DF14E3D08B4E412F1EFD6884E5C00A9F91AC4601E144","CC BY-NC-SA 4.0; registered license-file SHA-256 8E63D319B3D085A7571278EA3033D713131AC0D330B87CF9AC854E05EE44229D","https://github.com/openstax/osbooks-college-algebra-bundle","03_projects/language_management/cjk/zh_hans_cn_open_math_20260812/openstax/BOOKS.jsonl","5322","5322","PASS","2C6D6CA2A527A147347E73F2CF3287D8A1B215FB9711567D3ADC3C64630C7C57","2C6D6CA2A527A147347E73F2CF3287D8A1B215FB9711567D3ADC3C64630C7C57","PASS","","","OpenStax. (n.d.). *Algebra and Trigonometry 2e* [CNXML collection; repository snapshot at commit 789b54099106b071d1d32bfcee454fed72eb4768]. GitHub. https://github.com/openstax/osbooks-college-algebra-bundle","The locally pinned OpenStax manifest identifies Algebra and Trigonometry 2e by collection collections/algebra-and-trigonometry-2e.collection.xml (UUID eaefdaf1-bda0-4ada-a9fe-f1c065bfcc4e) at repository commit 789b54099106b071d1d32bfcee454fed72eb4768; it records 94 module references and license CC BY-NC-SA 4.0 with license-file SHA-256 8E63D319B3D085A7571278EA3033D713131AC0D330B87CF9AC854E05EE44229D.","Named authors/editors and the book publication year are not registered in the bounded local manifest. Title-level AI-ingestion permissions remain a separate unresolved legal/provenance check; the manifest license string alone must not be expanded into that permission."
"OPENSTAX-OS-ZH-02","OpenStax","OpenStax","not registered","Calculus Volume 1","repository commit 8dbc2ce19e804924b2517b89ac72ee45be949d15; collection UUID 8b89d172-2927-466f-8661-01abc7ccdba4; collection SHA-256 07BDEA41E47E979DF930E9F0163317A156E2251710549B915C5873C7AFFFB798","CC BY-NC-SA 4.0; registered license-file SHA-256 61288B08584B51308CBC7128A809BBFFDFC1529EB303DE26C2ADBB396A8E9431","https://github.com/openstax/osbooks-calculus-bundle","03_projects/language_management/cjk/zh_hans_cn_open_math_20260812/openstax/BOOKS.jsonl","5322","5322","PASS","2C6D6CA2A527A147347E73F2CF3287D8A1B215FB9711567D3ADC3C64630C7C57","2C6D6CA2A527A147347E73F2CF3287D8A1B215FB9711567D3ADC3C64630C7C57","PASS","","","OpenStax. (n.d.). *Calculus Volume 1* [CNXML collection; repository snapshot at commit 8dbc2ce19e804924b2517b89ac72ee45be949d15]. GitHub. https://github.com/openstax/osbooks-calculus-bundle","The locally pinned OpenStax manifest identifies Calculus Volume 1 by collection collections/calculus-volume-1.collection.xml (UUID 8b89d172-2927-466f-8661-01abc7ccdba4) at repository commit 8dbc2ce19e804924b2517b89ac72ee45be949d15; it records 55 module references and license CC BY-NC-SA 4.0 with license-file SHA-256 61288B08584B51308CBC7128A809BBFFDFC1529EB303DE26C2ADBB396A8E9431.","Named authors/editors and the book publication year are not registered in the bounded local manifest. Title-level AI-ingestion permissions remain a separate unresolved legal/provenance check; the manifest license string alone must not be expanded into that permission."
"OPENSTAX-OS-ZH-03","OpenStax","OpenStax","not registered","Calculus Volume 2","repository commit 8dbc2ce19e804924b2517b89ac72ee45be949d15; collection UUID 1d39a348-071f-4537-85b6-c98912458c3c; collection SHA-256 182FD9B771C09B231D0A7DC53FC7FCB3202FC478C5AF3EF7FD7B27D55C68AA23","CC BY-NC-SA 4.0; registered license-file SHA-256 61288B08584B51308CBC7128A809BBFFDFC1529EB303DE26C2ADBB396A8E9431","https://github.com/openstax/osbooks-calculus-bundle","03_projects/language_management/cjk/zh_hans_cn_open_math_20260812/openstax/BOOKS.jsonl","5322","5322","PASS","2C6D6CA2A527A147347E73F2CF3287D8A1B215FB9711567D3ADC3C64630C7C57","2C6D6CA2A527A147347E73F2CF3287D8A1B215FB9711567D3ADC3C64630C7C57","PASS","","","OpenStax. (n.d.). *Calculus Volume 2* [CNXML collection; repository snapshot at commit 8dbc2ce19e804924b2517b89ac72ee45be949d15]. GitHub. https://github.com/openstax/osbooks-calculus-bundle","The locally pinned OpenStax manifest identifies Calculus Volume 2 by collection collections/calculus-volume-2.collection.xml (UUID 1d39a348-071f-4537-85b6-c98912458c3c) at repository commit 8dbc2ce19e804924b2517b89ac72ee45be949d15; it records 54 module references and license CC BY-NC-SA 4.0 with license-file SHA-256 61288B08584B51308CBC7128A809BBFFDFC1529EB303DE26C2ADBB396A8E9431.","Named authors/editors and the book publication year are not registered in the bounded local manifest. Title-level AI-ingestion permissions remain a separate unresolved legal/provenance check; the manifest license string alone must not be expanded into that permission."
"OPENSTAX-OS-ZH-04","OpenStax","OpenStax","not registered","Calculus Volume 3","repository commit 8dbc2ce19e804924b2517b89ac72ee45be949d15; collection UUID a31cd793-2162-4e9e-acb5-6e6bbd76a5fa; collection SHA-256 36110E7C344866780DD07691AF61DAFDB3EE69D19BCA19AEEF1B8EDC247862AA","CC BY-NC-SA 4.0; registered license-file SHA-256 61288B08584B51308CBC7128A809BBFFDFC1529EB303DE26C2ADBB396A8E9431","https://github.com/openstax/osbooks-calculus-bundle","03_projects/language_management/cjk/zh_hans_cn_open_math_20260812/openstax/BOOKS.jsonl","5322","5322","PASS","2C6D6CA2A527A147347E73F2CF3287D8A1B215FB9711567D3ADC3C64630C7C57","2C6D6CA2A527A147347E73F2CF3287D8A1B215FB9711567D3ADC3C64630C7C57","PASS","","","OpenStax. (n.d.). *Calculus Volume 3* [CNXML collection; repository snapshot at commit 8dbc2ce19e804924b2517b89ac72ee45be949d15]. GitHub. https://github.com/openstax/osbooks-calculus-bundle","The locally pinned OpenStax manifest identifies Calculus Volume 3 by collection collections/calculus-volume-3.collection.xml (UUID a31cd793-2162-4e9e-acb5-6e6bbd76a5fa) at repository commit 8dbc2ce19e804924b2517b89ac72ee45be949d15; it records 54 module references and license CC BY-NC-SA 4.0 with license-file SHA-256 61288B08584B51308CBC7128A809BBFFDFC1529EB303DE26C2ADBB396A8E9431.","Named authors/editors and the book publication year are not registered in the bounded local manifest. Title-level AI-ingestion permissions remain a separate unresolved legal/provenance check; the manifest license string alone must not be expanded into that permission."
"OPENSTAX-OS-ZH-05","OpenStax","OpenStax","not registered","Introductory Statistics 2e","repository commit 1f6a35825395bb4aa2834cf1eca37512655f920c; collection UUID c4b474e4-4e3b-4232-b35c-2c3535bfae73; collection SHA-256 927A69AAA7D07CE8B0524CE96B53D115C128DC5766D4B12A4FA8963F9842E4F6","CC BY-NC-SA 4.0; registered license-file SHA-256 AB1A44BBBA58252630134574D7B2534813339240EB645825FFCC2487DBE8114A","https://github.com/openstax/osbooks-introductory-statistics-bundle","03_projects/language_management/cjk/zh_hans_cn_open_math_20260812/openstax/BOOKS.jsonl","5322","5322","PASS","2C6D6CA2A527A147347E73F2CF3287D8A1B215FB9711567D3ADC3C64630C7C57","2C6D6CA2A527A147347E73F2CF3287D8A1B215FB9711567D3ADC3C64630C7C57","PASS","","","OpenStax. (n.d.). *Introductory Statistics 2e* [CNXML collection; repository snapshot at commit 1f6a35825395bb4aa2834cf1eca37512655f920c]. GitHub. https://github.com/openstax/osbooks-introductory-statistics-bundle","The locally pinned OpenStax manifest identifies Introductory Statistics 2e by collection collections/introductory-statistics-2e.collection.xml (UUID c4b474e4-4e3b-4232-b35c-2c3535bfae73) at repository commit 1f6a35825395bb4aa2834cf1eca37512655f920c; it records 102 module references and license CC BY-NC-SA 4.0 with license-file SHA-256 AB1A44BBBA58252630134574D7B2534813339240EB645825FFCC2487DBE8114A.","Named authors/editors and the book publication year are not registered in the bounded local manifest. Title-level AI-ingestion permissions remain a separate unresolved legal/provenance check; the manifest license string alone must not be expanded into that permission."
"OPENSTAX-OS-ZH-06","OpenStax","OpenStax","not registered","College Physics 2e","repository commit fd1b25dfd5d8c6580c6e2b2b34a19e29cc69ada9; collection UUID a31df062-930a-4f46-8953-605711e6d204; collection SHA-256 5CCA3DC1360415035B6387172EA9B934E19E3C22632A842A48CF6A196416F097","CC BY-NC-SA 4.0; registered license-file SHA-256 AB1A44BBBA58252630134574D7B2534813339240EB645825FFCC2487DBE8114A","https://github.com/openstax/osbooks-college-physics-bundle","03_projects/language_management/cjk/zh_hans_cn_open_math_20260812/openstax/BOOKS.jsonl","5322","5322","PASS","2C6D6CA2A527A147347E73F2CF3287D8A1B215FB9711567D3ADC3C64630C7C57","2C6D6CA2A527A147347E73F2CF3287D8A1B215FB9711567D3ADC3C64630C7C57","PASS","","","OpenStax. (n.d.). *College Physics 2e* [CNXML collection; repository snapshot at commit fd1b25dfd5d8c6580c6e2b2b34a19e29cc69ada9]. GitHub. https://github.com/openstax/osbooks-college-physics-bundle","The locally pinned OpenStax manifest identifies College Physics 2e by collection collections/college-physics-2e.collection.xml (UUID a31df062-930a-4f46-8953-605711e6d204) at repository commit fd1b25dfd5d8c6580c6e2b2b34a19e29cc69ada9; it records 283 module references and license CC BY-NC-SA 4.0 with license-file SHA-256 AB1A44BBBA58252630134574D7B2534813339240EB645825FFCC2487DBE8114A.","Named authors/editors and the book publication year are not registered in the bounded local manifest. Title-level AI-ingestion permissions remain a separate unresolved legal/provenance check; the manifest license string alone must not be expanded into that permission."
"OPENSTAX-OS-ZH-07","OpenStax","OpenStax","not registered","Chemistry 2e","repository commit 3be4b60ff501f29a445f0cacf003e5f5cc16244d; collection UUID 7fccc9cf-9b71-44f6-800b-f9457fd64335; collection SHA-256 96967AC297FC0D32C3138893393AFF0E0C3E878F8569EC48BB9934C9B0438C35","CC BY-NC-SA 4.0; registered license-file SHA-256 AB1A44BBBA58252630134574D7B2534813339240EB645825FFCC2487DBE8114A","https://github.com/openstax/osbooks-chemistry-bundle","03_projects/language_management/cjk/zh_hans_cn_open_math_20260812/openstax/BOOKS.jsonl","5322","5322","PASS","2C6D6CA2A527A147347E73F2CF3287D8A1B215FB9711567D3ADC3C64630C7C57","2C6D6CA2A527A147347E73F2CF3287D8A1B215FB9711567D3ADC3C64630C7C57","PASS","","","OpenStax. (n.d.). *Chemistry 2e* [CNXML collection; repository snapshot at commit 3be4b60ff501f29a445f0cacf003e5f5cc16244d]. GitHub. https://github.com/openstax/osbooks-chemistry-bundle","The locally pinned OpenStax manifest identifies Chemistry 2e by collection collections/chemistry-2e.collection.xml (UUID 7fccc9cf-9b71-44f6-800b-f9457fd64335) at repository commit 3be4b60ff501f29a445f0cacf003e5f5cc16244d; it records 149 module references and license CC BY-NC-SA 4.0 with license-file SHA-256 AB1A44BBBA58252630134574D7B2534813339240EB645825FFCC2487DBE8114A.","Named authors/editors and the book publication year are not registered in the bounded local manifest. Title-level AI-ingestion permissions remain a separate unresolved legal/provenance check; the manifest license string alone must not be expanded into that permission."
"OPENSTAX-OS-ZH-08","OpenStax","OpenStax","not registered","Biology 2e","repository commit 63f8b6f8d129dd1582989bb755011e9a6d523471; collection UUID 8d50a0af-948b-4204-a71d-4826cba765b8; collection SHA-256 07ECFDBDEEEA0EC0605AE82593A720D3A611966C35F6141CD618FD9639E8E48B","CC BY-NC-SA 4.0; registered license-file SHA-256 AB1A44BBBA58252630134574D7B2534813339240EB645825FFCC2487DBE8114A","https://github.com/openstax/osbooks-biology-bundle","03_projects/language_management/cjk/zh_hans_cn_open_math_20260812/openstax/BOOKS.jsonl","5322","5322","PASS","2C6D6CA2A527A147347E73F2CF3287D8A1B215FB9711567D3ADC3C64630C7C57","2C6D6CA2A527A147347E73F2CF3287D8A1B215FB9711567D3ADC3C64630C7C57","PASS","","","OpenStax. (n.d.). *Biology 2e* [CNXML collection; repository snapshot at commit 63f8b6f8d129dd1582989bb755011e9a6d523471]. GitHub. https://github.com/openstax/osbooks-biology-bundle","The locally pinned OpenStax manifest identifies Biology 2e by collection collections/biology-2e.collection.xml (UUID 8d50a0af-948b-4204-a71d-4826cba765b8) at repository commit 63f8b6f8d129dd1582989bb755011e9a6d523471; it records 259 module references and license CC BY-NC-SA 4.0 with license-file SHA-256 AB1A44BBBA58252630134574D7B2534813339240EB645825FFCC2487DBE8114A.","Named authors/editors and the book publication year are not registered in the bounded local manifest. Title-level AI-ingestion permissions remain a separate unresolved legal/provenance check; the manifest license string alone must not be expanded into that permission."
"OPENLOGIC-PIN","Open Logic Project","Open Logic Project","08/14/2026 15:51:03","OpenLogic","commit 1e960beff9ed7835bf3e3f1335e21af3439cd107; tree 45cad6b3bf0dd96985a7b3d1dc5c343984b0e1c8","CC BY 4.0 unless a component is separately noted; license-file SHA-256 BB5E0179A1E9BDB55634A4303784CF73C297A1DCEE27B92CD546BF398075531C","https://github.com/OpenLogicProject/OpenLogic","03_projects/language_management/interlanguage_hub_open_logic_interslavic_20260824/02_open_logic_interslavic/SOURCE_RELEASE.json","6690","6690","PASS","F30DDE4E884DEB5D280EF991AEDABB70E60BC8A44B310FD07232DC934B775FDC","F30DDE4E884DEB5D280EF991AEDABB70E60BC8A44B310FD07232DC934B775FDC","PASS","03_projects/language_management/interlanguage_hub_open_logic_interslavic_20260824/02_open_logic_interslavic/SOURCE_CLOSURE.csv","B2B7B6D96C3CDE33BBFA9FC9E3D0423D1FE4BEE0F6149DC6CE527D689AF1B55A","Open Logic Project. (2026). *OpenLogic* [Source repository snapshot; commit 1e960beff9ed7835bf3e3f1335e21af3439cd107]. GitHub. https://github.com/OpenLogicProject/OpenLogic","The source release pins OpenLogic commit 1e960beff9ed7835bf3e3f1335e21af3439cd107, tree 45cad6b3bf0dd96985a7b3d1dc5c343984b0e1c8, dated 8/14/2026 3:51:03 PM. Its validated closure contains 722 TeX units and 367220 source alpha tokens; the closure SHA-256 is B2B7B6D96C3CDE33BBFA9FC9E3D0423D1FE4BEE0F6149DC6CE527D689AF1B55A. The registered license identity is ""CC BY 4.0 unless a component is separately noted"", license-file SHA-256 BB5E0179A1E9BDB55634A4303784CF73C297A1DCEE27B92CD546BF398075531C.","Named corpus authors/editors and a formal release/version number are not registered in this bounded source-release receipt; do not invent them."
"ASSEC-S001","Unicode CLDR","Unicode Consortium CLDR Technical Committee","2026-03-17","Unicode CLDR 48.2 supplemental territory and language population data","CLDR 48/48.2 as stated in the registered title/date field","not registered in the bounded source register","https://raw.githubusercontent.com/unicode-org/cldr/release-48-2/common/supplemental/supplementalData.xml","01_methodology/research_department/ai_compute_educational_access_20260825/staging/asia_secondary_estimates/sources/cldr_48_2_supplementalData.xml","399983","399983","PASS","CD2AF39AEF82FDBFBA4D591C87548203350538AD2318486D104B3B38B8D62F1A","CD2AF39AEF82FDBFBA4D591C87548203350538AD2318486D104B3B38B8D62F1A","PASS","","","Unicode Consortium CLDR Technical Committee. (2026, March 17). *Unicode CLDR 48.2 supplemental territory and language population data* [authoritative secondary standardization dataset XML]. https://raw.githubusercontent.com/unicode-org/cldr/release-48-2/common/supplemental/supplementalData.xml","ASSEC-S001: Territory population and language population percentage inputs; interpretation supplied by the CLDR territory-language chart Registered locator: /supplementalData/territoryInfo/territory and child languagePopulation elements for BD MM LA MN LK MY TJ; reference nodes R1028 R1055 R1218 R1263 audited for exclusions Limitation: Component estimate years and confidence intervals are not stated. CLDR warns that inputs are heterogeneous and not necessarily current or comparable. Only target elements without a references attribute are used; rows explicitly referencing Wikipedia are excluded.","No publication metadata beyond the registered fields is inferred. Component estimate years and confidence intervals are not stated. CLDR warns that inputs are heterogeneous and not necessarily current or comparable. Only target elements without a references attribute are used; rows explicitly referencing Wikipedia are excluded."
