intervention_id,target_name,target_profile,target_profile_ready,profile_tag_status,profile_resolution_status,profile_ranking_treatment,resolved_edition_name,territory,observation_id,source_population_low_reported,source_population_high_reported,population_interval_status,population_low,population_base,population_high,population_unit,population_measure,population_role,population_reference_year,population_source_id,population_source_locator,reach_band,content_deficit_FR2,comprehension_exact_target_conditional_on_standard_literacy,practical_access_low,practical_access_base,practical_access_high,practical_access_status,practical_access_source_id,academic_nonoverlap_low,academic_nonoverlap_base,academic_nonoverlap_high,academic_nonoverlap_status,academic_nonoverlap_source_id,marginal_access_low,marginal_access_base_sensitivity,marginal_access_high,gross_ceiling_per_million_base_tokens,conservative_access_per_million_high_tokens,neutral_access_per_million_base_tokens,optimistic_access_per_million_low_tokens,openalex_math_open_access,openalex_math_open_access_books,scarcity_relative_percentile,scarcity_band,scarcity_adjusted_access_base,ai_support_resource_levels,internet_percent_context,electricity_percent_context,tertiary_enrollment_percent_context,fr2_units,fr2_source_tokens,fr2_gross_tokens_low,fr2_gross_tokens_base,fr2_gross_tokens_high,fr2_api_equivalent_usd_base,recommended_openstax_next_product,recommended_openstax_depth,foundational_numeracy_pre_algebra_source_gap,curriculum_selection_basis,openstax_next_gross_tokens_low,openstax_next_gross_tokens_base,openstax_next_gross_tokens_high,explicit_negative_control,resource_abundance_control_candidate,recommendation_eligibility,interpretation,gross_ceiling_rank,conservative_efficiency_rank,neutral_efficiency_rank,optimistic_efficiency_rank,scarcity_adjusted_rank,rank_best_across_views,rank_worst_across_views
EXP-003,Uzbek,uz-Latn-UZ,true,single_valid_bcp47,resolved_explicit_scoring_profile_population_scope_preserved,provisional_gross_ceiling_and_sensitivity_only,Uzbekistan Uzbek Latin-script edition,Uzbekistan,ALG-UZ-L001,35650000,35749999,source_interval_or_exact_bounds,35650000,35700000,35749999,persons,preliminary_census_mother_tongue_persons_rounded,direct_language_population_pending_exact_target_mapping,2026,ALG-S018,Preliminary-results paragraph published 2026-06-30,R4_10m_to_49m,1.000000,1.000000,0.000000,1.000000,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,17850000,35749999,8764932.609,0.000,4382466.305,39167908.171,46,0,0.231481,S2_lower_scarcity_relative_proxy,4131944,,89.50550079,100,59.8086982926392,210,120083,912737,4073049,18664571,16.77,SB-1,D3,false,Large exact population plus territory tertiary-enrollment proxy at or above 25%; scenario selects algebra/trigonometry plus statistics.,2997367,11374125,47112357,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",15,15,16,15,19,15,19
EXP-001,Afghan Pashto,ps-Arab-AF,true,single_valid_bcp47,resolved_explicit_scoring_profile_population_scope_preserved,provisional_gross_ceiling_and_sensitivity_only,Afghanistan Pashto Arabic-script edition,Afghanistan,ASSEC-AF-PS-001,,,source_point_without_interval_model_low_zero_high_point,0,18753110,18753110,persons,derived_2020_total_speakers_from_official_secondary_share_and_world_bank_denominator,overlapping_language_total_never_sum_with_other_Afghanistan_language_rows,2020 estimate; republished in official report 2023,ASSEC-S018,afghanistan_language_derivation.md; CIA page captured 2023-01-02 language field; Netherlands COI report printed p.72 section 3.1.1.2 and footnotes 502-504; World Bank JSON indicator SP.POP.TOTL AFG 2020,R4_10m_to_49m,1.000000,1.000000,0.000000,0.372700,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,3494642,18753110,4604194.548,0.000,857991.665,20546017.089,,,,S_unknown,,,16.09499931,87.8,10.85435962677,210,120083,912737,4073049,18664571,16.77,MV-1,D2,true,"Territory adult-literacy proxy below 70%; the selected corpus lacks foundational numeracy/pre-algebra, so Algebra and Trigonometry is a second step rather than a substitute.",1087145,4356012,18630029,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",26,26,36,26,42,26,42
EXP-004,Indian Maithili,mai-Deva-IN,true,single_valid_bcp47,resolved_explicit_scoring_profile_population_scope_preserved,provisional_gross_ceiling_and_sensitivity_only,India Maithili Devanagari edition,India,POP-IN-COMP-010,13353347,13353347,source_interval_or_exact_bounds,13353347,13353347,13353347,persons,census_same_name_mother_tongue_component_persons,same_name_component_preferred_over_parent_aggregate,2011,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",R4_10m_to_49m,1.000000,1.000000,0.000000,0.781625,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.464892,0.732446,0.892978,India_C17_category_proxy_sensitivity,ACE-E019,0,7644770,11924251,3278464.610,0.000,1876915.876,13064279.283,,,,S_unknown,,Low,70,99.9,34.4465039692543,210,120083,912737,4073049,18664571,16.77,SB-1,D3,false,Large exact population plus territory tertiary-enrollment proxy at or above 25%; scenario selects algebra/trigonometry plus statistics.,2997367,11374125,47112357,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",32,32,24,32,46,24,46
EXP-018,Bambara,bm-Latn-ML,true,single_valid_bcp47,resolved_explicit_scoring_profile_population_scope_preserved,provisional_gross_ceiling_and_sensitivity_only,Mali Bamanankan Latin-script edition,Mali,POP-ML-AFG-001,9551561,9551561,source_interval_or_exact_bounds,9551561,9551561,9551561,persons,census_mother_tongue_persons_age_3_plus,mutually_exclusive_mother_tongue_category,2022,AFG-S008,"Tableau 3.01, printed p.25, Ensemble cell for Bambara/Bamanankan",R3_1m_to_9m,1.000000,1.000000,0.000000,0.356300,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,1701611,9551561,2345064.103,0.000,417773.182,10464746.143,,,,S_unknown,,Low,36.80149841,49.5,,210,120083,912737,4073049,18664571,16.77,MV-1,D2,true,"Territory adult-literacy proxy below 70%; the selected corpus lacks foundational numeracy/pre-algebra, so Algebra and Trigonometry is a second step rather than a substitute.",1087145,4356012,18630029,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",37,37,48,37,50,37,50
EXP-005,Madurese,mad-Latn-ID,true,single_valid_bcp47,resolved_explicit_scoring_profile_population_scope_preserved,provisional_gross_ceiling_and_sensitivity_only,Indonesia Madurese Latin-script edition,Indonesia,POP-ID-005,7743533,7743533,source_interval_or_exact_bounds,7743533,7743533,7743533,persons,daily_language_at_home_age5plus_persons,standalone_observation,2010,PM-S005,"Table L4.1, printed p. 47",R3_1m_to_9m,1.000000,1.000000,0.000000,0.960000,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,3716896,7743533,1901163.723,0.000,912558.587,8483860.082,,,,S_unknown,,,72.78075544,99.9,44.8813034886441,210,120083,912737,4073049,18664571,16.77,MV-1,D3,false,Territory tertiary-enrollment proxy at or above 15%; scenario selects a complete algebra/trigonometry bridge.,1612429,5474018,21073801,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",39,39,34,39,52,34,52
EXP-019,Sepedi,nso-Latn-ZA,true,single_valid_bcp47,resolved_explicit_scoring_profile_population_scope_preserved,provisional_gross_ceiling_and_sensitivity_only,South Africa Sepedi Latin-script edition,South Africa,ZA-NSO-2022,5972255,5972255,source_interval_or_exact_bounds,5972255,5972255,5972255,persons,census_language_most_often_spoken_in_household_persons_age_1_plus,mutually_exclusive_census_response_category,2022,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",R3_1m_to_9m,1.000000,1.000000,0.000000,0.911500,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,2721855,5972255,1466286.067,0.000,668259.886,6543237.537,,,,S_unknown,,Low,78.35759735,90.2,23.493768799339,210,120083,912737,4073049,18664571,16.77,MV-1,D3,false,Territory tertiary-enrollment proxy at or above 15%; scenario selects a complete algebra/trigonometry bridge.,1612429,5474018,21073801,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",43,43,40,43,55,40,55
EXP-020,Setswana,tn-Latn-ZA,true,single_valid_bcp47,resolved_explicit_scoring_profile_population_scope_preserved,provisional_gross_ceiling_and_sensitivity_only,South Africa Setswana Latin-script edition,South Africa,ZA-TSN-2022,4972787,4972787,source_interval_or_exact_bounds,4972787,4972787,4972787,persons,census_language_most_often_spoken_in_household_persons_age_1_plus,mutually_exclusive_census_response_category,2022,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",R3_1m_to_9m,1.000000,1.000000,0.000000,0.911500,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,2266348,4972787,1220900.362,0.000,556425.349,5448214.546,,,,S_unknown,,High,78.35759735,90.2,23.493768799339,210,120083,912737,4073049,18664571,16.77,MV-1,D3,false,Territory tertiary-enrollment proxy at or above 15%; scenario selects a complete algebra/trigonometry bridge.,1612429,5474018,21073801,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",46,46,42,46,56,42,56
EXP-021,Sesotho,st-Latn-ZA,true,single_valid_bcp47,resolved_explicit_scoring_profile_population_scope_preserved,provisional_gross_ceiling_and_sensitivity_only,South Africa Sesotho Latin-script edition,South Africa,ZA-SOT-2022,4678964,4678964,source_interval_or_exact_bounds,4678964,4678964,4678964,persons,census_language_most_often_spoken_in_household_persons_age_1_plus,mutually_exclusive_census_response_category,2022,ZA-S001,"Table 3.8 (2), printed p. 27; PDF p. 35; South Africa total column",R3_1m_to_9m,1.000000,1.000000,0.000000,0.911500,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,2132438,4678964,1148762.021,0.000,523548.300,5126300.347,,,,S_unknown,,High,78.35759735,90.2,23.493768799339,210,120083,912737,4073049,18664571,16.77,MV-1,D3,false,Territory tertiary-enrollment proxy at or above 15%; scenario selects a complete algebra/trigonometry bridge.,1612429,5474018,21073801,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",47,47,44,47,57,44,57
EXP-013,Ethiopian Somali,so-Latn-ET,true,single_valid_bcp47,resolved_explicit_scoring_profile_population_scope_preserved,provisional_gross_ceiling_and_sensitivity_only,Ethiopia Somali Latin-script edition,Ethiopia,POP-ET-003,4609274,4609274,source_interval_or_exact_bounds,4609274,4609274,4609274,persons,census_mother_tongue_persons,standalone_observation,2007,PM-S020,"Table 3.2, printed pp. 91-93",R3_1m_to_9m,1.000000,1.000000,0.000000,0.604600,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,1393384,4609274,1131651.988,0.000,342098.391,5049947.575,1,0,0.768519,S4_high_scarcity_relative_proxy,1070841,Low,21.94129944,56.6,,210,120083,912737,4073049,18664571,16.77,MV-1,D2,true,"Territory adult-literacy proxy below 70%; the selected corpus lacks foundational numeracy/pre-algebra, so Algebra and Trigonometry is a second step rather than a substitute.",1087145,4356012,18630029,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",48,48,51,48,25,25,51
EXP-014,Ethiopian Tigrinya,ti-Ethi-ET,true,single_valid_bcp47,resolved_explicit_scoring_profile_population_scope_preserved,provisional_gross_ceiling_and_sensitivity_only,Ethiopia Tigrinya Ethiopic-script edition,Ethiopia,POP-ET-004,4324933,4324933,source_interval_or_exact_bounds,4324933,4324933,4324933,persons,census_mother_tongue_persons,standalone_observation,2007,PM-S020,"Table 3.2, printed pp. 91-93",R3_1m_to_9m,1.000000,1.000000,0.000000,0.604600,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,1307427,4324933,1061841.633,0.000,320994.721,4738421.911,,,,S_unknown,,Low,21.94129944,56.6,,210,120083,912737,4073049,18664571,16.77,MV-1,D2,true,"Territory adult-literacy proxy below 70%; the selected corpus lacks foundational numeracy/pre-algebra, so Algebra and Trigonometry is a second step rather than a substitute.",1087145,4356012,18630029,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",49,49,54,49,58,49,58
