interlanguage_id,name,mechanism,proposed_surfaces,demographic_ceiling_low,demographic_ceiling_base,demographic_ceiling_high,creditable_current_reach,comprehension_evidence,production_architecture,explicit_exclusions,source_ids,confidence,notes
IL-ISV,Interslavic constructed bridge,constructed_bridge,"isv-Latn plus separately tested isv-Cyrl",280000000,297500000,315000000,unquantified,"Direct short written cloze evidence reports near 84 percent overall but is insufficient for sustained mathematical reading","Additional bridge edition alongside named natural-language editions; script-specific tests and overlap deductions","Sorbian Kashubian Rusyn and every untested Slavic minority; no blanket Slavic coverage",ACE-E014;ACE-E015,medium,"Only reviewed constructed bridge with substantial no-study evidence; local Open Logic surface is 7/722."
IL-ROM,Romance semantic core and localized editions,pluricentric_reuse,"shared terminology graph plus Spanish Portuguese French Italian Romanian Catalan and other named localized outputs",665000000,715500000,766000000,0,"Natural-language intercomprehension and trainability are documented; no tested constructed pan-Romance surface","Common semantic source and cognate graph with named localized surfaces; optional intercomprehension apparatus","No automatic coverage of Catalan Galician Occitan Sardinian Sicilian Neapolitan Friulian Romansh Ladin Aromanian Corsican or Judeo-Spanish",ACE-E015,medium,"The provisional local constructed surface has zero canon-admitted units and therefore zero bankable reach."
IL-TURKIC,Turkic branch-level reuse,natural_intercomprehension_reuse,"separate Oghuz Kipchak and Karluk profiles with script-specific outputs",180000000,200000000,220000000,0,"Pairwise intelligibility is partial asymmetric and exposure-sensitive; no pan-Turkic surface is validated","Share semantics terminology and tooling within separately tested branches","Chuvash Sakha Tuvan Khakas and other Oghur or Siberian languages; no one-surface family credit",,low,"Complete Turkish edition is engineering and terminology evidence only."
IL-GERM,Targeted Germanic reuse,natural_intercomprehension_reuse,"Dutch-Afrikaans first; separately test West and North residual profiles",500000000,550000000,600000000,0,"No functional evidence for a constructed pan-Germanic surface; Dutch-Afrikaans is the clearest narrower pair","Localized named editions with shared source and terminology where pairwise evidence supports reuse","Yiddish Scots Low German Plautdietsch Pennsylvania Dutch Hutterisch Frisian Faroese and Icelandic are not covered by a pan-Germanic label",ACE-E015,low,"High English overlap makes the family ceiling mostly irrelevant to marginal access."
IL-IDMS,Indonesian-Malaysian Malay package,pluricentric_reuse,"id-Latn-ID and ms-Latn-MY with optional locale-specific Jawi derivatives",275000000,300000000,325000000,unquantified,"Strong relatedness and formal terminology coordination but documented lexical divergence; no whole technical-text comprehension test","One semantic and formula source with MABBIM-aligned termbase and explicit Indonesian and Malaysian layers","Javanese Sundanese Madurese Minangkabau Acehnese and other Malayic or Indonesian languages are not covered",,medium,"Natural pluricentric case rather than a new constructed interlanguage."
IL-SCAND,Mainland Scandinavian localized package,natural_intercomprehension_reuse,"da-DK nb-NO nn-NO sv-SE",20000000,21000000,22000000,unquantified,"Strong but asymmetric natural intelligibility; Danish is harder; youth English overlap is extremely high","Share source terminology and layout but preserve named standards","Faroese and Icelandic excluded; no blanket North Germanic coverage",ACE-E015,medium,"Likely compute savings but weak marginal-access case for a new bridge surface."
IL-AR,Modern Standard Arabic plus dialect scaffolds,pluricentric_reuse,"ar formal base plus region-specific term explanations audio and plain-language scaffolds",400000000,425000000,450000000,unquantified,"MSA is an established formal bridge but accessibility varies with schooling and diglossic distance","Retain complete MSA edition; add dialect-aware scaffolding and accessible formats by region","Amazigh Kurdish Nubian and Modern South Arabian languages; Arabic varieties are not assumed to be equally served",ACE-E001,medium,"Existing complete Arabic Open Logic edition changes this from new translation to residual-access work."
IL-PDT,Persian-Dari-Tajik package,pluricentric_reuse,"fa-IR prs-Arab-AF tg-Cyrl-TJ with deterministic transliteration and localized terminology",100000000,115000000,130000000,unquantified,"Formal varieties are close; script is a decisive barrier; transliteration is useful but directionally imperfect","Common semantic core with Iranian Persian Dari and Tajik lexical and script layers","Kurdish Zazaki Pashto Balochi Ossetian Luri and Pamiri languages excluded",,medium,"Existing complete Iranian Persian edition makes Dari and Tajik adaptation the marginal intervention."
IL-BCMS,BCMS pluricentric package,pluricentric_reuse,"bs-Latn hr-Latn cnr-Latn sr-Latn sr-Cyrl",18000000,19000000,20000000,unquantified,"Very high mutual intelligibility with social national terminological and script distinctions","One common source with four explicitly named variants and Serbian dual-script rendering","No unnamed neutral publication and no extension beyond the BCMS standards",,high,"Strong compute-efficiency architecture with identity-preserving outputs."
IL-HU,Hindi-Urdu dual-register package,pluricentric_reuse,"hi-Deva-IN and ur-Arab-PK or ur-Arab-IN plus bilingual term graph",73021938,300000000,600000000,unquantified,"Substantial everyday overlap but maximal divergence in script and advanced Sanskritic versus Persian-Arabic vocabulary","Shared syntax semantics and formula source with separate Devanagari and Nastaliq outputs and term layers","India's 528347193 Hindi census umbrella is not Standard Hindi reach; no single technical Hindustani surface is credited",ACE-E011;ACE-E012,medium,"Existing complete Hindi edition changes the marginal work to Urdu adaptation and equivalence tooling."
