portfolio_position,portfolio_lane,admission_lane,intervention_id,intervention_type,intervention_name,target_profiles,output_count,territory_or_scope,population_base,population_measure,population_years,population_observation_ids,population_source_ids,marginal_access_base_sensitivity,gross_tokens_base,informative_rank_best,informative_rank_worst,recommended_openstax_next_product,recommended_openstax_depth,needs_evidence_stage,needs_first_package,needs_first_package_short,needs_assignment_status,needs_observed_evidence,needs_source,needs_caveat
1,high_reach_underserved,base,NAT-121,natural_language_edition,Bahasa Indonesia,id-Latn-ID,1,Indonesia,248501794,official_long_form_census_able_to_speak_indonesian_persons_age5plus,2022,POP-ID-018,PM-S021,119280861,4073049,1,25,SB-1,D3,secondary,No content package preselected: use the verified 27-published/13-production catalog to commission only an exact remaining course or format gap.,"Close the next verified gap in the existing 40-course program; do not duplicate complete Open Logic, Prealgebra, or Elementary Algebra",audited_primary_or_official_proxy,PISA: 18% of represented 15-year-old students reached mathematics Level 2 or higher; almost none reached Levels 5-6,https://www.oecd.org/en/publications/pisa-2022-results-volume-i-and-ii-country-notes_ed6fbcc5-en/indonesia_c2e1ae0e-en.html,"BPS 248,501,794 is an age-5+ spoken/understood-language criterion, not written or academic proficiency. Page universes are not interchangeable: 19,745 teaching-package, 20,763 selected-corpus working, 27,705 rendered-universe, and 26,031 public-artifact reconstruction pages are not a final translated-page total."
2,high_reach_underserved,optimistic,NAT-001,natural_language_edition,Bangladesh Bangla,bn-Beng-BD,1,Bangladesh,165323060,derived_cldr_territory_functional_language_users,2026-03-17 CLDR release; component estimate year not stated,ASSEC-BD-BN-001,ASSEC-S006,65302609,4073049,2,11,MV-1,D3,primary,"Bangla Grade 2-5 number sense, operations, place value, fractions, measurement and pattern kit with diagnostics and complete worked answers",Bangla Grade 2-5 foundational numeracy kit,audited_primary_or_official_proxy,NSA 2022: 39% of Grade 3 and 30% of Grade 5 students met grade-level mathematics standards; the report states about two thirds had not achieved grade-level foundational skills,https://dpe.portal.gov.bd/sites/default/files/files/dpe.portal.gov.bd/publications/27a08801_1d5d_4e08_8fdb_25a4a693a2f3/NSA-2022%20Final%20Report.pdf,National student results do not equal the whole Bangla-speaking population; portal availability does not prove an open license
3,high_reach_underserved,scarcity,NAT-003,natural_language_edition,Telugu,te-Telu-IN,1,India,80912459,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-021,PM-S001,57833869,4073049,1,6,SB-1,D3,primary,"Telugu-English Grades 3-10 mastery bridge with placement, error-specific explanations and full solutions",Telugu-English Grades 3-10 mastery bridge,audited_primary_or_official_proxy,ASER rural 2024: Andhra Pradesh Grade 3 at least subtraction 44.1% and Grade 5 division 36.2%; Telangana 30.9% and 25.2%,https://asercentre.org/wp-content/uploads/2022/12/Andhra-Pradesh-1.pdf ; https://asercentre.org/wp-content/uploads/2022/12/Telangana-1.pdf,ASER is rural and territorial; Andhra Pradesh and Telangana differ materially and should not be averaged into a fake single rate
4,high_reach_underserved,base,NAT-002,natural_language_edition,Indian Bengali,bn-Beng-IN,1,India,96177835,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-002,PM-S001,69699712,4073049,2,9,SB-1,D3,primary,"Bangla Grades 3-8 arithmetic/fractions-to-algebra catch-up with placement tests, short mastery units and full answers",Indian Bangla Grades 3-8 arithmetic-to-algebra catch-up,audited_primary_or_official_proxy,ASER rural West Bengal 2024: 40.9% of Grade 3 children could do at least subtraction and 35.0% of Grade 5 children could divide,https://asercentre.org/wp-content/uploads/2022/12/West-Bengal-1.pdf,Bangladesh Bangla is a separate edition profile; ASER is a rural West Bengal proxy and not a direct language-population assessment
5,high_reach_underserved,optimistic,NAT-028,natural_language_edition,Vietnamese,vi-Latn-VN,1,Vietnam,89000000,peer_reviewed_published_lower_bound_speakers,2016 publication; population estimate vintage not stated,ASSEC-VN-VI-001,ASSEC-S007,42777849,4073049,4,17,SB-1,D3,secondary,"Vietnamese precalculus-to-calculus-to-linear-algebra self-study spine, reusing suitable open local modules before retranslating",Precalculus-to-calculus-to-linear-algebra self-study spine,audited_primary_or_official_proxy,PISA 2022: 72% of represented 15-year-old students reached mathematics Level 2 or higher and 5% reached Levels 5-6,https://www.oecd.org/en/publications/pisa-2022-results-volume-i-and-ii-country-notes_ed6fbcc5-en/viet-nam_a727c3a8-en.html,Foundational remediation remains relevant to the 28% below Level 2 but is not the correct universal first product; local module quality/licensing still requires an artifact audit
6,high_reach_underserved,scarcity,NAT-006,natural_language_edition,Marathi,mr-Deva-IN,1,India,82801140,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-013,PM-S001,50316309,4073049,2,7,SB-1,D3,primary_to_secondary,"Marathi Grade 8-to-first-year-STEM bridge with embedded fractions/algebra diagnostic, functions, trigonometry, precalculus and proof introduction",Marathi Grade 8-to-first-year-STEM bridge,audited_primary_or_official_proxy,ASER rural Maharashtra 2024: 31.3% of Grade 3 children could do at least subtraction and 27.7% of Grade 5 children could divide,https://asercentre.org/wp-content/uploads/2022/12/Maharashtra-1.pdf,"The foundational deficit is real, but existing supply makes a new primary textbook a weaker marginal choice than a recovery/transition spine"
7,high_reach_underserved,base,NAT-004,natural_language_edition,Indian Tamil,ta-Taml-IN,1,India,68888839,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-020,PM-S001,48387709,4073049,5,9,SB-1,D3,primary,"Tamil Grades 2-8 numeracy recovery course with placement, mastery units, full answers and worked misconception explanations",Tamil Grades 2-8 teacher-independent numeracy recovery,audited_primary_or_official_proxy,ASER rural Tamil Nadu 2024: 27.8% of Grade 3 children could do at least subtraction and 20.8% of Grade 5 children could divide,https://asercentre.org/wp-content/uploads/2022/12/Tamil-Nadu-1.pdf,"State proxy is rural and does not describe all Indian Tamil speakers; advanced work is not useless, only lower marginal priority for the first broad-access package"
8,high_reach_underserved,optimistic,NAT-015,natural_language_edition,Western Punjabi,pnb-Arab-PK,1,Pakistan,88915544,census_mother_tongue_persons,2023,POP-PK-002,PM-S003,26167845,4073049,5,13,MV-1,D2,secondary_to_undergraduate,"Shahmukhi Punjabi-to-Urdu/English algebra, functions, trigonometry, precalculus and proof bridge",Shahmukhi Punjabi-to-Urdu/English secondary-to-UG bridge,audited_primary_or_official_proxy,"ASER Pakistan 2023: 60.5% of rural Punjab Grade 5 children solved two-digit division; 2023 census counted 85,309,591 Punjabi mother-tongue residents in Punjab province",https://aserpakistan.org/document/2024/aser_national_2023.pdf ; https://www.pbs.gov.pk/wp-content/uploads/census_tables/tables/table_11_punjab_province.pdf,"Do not substitute Indian Gurmukhi Punjabi; the 88,915,544 candidate ceiling and 85,309,591 province count use different census constructions"
9,high_reach_underserved,scarcity,NAT-038,natural_language_edition,Javanese,jv-Latn-ID,1,Indonesia,68044660,daily_language_at_home_age5plus_persons,2010,POP-ID-001,PM-S005,32661437,4073049,3,9,SB-1,D3,primary_to_secondary,Oral/bilingual Javanese-to-Bahasa number-sense through prealgebra/algebra scaffold with audio and deliberate terminology transfer,Bilingual Javanese-to-Bahasa foundational/academic-register scaffold,audited_primary_or_official_proxy,"No Javanese-specific large-scale mathematics assessment located; Indonesia PISA gives only a national proxy and BPS 2010 counted 68,044,660 age-5+ daily home users",https://www.bps.go.id/id/publication/2012/05/23/55eca38b7fe0830834605b35/kewarganegaraan-suku-bangsa-agama-dan-bahasa-sehari-hari-penduduk-indonesia.html ; https://www.oecd.org/en/publications/pisa-2022-results-volume-i-and-ii-country-notes_ed6fbcc5-en/indonesia_c2e1ae0e-en.html,"Outcome evidence is not Javanese-specific; register, dialect and script choices require explicit profiles rather than a single pan-Javanese claim"
10,high_reach_underserved,base,NAT-007,natural_language_edition,Gujarati,gu-Gujr-IN,1,India,55036204,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-005,PM-S001,34089878,4073049,4,11,SB-1,D3,primary,"Gujarati Grades 2-6 diagnostic remediation in place value, operations, fractions and proportional reasoning",Gujarati Grades 2-6 diagnostic numeracy remediation,audited_primary_or_official_proxy,ASER rural Gujarat 2024: 19.1% of Grade 3 children could do at least subtraction and 14.3% of Grade 5 children could divide,https://asercentre.org/wp-content/uploads/2022/12/Gujarat-1.pdf,"ASER is rural and territorial; existing state material means the intervention is a redesigned mastery system, not merely another textbook"
