curriculum_unit_id,source_project,work_title,unit_title,level,domain,prerequisites,source_format,license,estimated_source_tokens,accessibility_formats,source_id,notes
ACE-CURR-OS01,OpenStax,Algebra and Trigonometry 2e,complete 94-module collection,secondary-to-introductory-tertiary,algebra and trigonometry,elementary algebra,CNXML and PDF,CC BY-NC-SA 4.0,394473,web and PDF,ACE-A016;ACE-A027,"Complete zh-Hans-CN edition exists locally; source token count uses visible CNXML text and is separately reproducible."
ACE-CURR-OS02,OpenStax,Calculus Volume 1,complete 55-module collection,introductory-tertiary,differential calculus,algebra and trigonometry,CNXML and PDF,CC BY-NC-SA 4.0,195458,web and PDF,ACE-A016;ACE-A030,"zh-Hans-CN has 3/55 modules; full registered source collection is measured."
ACE-CURR-OS03,OpenStax,Calculus Volume 2,complete 54-module collection,introductory-tertiary,integral calculus,Calculus Volume 1,CNXML and PDF,CC BY-NC-SA 4.0,180155,web and PDF,ACE-A016;ACE-A030,"Pending in local selected suite; full registered source collection is measured."
ACE-CURR-OS04,OpenStax,Calculus Volume 3,complete 54-module collection,introductory-tertiary,multivariable calculus,Calculus Volumes 1-2,CNXML and PDF,CC BY-NC-SA 4.0,247251,web and PDF,ACE-A016;ACE-A030,"Pending in local selected suite; full registered source collection is measured."
ACE-CURR-OS05,OpenStax,Introductory Statistics 2e,complete 102-module collection,secondary-to-introductory-tertiary,statistics and data literacy,algebra,CNXML and PDF,CC BY-NC-SA 4.0,,web and PDF,ACE-A016,"Pending in local selected suite."
ACE-CURR-OS06,OpenStax,College Physics 2e,complete 283-module collection,introductory-tertiary,physics,algebra and trigonometry,CNXML and PDF,CC BY-NC-SA 4.0,,web and PDF,ACE-A016,"Pending in local selected suite."
ACE-CURR-OS07,OpenStax,Chemistry 2e,complete 149-module collection,introductory-tertiary,chemistry,algebra,CNXML and PDF,CC BY-NC-SA 4.0,,web and PDF,ACE-A016,"Pending in local selected suite."
ACE-CURR-OS08,OpenStax,Biology 2e,complete 259-module collection,introductory-tertiary,biology,secondary science,CNXML and PDF,CC BY-NC-SA 4.0,,web and PDF,ACE-A016,"Pending in local selected suite."
ACE-CURR-OLP00,Open Logic Project,Open Logic Text,complete 722-unit closure,undergraduate-to-graduate,formal and mathematical logic,proof literacy,LaTeX and PDF,CC BY 4.0,367220,print screen and modular PDFs,ACE-A013,"642 canonical-reader units plus 80 supplements at upstream commit 1e960bef."
ACE-CURR-OLP01,Open Logic Project,Open Logic Text,first-order-logic,undergraduate,first-order logic,propositional logic and proof methods,LaTeX and PDF,CC BY 4.0,69753,print screen HTML and modular PDFs,ACE-A013,"123 units; largest top-level part by source alpha tokens."
ACE-CURR-OLP02,Open Logic Project,Open Logic Text,proof-theory,advanced-undergraduate-to-graduate,proof theory,first-order logic,LaTeX and PDF,CC BY 4.0,39027,print screen HTML and modular PDFs,ACE-A013,"59 supplement units; not part of the 642-unit canonical-reader set."
ACE-CURR-OLP03,Open Logic Project,Open Logic Text,normal-modal-logic,advanced-undergraduate,modal logic,propositional and first-order logic,LaTeX and PDF,CC BY 4.0,33120,print screen HTML and modular PDFs,ACE-A013,"69 units."
ACE-CURR-OLP04,Open Logic Project,Open Logic Text,sets-functions-relations,undergraduate,sets functions and relations,proof literacy,LaTeX and PDF,CC BY 4.0,32192,print screen HTML and modular PDFs,ACE-A013,"58 units; high-value foundational bridge into formal mathematics."
ACE-CURR-OLP05,Open Logic Project,Open Logic Text,incompleteness,advanced-undergraduate-to-graduate,incompleteness,first-order logic and computability,LaTeX and PDF,CC BY 4.0,30896,print screen HTML and modular PDFs,ACE-A013,"50 units."
ACE-CURR-OLP06,Open Logic Project,Open Logic Text,set-theory,advanced-undergraduate,set theory,sets functions relations and proof methods,LaTeX and PDF,CC BY 4.0,29899,print screen HTML and modular PDFs,ACE-A013,"72 units."
ACE-CURR-OLP07,Open Logic Project,Open Logic Text,computability,advanced-undergraduate,computability,first-order logic,LaTeX and PDF,CC BY 4.0,20291,print screen HTML and modular PDFs,ACE-A013,"44 units."
ACE-CURR-OLP08,Open Logic Project,Open Logic Text,lambda-calculus,advanced-undergraduate,lambda calculus,logic and proof methods,LaTeX and PDF,CC BY 4.0,16812,print screen HTML and modular PDFs,ACE-A013,"44 units."
ACE-CURR-OLP09,Open Logic Project,Open Logic Text,turing-machines,advanced-undergraduate,Turing machines,computability,LaTeX and PDF,CC BY 4.0,16674,print screen HTML and modular PDFs,ACE-A013,"22 units."
