portfolio_exposure_position,intervention_id,intervention_name,target_profile,territory,population_observation_id,population_measure_class,source_population_measure,learner_or_age_stratum,source_year,population_low,population_base,population_high,content_deficit_D_ex_ante,target_identity_C_conditional_on_standard_literacy,target_readable_N_low,target_readable_N_base_sensitivity,target_readable_N_high,practical_access_P_low,practical_access_P_base,practical_access_P_high,practical_access_evidence_status,academic_nonoverlap_U_low,academic_nonoverlap_U_base,academic_nonoverlap_U_high,academic_nonoverlap_evidence_status,factor_evidence_class,marginal_access_low,marginal_access_base_sensitivity,marginal_access_high,base_midpoint_sensitivity_per_million_tokens,base_midpoint_sensitivity_rank_low,base_midpoint_sensitivity_rank_high,conservative_score_per_million_tokens,conservative_rank_low,conservative_rank_high,optimistic_sensitivity_per_million_tokens,optimistic_sensitivity_rank_low,optimistic_sensitivity_rank_high,bibliographic_scarcity_proxy_per_million_tokens,bibliographic_scarcity_proxy_rank_low,bibliographic_scarcity_proxy_rank_high,direct_evidence_rank_status,interpretation
1,NAT-122,Standard Simplified Chinese (Mainland China),zh-Hans-CN,China,POP-CN-001,territory_all_residents_ceiling,official_census_mainland_population_gross_territory_ceiling,national written-standard potential population,2020-11-01,1411778724,1411778724,1411778724,1.000000,1.000000,0,1365754738,1411778724,0.000000,0.967400,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,682877354,1411778724,167657534.687,1,1,0.000,1,137,1546753034.007,1,1,16177443.237,1,1,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
2,NAT-124,Standard Hindi (India),hi-Deva-IN,India,POP-IN-COMP-006,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,2011,322230097,322230097,322230097,1.000000,1.000000,0,251863100,322230097,0.000000,0.781625,1.000000,territory_adult_literacy_proxy_sensitivity,0.933269,0.966634,0.986654,India_C17_category_proxy_sensitivity,contains_proxy,0,243459662,317929549,59773320.183,2,2,0.000,1,137,348325474.918,2,2,12059506.527,2,2,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
3,NAT-003,Telugu,te-Telu-IN,India,POP-IN-COMP-021,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,2011,80912459,80912459,80912459,1.000000,1.000000,0,63243201,80912459,0.000000,0.781625,1.000000,territory_adult_literacy_proxy_sensitivity,0.828935,0.914467,0.965787,India_C17_category_proxy_sensitivity,contains_proxy,0,57833869,78144198,14199158.665,6,6,0.000,1,137,85615240.754,8,8,8220560.322,3,3,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
4,NAT-121,Bahasa Indonesia,id-Latn-ID,Indonesia,POP-ID-018,functional_language_ability_or_estimate,official_long_form_census_able_to_speak_indonesian_persons_age5plus,population_age_5_plus,2022,0,248501794,248501794,1.000000,1.000000,0,238561722,248501794,0.000000,0.960000,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,119280861,248501794,29285397.991,3,3,0.000,1,137,272260020.137,3,3,256891.582,29,29,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
5,NAT-001,Bangladesh Bangla,bn-Beng-BD,Bangladesh,ASSEC-BD-BN-001,functional_language_ability_or_estimate,derived_cldr_territory_functional_language_users,functional_literate_language_users_L1_or_later_language,2026-03-17 CLDR release; component estimate year not stated,0,165323060,165323060,1.000000,1.000000,0,130605217,165323060,0.000000,0.790000,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,65302609,165323060,16032856.221,5,5,0.000,1,137,181128912.272,4,4,3937893.946,11,11,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
6,NAT-006,Marathi,mr-Deva-IN,India,POP-IN-COMP-013,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,2011,82801140,82801140,82801140,1.000000,1.000000,0,64719441,82801140,0.000000,0.781625,1.000000,territory_adult_literacy_proxy_sensitivity,0.554905,0.777452,0.910981,India_C17_category_proxy_sensitivity,contains_proxy,0,50316309,75430264,12353475.001,7,7,0.000,1,137,82641838.777,9,9,7693830.838,4,4,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
7,NAT-002,Indian Bengali,bn-Beng-IN,India,POP-IN-COMP-002,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,2011,96177835,96177835,96177835,1.000000,1.000000,0,75175000,96177835,0.000000,0.781625,1.000000,territory_adult_literacy_proxy_sensitivity,0.854331,0.927166,0.970866,India_C17_category_proxy_sensitivity,contains_proxy,0,69699712,93375817,17112416.767,4,4,0.000,1,137,102303091.690,6,6,4203049.116,10,10,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
8,NAT-123,Japanese (Japan),ja-Jpan-JP,Japan,POP-JP-001,territory_all_residents_ceiling,official_census_territory_population_gross_ceiling,national written-standard potential population,2020-10-01,126146099,126146099,126146099,1.000000,1.000000,0,63073050,126146099,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,contains_ignorance_midpoint,0,31536525,126146099,7742731.551,12,12,0.000,1,137,138206404.474,5,5,339596.209,27,27,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
9,NAT-038,Javanese,jv-Latn-ID,Indonesia,POP-ID-001,home_or_usual_language_use,daily_language_at_home_age5plus_persons,large_regional_home_language,2010,68044660,68044660,68044660,1.000000,1.000000,0,65322874,68044660,0.000000,0.960000,1.000000,territory_adult_literacy_proxy_sensitivity,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,proxy_plus_ignorance_midpoint,0,32661437,68044660,8018915.805,11,11,0.000,1,137,74550127.802,10,10,7385846.328,5,5,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
10,NAT-004,Indian Tamil,ta-Taml-IN,India,POP-IN-COMP-020,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,2011,68888839,68888839,68888839,1.000000,1.000000,0,53845239,68888839,0.000000,0.781625,1.000000,territory_adult_literacy_proxy_sensitivity,0.797288,0.898644,0.959458,India_C17_category_proxy_sensitivity,contains_proxy,0,48387709,66095914,11879972.227,8,8,0.000,1,137,72415070.278,11,11,5835774.870,7,7,not_directly_rankable_contains_proxy_or_ignorance_midpoint,"Base and optimistic values are factor-model sensitivities. Neutral 0.5 values are ignorance midpoints, not empirical estimates; cross-measure population comparisons remain descriptive."
