exposure_position,entry_id,entry_type,entry_name,target_profiles,territory_or_scope,component_profile_ids,named_output_profile_ids,population_source_ids,matched_matrix_row_ids,matched_interlanguage_intervention_ids,matched_mechanism_classes,matched_edge_roles,profile_match_basis,comprehension_evidence_statuses,rankable_matrix_rows,current_cross_language_demographic_reach_credit,demographic_reach_credit_basis,shared_core_compute_reuse,current_direct_component_completion_overlap,forward_component_deficit_D,forward_next_nonduplicative_actions,double_count_rules,exclusions,interlanguage_source_ids,matrix_confidence,crosswalk_note
1,SHC-BN,pluricentric_shared_core_with_named_outputs,Bangla shared-source caregiver/ECE and Indian TVET residuals,bn-Beng-BD; bn-Beng-IN,Bangladesh; West Bengal and other Indian Bengali contexts,GLB-010;GLB-011,bn-Beng-BD;bn-Beng-IN,SUP-039;SUPSRC-BD-BBS-PHC2022-SEDS2023;POP-IN-002;PM-S001;POP-IN-COMP-002,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"High same-script semantic, terminology, formula, accessibility and QA reuse; two separately localized curricula and examples. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",SHC-BN owns caregiver/ECE and Indian Bengali secondary/TVET only. NAT-001 owns Bangladesh grades 2–5 recovery. NAT-002 Indian Bengali grades 3–8 catch-up is a distinct stage-specific action. Do not sum learner/caregiver roles or ordinal R bands into a measured total.,SHC-BN owns caregiver/ECE and Indian Bengali secondary/TVET only. NAT-001 owns Bangladesh grades 2–5 recovery. NAT-002 Indian Bengali grades 3–8 catch-up is a distinct stage-specific action. Do not sum learner/caregiver roles or ordinal R bands into a measured total.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
2,NAT-003,natural_language_locale_output,Telugu applied STEM and tertiary-transition package,te-Telu-IN with Andhra Pradesh and Telangana overlays,"Andhra Pradesh and Telangana, India",GLB-012,te-Telu-IN,POP-IN-021;PM-S001;POP-IN-COMP-021,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,Reuse source semantics and labs across two state overlays; each curriculum crosswalk remains distinct. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Do not average Andhra Pradesh and Telangana outcomes or treat one state curriculum as the other.,Do not average Andhra Pradesh and Telangana outcomes or treat one state curriculum as the other.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
3,NAT-010,natural_language,Odia,or-Orya-IN,Odisha India,GLB-018,or-Orya-IN,POP-IN-015;PM-S001;POP-IN-COMP-015,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Below 50M on verified measures.,Below 50M on verified measures.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
4,NAT-125,natural_language,Bhojpuri (India),bho-Deva-IN,India,GLB-052,bho-Deva-IN,POP-IN-023;PM-S001,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.","Never add Bhojpuri to the parent Hindi census umbrella; award zero automatic Hindi comprehension credit; keep Nepal, Mauritius, Magahi and Maithili outputs separate.","Never add Bhojpuri to the parent Hindi census umbrella; award zero automatic Hindi comprehension credit; keep Nepal, Mauritius, Magahi and Maithili outputs separate.",,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
5,SHC-HAUSA,cross_border_shared_core_with_named_orthographies,Hausa boko Nigeria–Niger package with optional established Ajami layers,ha-Latn-NG; ha-Latn-NE; optional locally established ha-Arab layers,Nigeria and Niger; cross-border communities,GLB-037,ha-Latn-NG;ha-Latn-NE,SUP-026;SUPSRC-NEWMAN-HAUSA-2022;SUP-027;SUPSRC-WORLDBANK-HAUSA-2022,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,High semantic core reuse; country orthographies and every Ajami layer stay explicit and separately validated. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Never invent one universal Ajami or convert oral user estimates into written educational reach.,Never invent one universal Ajami or convert oral user estimates into written educational reach.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
6,NAT-082,natural_language,Bambara,bm-Latn-ML,Mali,,bm-Latn-ML,POP-ML-AFG-001;AFG-S008,EDGE-MAN-001,IL-MANDING,pluricentric_shared_core,coverage_candidate,exact_profile_tag,architecture_not_comprehension_claim,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Named output only; no continuum-wide population,Other Manding and Mande languages,ACE-A021,low,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
7,NAT-124,natural_language,Standard Hindi first-year and research-methods bridge,hi-Deva-IN,India,GLB-007,hi-Deva-IN,POP-IN-COMP-006;PM-S001,EDGE-HU-001,IL-HU,dual_script_register,coverage_candidate,exact_profile_tag,baseline_only,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,High semantic/formula reuse Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,"FWD-HI-FR2 FR-2 Formal Reasoning Core at D3: complete=210/210; residual=0 | FWD-HI-OTHER Uncovered Hindi subject, stage, and accessibility residuals: scope unresolved",FWD-HI-FR2=0.000000 [exact_completed_corpus] | FWD-HI-OTHER=unmeasured [unknown_until_exact_target_work_format_is_registered],"FWD-HI-FR2: Do not retranslate FR-2; commission only a separately demonstrated subject, stage, or format residual. | FWD-HI-OTHER: Name and audit an exact missing work, stage, and format before computing a residual score.",Existing Hindi coverage is baseline and not added to Urdu adaptation reach; C-17 language knowledge is not academic comfort,Urdu and Hindi census umbrella sublanguages,ACE-E011;ACE-E019;ACE-A007,medium,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
8,EXP-026,natural_language,Peru Ashaninka Latin-script edition,cni-Latn-PE,Peru,,cni-Latn-PE,POP-PE-003;PM-S007,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Separate childhood-language category; do not add to aggregate Quechua/Aimara rows or to other measures without a common-universe proof.,Separate childhood-language category; do not add to aggregate Quechua/Aimara rows or to other measures without a common-universe proof.,,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
9,GLB-027,learned_lingua_franca,Russian learned standard,ru-Cyrl-RU; localized successor-state overlays,Europe/Central Asia,GLB-027,ru-Cyrl-RU,SUP-014;SUPSRC-RU-ROSSTAT-CENSUS-2021;SUP-015,,,,,none_exact,,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,"Single named output; source, notation and accessibility tooling may be reused, but no extra reader reach is inferred. Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.",No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.","Russian competence is not blanket coverage for Indigenous, displaced, diaspora or successor-state communities.","Russian competence is not blanket coverage for Indigenous, displaced, diaspora or successor-state communities.",,,"No exact intervention-ID or exact profile-tag relation exists in the normalized matrix. No family, script or name-based coverage is inferred."
10,NAT-058,natural_language,Dari,prs-Arab-AF,Afghanistan and displaced cohorts,,prs-Arab-AF,ASSEC-AF-PRS-001;ASSEC-S018,EDGE-PDT-002,IL-PDT,pluricentric_shared_core,coverage_candidate,exact_profile_tag,architecture_not_comprehension_claim,0,0,Conservative zero under the current evidence: no matched matrix row is rankable for cross-language demographic reach. This does not set production reuse to zero.,High semantic reuse with script/locale deltas Package-specific token savings are unmeasured unless separately quantified in a named compute receipt.,No exact work-level completion row is registered in Table C.,unregistered_not_zero,"Register an exact work, stage and format before assigning a forward content deficit.",Zero fa-IR reach pending technical-text evidence; named Dari output claims only exact cells,Pashto Hazaragi and other languages,ACE-A009;ACE-A021,low,"Exact matrix relations are listed for production reuse and evidence routing. Every matched row is currently non-rankable for demographic reach, so direct cross-language credit remains zero."
