intervention_id,display_scenario,token_scenario,reuse_assumption_scenario,mechanism_class,named_outputs,exact_target_profiles,constituent_observation_ids,diagnostic_component_subtotal_noncardinal,single_output_gross_tokens,independent_named_output_gross_tokens,shared_core_named_output_gross_tokens,derivative_increment_gross_tokens,constructed_surface_gross_tokens,total_shared_core_architecture_gross_tokens,modeled_gross_token_saving,modeled_saving_fraction,upstream_links_authorize_union,upstream_matrix_authorizes_union,cardinal_rankable,empirical_status,cardinal_treatment
IL-HU,low,low,reuse_optimistic,dual_script_register,2,ur-Arab-PK;ur-Arab-IN,POP-PK-001;POP-IN-COMP-022,72975069,912737,1825474,1095284,0,0,1095284,730190,0.400000,false,false,false,unobserved_shared_core_reuse_sensitivity,blocked_fail_closed; diagnostic architecture comparison only
IL-HU,base,base,reuse_base,dual_script_register,2,ur-Arab-PK;ur-Arab-IN,POP-PK-001;POP-IN-COMP-022,72975069,4073049,8146098,6109574,0,0,6109574,2036524,0.250000,false,false,false,unobserved_shared_core_reuse_sensitivity,blocked_fail_closed; diagnostic architecture comparison only
IL-HU,high,high,reuse_conservative,dual_script_register,2,ur-Arab-PK;ur-Arab-IN,POP-PK-001;POP-IN-COMP-022,72975069,18664571,37329142,33596228,0,0,33596228,3732914,0.100000,false,false,false,unobserved_shared_core_reuse_sensitivity,blocked_fail_closed; diagnostic architecture comparison only
IL-NGUNI,low,low,reuse_optimistic,pluricentric_shared_core,4,zu-Latn-ZA;xh-Latn-ZA;ss-Latn-ZA;nr-Latn-ZA,ZA-ZUL-2022;ZA-XHO-2022;ZA-SSW-2022;ZA-NBL-2022,27137226,912737,3650948,1460379,0,0,1460379,2190569,0.600000,false,false,false,unobserved_shared_core_reuse_sensitivity,blocked_fail_closed; diagnostic architecture comparison only
IL-NGUNI,base,base,reuse_base,pluricentric_shared_core,4,zu-Latn-ZA;xh-Latn-ZA;ss-Latn-ZA;nr-Latn-ZA,ZA-ZUL-2022;ZA-XHO-2022;ZA-SSW-2022;ZA-NBL-2022,27137226,4073049,16292196,10182623,0,0,10182623,6109573,0.375000,false,false,false,unobserved_shared_core_reuse_sensitivity,blocked_fail_closed; diagnostic architecture comparison only
IL-NGUNI,high,high,reuse_conservative,pluricentric_shared_core,4,zu-Latn-ZA;xh-Latn-ZA;ss-Latn-ZA;nr-Latn-ZA,ZA-ZUL-2022;ZA-XHO-2022;ZA-SSW-2022;ZA-NBL-2022,27137226,18664571,74658284,63459541,0,0,63459541,11198743,0.150000,false,false,false,unobserved_shared_core_reuse_sensitivity,blocked_fail_closed; diagnostic architecture comparison only
IL-PUNJABI,low,low,reuse_optimistic,dual_script_register,2,pa-Guru-IN;pnb-Arab-PK,POP-IN-COMP-016;POP-PK-002,120059639,912737,1825474,1095284,0,0,1095284,730190,0.400000,false,false,false,unobserved_shared_core_reuse_sensitivity,blocked_fail_closed; diagnostic architecture comparison only
IL-PUNJABI,base,base,reuse_base,dual_script_register,2,pa-Guru-IN;pnb-Arab-PK,POP-IN-COMP-016;POP-PK-002,120059639,4073049,8146098,6109574,0,0,6109574,2036524,0.250000,false,false,false,unobserved_shared_core_reuse_sensitivity,blocked_fail_closed; diagnostic architecture comparison only
IL-PUNJABI,high,high,reuse_conservative,dual_script_register,2,pa-Guru-IN;pnb-Arab-PK,POP-IN-COMP-016;POP-PK-002,120059639,18664571,37329142,33596228,0,0,33596228,3732914,0.100000,false,false,false,unobserved_shared_core_reuse_sensitivity,blocked_fail_closed; diagnostic architecture comparison only
IL-SOTHO,low,low,reuse_optimistic,pluricentric_shared_core,3,nso-Latn-ZA;tn-Latn-ZA;st-Latn-ZA,ZA-NSO-2022;ZA-TSN-2022;ZA-SOT-2022,15624006,912737,2738211,1277832,0,0,1277832,1460379,0.533333,false,false,false,unobserved_shared_core_reuse_sensitivity,blocked_fail_closed; diagnostic architecture comparison only
IL-SOTHO,base,base,reuse_base,pluricentric_shared_core,3,nso-Latn-ZA;tn-Latn-ZA;st-Latn-ZA,ZA-NSO-2022;ZA-TSN-2022;ZA-SOT-2022,15624006,4073049,12219147,8146098,0,0,8146098,4073049,0.333333,false,false,false,unobserved_shared_core_reuse_sensitivity,blocked_fail_closed; diagnostic architecture comparison only
IL-SOTHO,high,high,reuse_conservative,pluricentric_shared_core,3,nso-Latn-ZA;tn-Latn-ZA;st-Latn-ZA,ZA-NSO-2022;ZA-TSN-2022;ZA-SOT-2022,15624006,18664571,55993713,48527885,0,0,48527885,7465828,0.133333,false,false,false,unobserved_shared_core_reuse_sensitivity,blocked_fail_closed; diagnostic architecture comparison only

