"source_id","source_domain","used_in_table2","used_in_top100","table2_intervention_ids","top100_intervention_ids","title","corporate_author_or_institution","registered_date_or_year","accessed_date","source_type","authority_level_or_tier","territory","measure_or_exact_evidence","source_locator","url","local_witness_workspace_relative","registered_bytes","recomputed_bytes","bytes_status","registered_sha256","recomputed_sha256","hash_status","apa_date_rendered","apa_authorship_basis","apa_reference_draft","manuscript_source_note","limitations"
"AFG-S008","population_authority","true","true","EXP-018","EXP-018","RGPH5 2022: Caractéristiques culturelles de la population","Institut National de la Statistique (INSTAT) and Bureau Central du Recensement (BCR), Mali","2022","2026-08-25","official census thematic report","1","Mali","Resident population aged 3 years and above by mother-tongue category","Tableau 3.01, printed p.25; HTML document node HASH01e98829c5a7e2847f521a98.40","https://bibliostat.instat.ml/greenstone3/library/collection/dmograph/document/HASH01e98829c5a7e2847f521a98?ed=1","01_methodology/research_department/ai_compute_educational_access_20260825/staging/africa_large_gaps/sources/Mali_RGPH5_2022_cultural_characteristics.html","483620","483620","PASS","3FB30D8041A0F90171B7A5C1ACC7D234EA02C13736131D2F4FA90A4144B2C915","3FB30D8041A0F90171B7A5C1ACC7D234EA02C13736131D2F4FA90A4144B2C915","PASS","2022","registered authority used as corporate author","Institut National de la Statistique (INSTAT) and Bureau Central du Recensement (BCR), Mali. (2022). *RGPH5 2022: Caractéristiques culturelles de la population* [official census thematic report]. https://bibliostat.instat.ml/greenstone3/library/collection/dmograph/document/HASH01e98829c5a7e2847f521a98?ed=1","AFG-S008 supplies Resident population aged 3 years and above by mother-tongue category for Mali. Registered locator: Tableau 3.01, printed p.25; HTML document node HASH01e98829c5a7e2847f521a98.40. Registered temporal field: 2022. Caveat: Table 3.01 and Annex A03 publish materially different counts, and some printed sex subtotals do not exactly add to the printed ensemble cells. These observations preserve the Table 3.01 ensemble cells verbatim and do not repair or combine them. Peulh/Fulfulde and Malinké/Maninkakan remain source aggregates unless separately resolved.","Table 3.01 and Annex A03 publish materially different counts, and some printed sex subtotals do not exactly add to the printed ensemble cells. These observations preserve the Table 3.01 ensemble cells verbatim and do not repair or combine them. Peulh/Fulfulde and Malinké/Maninkakan remain source aggregates unless separately resolved."
"AFG-S009","population_authority","true","true","NAT-081;OBS-POP-SN-AFG-002;OBS-POP-SN-AFG-005","NAT-081;OBS-POP-SN-AFG-002;OBS-POP-SN-AFG-005","RGPH-5 2023 definitive report, Theme I: Etat et structure, urbanisation et caractéristiques socioculturelles de la population","Agence Nationale de la Statistique et de la Démographie (ANSD), Senegal","2023","2026-08-25","official census report","1","Senegal","Resident population aged 3 years and above by principal language commonly spoken","Tableau I-32, printed pp.57-58; PDF pp.94-95","https://www.ansd.sn/sites/default/files/recensements/rapport/rapport_national/Rapport-def-RGPH-5.pdf","01_methodology/research_department/ai_compute_educational_access_20260825/staging/africa_large_gaps/sources/Senegal_RGPH5_2023_Theme_I.pdf","14907435","14907435","PASS","5DCA370935549249A1883522A7E6CDDBD6282140571A7F1B874AC9EAB2BF16B2","5DCA370935549249A1883522A7E6CDDBD6282140571A7F1B874AC9EAB2BF16B2","PASS","2023","registered authority used as corporate author","Agence Nationale de la Statistique et de la Démographie (ANSD), Senegal. (2023). *RGPH-5 2023 definitive report, Theme I: Etat et structure, urbanisation et caractéristiques socioculturelles de la population* [official census report]. https://www.ansd.sn/sites/default/files/recensements/rapport/rapport_national/Rapport-def-RGPH-5.pdf","AFG-S009 supplies Resident population aged 3 years and above by principal language commonly spoken for Senegal. Registered locator: Tableau I-32, printed pp.57-58; PDF pp.94-95. Registered temporal field: 2023. Caveat: Principal-language categories are mutually exclusive and do not measure all languages spoken, literacy, or academic reading ability. Joola is not a single exact variety. ISO mappings are editorial and not supplied by the census table.","Principal-language categories are mutually exclusive and do not measure all languages spoken, literacy, or academic reading ability. Joola is not a single exact variety. ISO mappings are editorial and not supplied by the census table."
"AFG-S011","population_authority","true","true","NAT-079","NAT-079","Répartition de la population issue du RGPH 2008","Institut de Statistiques et d’Études Économiques du Burundi (ISTEEBU/INSBU)","2008","2026-08-25","official census tables","1","Burundi","Population aged 10 years and above by mutually exclusive language read-and-written combination","Tableau 3.2, PDF p.62","https://www.insbu.bi/documents/recensements/R%C3%A9partition-de-la-population-issue-du-RGPH-2008.pdf","01_methodology/research_department/ai_compute_educational_access_20260825/staging/africa_large_gaps/sources/Burundi_RGPH2008_population_tables.pdf","580356","580356","PASS","5B4FB61FFD849743E5CE3B54F2A36E1775ACAD2D219ACD900C3486A80D2437FC","5B4FB61FFD849743E5CE3B54F2A36E1775ACAD2D219ACD900C3486A80D2437FC","PASS","2008","registered authority used as corporate author","Institut de Statistiques et d’Études Économiques du Burundi (ISTEEBU/INSBU). (2008). *Répartition de la population issue du RGPH 2008* [official census tables]. https://www.insbu.bi/documents/recensements/R%C3%A9partition-de-la-population-issue-du-RGPH-2008.pdf","AFG-S011 supplies Population aged 10 years and above by mutually exclusive language read-and-written combination for Burundi. Registered locator: Tableau 3.2, PDF p.62. Registered temporal field: 2008. Caveat: The any-Kirundi count is a derived sum of 16 mutually exclusive total-column rows containing Kirundi. It is nested over the exact Kirundi-only cell; never add the two observations. Counts concern reading and writing among persons aged 10+, not total speakers.","The any-Kirundi count is a derived sum of 16 mutually exclusive total-column rows containing Kirundi. It is nested over the exact Kirundi-only cell; never add the two observations. Counts concern reading and writing among persons aged 10+, not total speakers."
"ALG-S007","population_authority","true","true","NAT-047","NAT-047","National composition, religion and language proficiency in the Republic of Kazakhstan","Bureau of National Statistics of the Agency for Strategic Planning and Reforms of the Republic of Kazakhstan","2021","2026-08-25","official national census statistical collection","1","Kazakhstan","Native language by nationality and population language proficiency","Table 6, printed p. 243; Table 8, printed p. 366","https://stat.gov.kz/upload/medialibrary/cee/3rsfg8ps3xo19orb284esg4rx27ihqf7/%D0%9D%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D1%81%D1%82%D0%B0%D0%B2.pdf","01_methodology/research_department/ai_compute_educational_access_20260825/staging/asia_large_gaps/sources/kazakhstan_bns_2021_census_nationality_language.pdf","","3854606","NOT_REGISTERED_RECOMPUTED","7526D0EC8C1C23DCB37760A5CE5F6A2D43BEE9255DAF6D6C2CDB0C4D08496204","7526D0EC8C1C23DCB37760A5CE5F6A2D43BEE9255DAF6D6C2CDB0C4D08496204","PASS","2021","registered authority used as corporate author","Bureau of National Statistics of the Agency for Strategic Planning and Reforms of the Republic of Kazakhstan. (2021). *National composition, religion and language proficiency in the Republic of Kazakhstan* [official national census statistical collection]. https://stat.gov.kz/upload/medialibrary/cee/3rsfg8ps3xo19orb284esg4rx27ihqf7/%D0%9D%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BE%D1%81%D1%82%D0%B0%D0%B2.pdf","ALG-S007 supplies Native language by nationality and population language proficiency for Kazakhstan. Registered locator: Table 6, printed p. 243; Table 8, printed p. 366. Registered temporal field: 2021. Caveat: Table 6 counts language-of-own-nationality only within each nationality and omits cross-nationality native speakers. Table 8 proficiency is not mother tongue or academic comfort; its 17,194,712-person universe appears to be age 5+ from the age table, so the age interpretation is retained as a caveat.","Table 6 counts language-of-own-nationality only within each nationality and omits cross-nationality native speakers. Table 8 proficiency is not mother tongue or academic comfort; its 17,194,712-person universe appears to be age 5+ from the age table, so the age interpretation is retained as a caveat."
"ALG-S008","population_authority","true","true","NAT-048","NAT-048","Population and Housing Census of the Kyrgyz Republic 2022: Book II (Part One), Population of Kyrgyzstan","National Statistical Committee of the Kyrgyz Republic","2022","2026-08-25","official national census statistical collection","1","Kyrgyzstan","Native language by ethnic group","Table 3.8, printed pp. 118-119","https://stat.gov.kg/media/publicationarchive/0f717d2d-5078-4e18-8b56-fb2a530462a2.pdf","01_methodology/research_department/ai_compute_educational_access_20260825/staging/asia_large_gaps/sources/central_asia_extract/kyrgyzstan_nsc_2022_census_book2_part1_ru.pdf","","4940364","NOT_REGISTERED_RECOMPUTED","C9390DD29B4415572139E4A249057B0A35F130BA9F17E548727C0F35E71BF46D","C9390DD29B4415572139E4A249057B0A35F130BA9F17E548727C0F35E71BF46D","PASS","2022","registered authority used as corporate author","National Statistical Committee of the Kyrgyz Republic. (2022). *Population and Housing Census of the Kyrgyz Republic 2022: Book II (Part One), Population of Kyrgyzstan* [official national census statistical collection]. https://stat.gov.kg/media/publicationarchive/0f717d2d-5078-4e18-8b56-fb2a530462a2.pdf","ALG-S008 supplies Native language by ethnic group for Kyrgyzstan. Registered locator: Table 3.8, printed pp. 118-119. Registered temporal field: 2022. Caveat: National Kyrgyz, Uzbek, and Russian native-language totals in the observation file are exact sums of mutually exclusive own-ethnicity and cross-ethnicity cells. Other named groups are nationality-scoped own-language counts and therefore lower bounds on total speakers.","National Kyrgyz, Uzbek, and Russian native-language totals in the observation file are exact sums of mutually exclusive own-ethnicity and cross-ethnicity cells. Other named groups are nationality-scoped own-language counts and therefore lower bounds on total speakers."
"ALG-S009","population_authority","true","true","NAT-055","NAT-055","Results of the Complete Population and Housing Census of Turkmenistan - 2022: National Composition and Language Proficiency","State Committee of Turkmenistan on Statistics","2022","2026-08-25","official national census tables","1","Turkmenistan","Population by mother tongue","Table 4.9, PDF section pp. 8-10","https://stat.gov.tm/population-census-pdfs/results/en/4.pdf","01_methodology/research_department/ai_compute_educational_access_20260825/staging/asia_large_gaps/sources/turkmenistan_stat_2022_census_section4_language.pdf","","4032390","NOT_REGISTERED_RECOMPUTED","2AE148462D99088ACBBE5BEE055E50E7B3017BD6B3D655959B6144DA6780F1A1","2AE148462D99088ACBBE5BEE055E50E7B3017BD6B3D655959B6144DA6780F1A1","PASS","2022","registered authority used as corporate author","State Committee of Turkmenistan on Statistics. (2022). *Results of the Complete Population and Housing Census of Turkmenistan - 2022: National Composition and Language Proficiency* [official national census tables]. https://stat.gov.tm/population-census-pdfs/results/en/4.pdf","ALG-S009 supplies Population by mother tongue for Turkmenistan. Registered locator: Table 4.9, PDF section pp. 8-10. Registered temporal field: 2022. Caveat: Direct mother-tongue totals. Published category labels such as Baloch are retained as-is and do not establish a narrower variety.","Direct mother-tongue totals. Published category labels such as Baloch are retained as-is and do not establish a narrower variety."
"ALG-S011","population_authority","true","true","NAT-031","NAT-031","General Population Census of the Kingdom of Cambodia 2019: National Report on Final Census Results","National Institute of Statistics Cambodia","2019","2026-08-25","official national census report","1","Cambodia","Population by mother tongue","Table 2.7.1, PDF p. 53 / printed p. 25","https://nis.gov.kh/nis/Census2019/Final%20General%20Population%20Census%202019-English.pdf","01_methodology/research_department/ai_compute_educational_access_20260825/staging/asia_large_gaps/sources/cambodia_nis_2019_final_census.pdf","","26586966","NOT_REGISTERED_RECOMPUTED","8A10064A917F4492136ABC770901DDFC868490E0558BD12AC1E4DED86D9D36B5","8A10064A917F4492136ABC770901DDFC868490E0558BD12AC1E4DED86D9D36B5","PASS","2019","registered authority used as corporate author","National Institute of Statistics Cambodia. (2019). *General Population Census of the Kingdom of Cambodia 2019: National Report on Final Census Results* [official national census report]. https://nis.gov.kh/nis/Census2019/Final%20General%20Population%20Census%202019-English.pdf","ALG-S011 supplies Population by mother tongue for Cambodia. Registered locator: Table 2.7.1, PDF p. 53 / printed p. 25. Registered temporal field: 2019. Caveat: The table covers all persons in census households and excludes migrants working abroad. Published total-category counts sum to the stated universe, but multiple male/female subtotals do not sum to their published category totals; only the total-category column is staged.","The table covers all persons in census households and excludes migrants working abroad. Published total-category counts sum to the stated universe, but multiple male/female subtotals do not sum to their published category totals; only the total-category column is staged."
"ALG-S014","population_authority","true","true","EXP-031;EXP-032;EXP-033;EXP-034;EXP-035;NAT-041;NAT-044","EXP-031;EXP-032;EXP-033;EXP-034;EXP-035;NAT-041;NAT-044","Timor-Leste Population and Housing Census 2015 Volume 2 Language Tables","General Directorate of Statistics Timor-Leste","2015","2026-08-25","official national census workbook","1","Timor-Leste","Population by mother tongue","Workbook 4_2015 V2 Language.xls, sheet 2.12, Table 12","https://www.laohamutuk.org/DVD/DGS/Cens15/Census2015v2data.zip","01_methodology/research_department/ai_compute_educational_access_20260825/staging/asia_large_gaps/sources/timor_leste_dgs_2015_census_volume2_extract/4_2015 V2 Language.xls","","621056","NOT_REGISTERED_RECOMPUTED","6330C19CCFF1204763546E205BE4D86BF5687461BA4AC4EF9F09D13E79D28FF2","6330C19CCFF1204763546E205BE4D86BF5687461BA4AC4EF9F09D13E79D28FF2","PASS","2015","registered authority used as corporate author","General Directorate of Statistics Timor-Leste. (2015). *Timor-Leste Population and Housing Census 2015 Volume 2 Language Tables* [official national census workbook]. https://www.laohamutuk.org/DVD/DGS/Cens15/Census2015v2data.zip","ALG-S014 supplies Population by mother tongue for Timor-Leste. Registered locator: Workbook 4_2015 V2 Language.xls, sheet 2.12, Table 12. Registered temporal field: 2015. Caveat: The official DGS workbook is preserved from a longstanding external mirror archive. Counts are direct mother-tongue totals; distinct source varieties such as Tetun Prasa and Tetun Terik remain separate.","The official DGS workbook is preserved from a longstanding external mirror archive. Counts are direct mother-tongue totals; distinct source varieties such as Tetun Prasa and Tetun Terik remain separate."
"ALG-S018","population_authority","true","true","EXP-003","EXP-003","Проведена конференция посвящённая предварительным результатам переписи населения и сельского хозяйства","National Statistics Committee of the Republic of Uzbekistan","2026-06-30","2026-08-25","official preliminary national census release","1","Uzbekistan","Preliminary national population and Uzbek mother-tongue results","Paragraphs reporting the exact preliminary population total and 35.7 million / 91.3 percent Uzbek mother tongue","https://stat.uz/ru/press-tsentr/novosti-goskomstata/68978-a-oli-va-ishlo-kh-zhaligini-r-jkhatga-olish-tadbirining-dastlabki-natizhalariga-ba-ishlangan-konferentsiya-tkazildi-3","01_methodology/research_department/ai_compute_educational_access_20260825/staging/asia_large_gaps/sources/uzbekistan_nsc_2026_preliminary_census_language.html","","114321","NOT_REGISTERED_RECOMPUTED","407366E390DE51D15021FD8C2CF5437A003566B6D90023999D485554D8FE62AF","407366E390DE51D15021FD8C2CF5437A003566B6D90023999D485554D8FE62AF","PASS","2026, June 30","registered authority used as corporate author","National Statistics Committee of the Republic of Uzbekistan. (2026, June 30). *Проведена конференция посвящённая предварительным результатам переписи населения и сельского хозяйства* [official preliminary national census release]. https://stat.uz/ru/press-tsentr/novosti-goskomstata/68978-a-oli-va-ishlo-kh-zhaligini-r-jkhatga-olish-tadbirining-dastlabki-natizhalariga-ba-ishlangan-konferentsiya-tkazildi-3","ALG-S018 supplies Preliminary national population and Uzbek mother-tongue results for Uzbekistan. Registered locator: Paragraphs reporting the exact preliminary population total and 35.7 million / 91.3 percent Uzbek mother tongue. Registered temporal field: 2026-06-30. Caveat: Preliminary release. The mother-tongue count is rounded to 0.1 million; its separately published 91.3 percent does not arithmetically reproduce 35.7 million against the exact preliminary population total, so the percentage is not used to narrow the count range. Post-enumeration coverage was reported as 97.3 percent.","Preliminary release. The mother-tongue count is rounded to 0.1 million; its separately published 91.3 percent does not arithmetically reproduce 35.7 million against the exact preliminary population total, so the percentage is not used to narrow the count range. Post-enumeration coverage was reported as 97.3 percent."
"ASSEC-S006","population_authority","true","true","NAT-001;NAT-005;NAT-027;NAT-030;NAT-032;NAT-049;NAT-050","NAT-001;NAT-005;NAT-027;NAT-030;NAT-032;NAT-049;NAT-050","Transparent CLDR 48.2 target person-count derivations and exclusion audit","Arithmetic derivation from ASSEC-S001 through ASSEC-S005","2026-03-17 release; component years not stated","2026-08-25","transparent secondary derivation witness","2","Bangladesh; Myanmar; Laos; Mongolia; Sri Lanka; Malaysia; Tajikistan","Nearest-person arithmetic from pinned territory population times pinned language population percentage; no invented confidence interval","cldr_target_derivations.md formulas table and exclusion audit","https://raw.githubusercontent.com/unicode-org/cldr/release-48-2/common/supplemental/supplementalData.xml","01_methodology/research_department/ai_compute_educational_access_20260825/staging/asia_secondary_estimates/sources/cldr_target_derivations.md","3740","3740","PASS","C953259BCD31245CED999D553C6289E48BBB7BB727F9411DBB95AF340466AAE5","C953259BCD31245CED999D553C6289E48BBB7BB727F9411DBB95AF340466AAE5","PASS","2026, March 17","title-first reference because the register identifies an arithmetic derivation, not an author","*Transparent CLDR 48.2 target person-count derivations and exclusion audit*. (2026, March 17). [transparent secondary derivation witness]. https://raw.githubusercontent.com/unicode-org/cldr/release-48-2/common/supplemental/supplementalData.xml","ASSEC-S006 supplies Nearest-person arithmetic from pinned territory population times pinned language population percentage; no invented confidence interval for Bangladesh; Myanmar; Laos; Mongolia; Sri Lanka; Malaysia; Tajikistan. Registered locator: cldr_target_derivations.md formulas table and exclusion audit. Registered temporal field: 2026-03-17 release; component years not stated. Caveat: Derived point counts inherit CLDR's unspecified component vintages and uncertainty. Integer percentage rounding rules are not published, so observation low/high fields remain blank. Not direct census evidence.","Derived point counts inherit CLDR's unspecified component vintages and uncertainty. Integer percentage rounding rules are not published, so observation low/high fields remain blank. Not direct census evidence."
