portfolio_position,top100,intervention_id,intervention_name,target_profiles,territory_or_scope,portfolio_lane,region,subregion,observation_id,observation_language_label,observation_edition_profile,observation_territory,modality,script_or_profile,learner_stratum,population_measure,count_unit,population_low,population_base,population_high,source_reported_low,source_reported_high,population_interval_status,reference_date_or_year,source_id,source_locator,source_observation_transcribed_exactly,source_title,source_authority,source_type,source_tier,source_confidence,marginal_access_low,marginal_access_base_sensitivity,marginal_access_high,source_limitations,local_witness_sha256,target_mapping_status,overlap_group_id,alternative_measure_role,existing_edition_overlap_status,access_factor_status,evidence_caveat,observation_caveats,aggregation_rule
1,true,NAT-121,Bahasa Indonesia,id-Latn-ID,Indonesia,high_reach_underserved,Asia,Southeast Asia,POP-ID-018,Bahasa Indonesia,BPS functional-language category Dapat Berbahasa Indonesia,Indonesia,written_text_candidate,Latin,population_age_5_plus,official_long_form_census_able_to_speak_indonesian_persons_age5plus,persons,0,248501794,248501794,,,source_point_without_interval_model_low_zero_high_point,2022,PM-S021,"TOTAL row; 248,501,794 able to speak Indonesian of 253,679,348 persons aged 5+",true,"Jumlah Penduduk Berumur 5 Tahun ke Atas Menurut Wilayah, Jenis Kelamin, dan Kemampuan Berbahasa Indonesia, di INDONESIA",BPS-Statistics Indonesia,official Long Form Population Census 2020 table released for 2022,1,high,0,119280861,248501794,"This is an official long-form census point estimate of oral functional ability, not written literacy, home language, mother tongue, academic reading comfort, or proof of demand for a particular curriculum. The model therefore treats it as a gross Bahasa Indonesia reach ceiling and applies written-access and academic-language non-overlap factors separately.",,exact_named_functional_language_population_ceiling_for_id_Latn_ID,,standalone_functional_language_observation_preferred_over_home_language_for_reach_ceiling,partial_local_editions_subtracted_by_curriculum_not_population,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.","The BPS definition establishes oral functional Indonesian only. It does not establish literacy, academic reading comfort, educational deprivation, or unique readership. Low and high source bounds are unreported, so the model uses the published point as base/high and zero as the evidence-bounded low sensitivity.",Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
2,true,NAT-001,Bangladesh Bangla,bn-Beng-BD,Bangladesh,high_reach_underserved,Asia,South Asia,ASSEC-BD-BN-001,Bangla,NAT-001 bn-Beng-BD Bangladesh Bangla,Bangladesh,written_text_candidate,bn-Beng-BD,functional_literate_language_users_L1_or_later_language,derived_cldr_territory_functional_language_users,persons,0,165323060,165323060,,,source_point_without_interval_model_low_zero_high_point,2026-03-17 CLDR release; component estimate year not stated,ASSEC-S006,cldr_target_derivations.md row bn-Beng-BD; supplementalData.xml XPath /supplementalData/territoryInfo/territory[@type='BD'] and languagePopulation[@type='bn'],false,Transparent CLDR 48.2 target person-count derivations and exclusion audit,Arithmetic derivation from ASSEC-S001 through ASSEC-S005,transparent secondary derivation witness,2,medium,0,65302609,165323060,"Derived point counts inherit CLDR's unspecified component vintages and uncertainty. Integer percentage rounding rules are not published, so observation low/high fields remain blank. Not direct census evidence.",c953259bcd31245ced999d553c6289e48bbb7bb727f9411dbb95af340466aae5,exact_language_and_territory_match_to_NAT-001; population source does not establish orthography,ASSEC-BD-BN-FUNCTIONAL,standalone_secondary_estimate_replaces_no_master_population_count,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.","Derived from territory population 168697000 times 98 percent. CLDR gives no percentage rounding rule or interval, so low/high are blank. CLDR may mix L1 and later functional users and warns inputs are heterogeneous. Master ALG-BD-L001 is sample cases only and does not supersede this population estimate.",Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
3,true,NAT-003,Telugu,te-Telu-IN,India,high_reach_underserved,Asia,South Asia,POP-IN-COMP-021,Telugu,C-16 same-name mother-tongue component: Telugu; edition orthography separately evidenced,India,written_text_candidate,Telugu,same_name_mother_tongue_component_population,census_same_name_mother_tongue_component_persons,persons,80912459,80912459,80912459,80912459,80912459,source_interval_or_exact_bounds,2011,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",true,"C-16 Population by Mother Tongue, Statement 1: Abstract of Speakers' Strength of Languages and Mother Tongues, Census of India 2011","Office of the Registrar General & Census Commissioner, India",official census table,1,high,0,57833869,78144198,"Census language categories can aggregate distinct mother tongues; Hindi parent total overlaps its listed child categories and must not be summed with them. Counts are 2011 observations, not current estimates.",2AAC967E452FC6AF7768A1266E8F88BBD031B61C62383EBDA6B16C8E633B40F3,same_name_mother_tongue_component_preferred_for_standard_edition,ALT-POP-IN-021-CATEGORY-COMPONENT,same_name_component_preferred_over_parent_aggregate,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Component of the broader Telugu census-language category; C-17 overlap remains a category-level proxy. Component is 99.734639% of the printed parent category. Never sum parent and component.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
4,true,NAT-002,Indian Bengali,bn-Beng-IN,India,high_reach_underserved,Asia,South Asia,POP-IN-COMP-002,Bengali,C-16 same-name mother-tongue component: Bengali; edition orthography separately evidenced,India,written_text_candidate,Bengali,same_name_mother_tongue_component_population,census_same_name_mother_tongue_component_persons,persons,96177835,96177835,96177835,96177835,96177835,source_interval_or_exact_bounds,2011,PM-S001,"Statement 1, printed p. 5; Statement 1 same-name mother-tongue component",true,"C-16 Population by Mother Tongue, Statement 1: Abstract of Speakers' Strength of Languages and Mother Tongues, Census of India 2011","Office of the Registrar General & Census Commissioner, India",official census table,1,high,0,69699712,93375817,"Census language categories can aggregate distinct mother tongues; Hindi parent total overlaps its listed child categories and must not be summed with them. Counts are 2011 observations, not current estimates.",2AAC967E452FC6AF7768A1266E8F88BBD031B61C62383EBDA6B16C8E633B40F3,same_name_mother_tongue_component_preferred_for_standard_edition,ALT-POP-IN-002-CATEGORY-COMPONENT,same_name_component_preferred_over_parent_aggregate,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Component of the broader Bengali census-language category; C-17 overlap remains a category-level proxy. Component is 98.910058% of the printed parent category. Never sum parent and component.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
5,true,NAT-028,Vietnamese,vi-Latn-VN,Vietnam,high_reach_underserved,Asia,Southeast Asia,ASSEC-VN-VI-001,Vietnamese,NAT-028 vi-Latn-VN Vietnamese,Vietnam,written_text_candidate,vi-Latn-VN,Vietnam_total_Vietnamese_speakers_L1_L2_unspecified,peer_reviewed_published_lower_bound_speakers,persons,89000000,89000000,89000000,89000000,,source_lower_bound_only_model_high_uses_reported_threshold,2016 publication; population estimate vintage not stated,ASSEC-S007,PubMed XML PMID 27172848; Abstract/AbstractText[@Label='PURPOSE']; first sentence; DOI 10.3109/17549507.2015.1101162,true,Consonants vowels and tones across Vietnamese dialects,International Journal of Speech-Language Pathology; PubMed record by U.S. National Library of Medicine,peer-reviewed scholarly secondary estimate,2,medium,0,42777849,89000000,Rounded lower bound rather than a point estimate; L1 versus L2 and source year of the population estimate are not stated. The article is about dialect phonetics rather than population estimation.,3ea83aeb6ea38206248f82d6f5ee2418c704c686afc8535cf4c2780c00900acd,exact_named_language_and_country_match_to_NAT-028; source does not establish orthography,ASSEC-VN-VI-SPEAKERS,published_lower_bound_not_a_point_estimate,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.","The peer-reviewed abstract says over 89 million people in Vietnam. 89000000 is encoded as the reported rounded threshold, not an exact point count; the true high bound and L1/L2 split are unstated.",Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
6,true,NAT-006,Marathi,mr-Deva-IN,India,high_reach_underserved,Asia,South Asia,POP-IN-COMP-013,Marathi,C-16 same-name mother-tongue component: Marathi; edition orthography separately evidenced,India,written_text_candidate,Devanagari,same_name_mother_tongue_component_population,census_same_name_mother_tongue_component_persons,persons,82801140,82801140,82801140,82801140,82801140,source_interval_or_exact_bounds,2011,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",true,"C-16 Population by Mother Tongue, Statement 1: Abstract of Speakers' Strength of Languages and Mother Tongues, Census of India 2011","Office of the Registrar General & Census Commissioner, India",official census table,1,high,0,50316309,75430264,"Census language categories can aggregate distinct mother tongues; Hindi parent total overlaps its listed child categories and must not be summed with them. Counts are 2011 observations, not current estimates.",2AAC967E452FC6AF7768A1266E8F88BBD031B61C62383EBDA6B16C8E633B40F3,same_name_mother_tongue_component_preferred_for_standard_edition,ALT-POP-IN-013-CATEGORY-COMPONENT,same_name_component_preferred_over_parent_aggregate,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Component of the broader Marathi census-language category; C-17 overlap remains a category-level proxy. Component is 99.728352% of the printed parent category. Never sum parent and component.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
7,true,NAT-004,Indian Tamil,ta-Taml-IN,India,high_reach_underserved,Asia,South Asia,POP-IN-COMP-020,Tamil,C-16 same-name mother-tongue component: Tamil; edition orthography separately evidenced,India,written_text_candidate,Tamil,same_name_mother_tongue_component_population,census_same_name_mother_tongue_component_persons,persons,68888839,68888839,68888839,68888839,68888839,source_interval_or_exact_bounds,2011,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",true,"C-16 Population by Mother Tongue, Statement 1: Abstract of Speakers' Strength of Languages and Mother Tongues, Census of India 2011","Office of the Registrar General & Census Commissioner, India",official census table,1,high,0,48387709,66095914,"Census language categories can aggregate distinct mother tongues; Hindi parent total overlaps its listed child categories and must not be summed with them. Counts are 2011 observations, not current estimates.",2AAC967E452FC6AF7768A1266E8F88BBD031B61C62383EBDA6B16C8E633B40F3,same_name_mother_tongue_component_preferred_for_standard_edition,ALT-POP-IN-020-CATEGORY-COMPONENT,same_name_component_preferred_over_parent_aggregate,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Component of the broader Tamil census-language category; territory-specific terminology remains separate from Sri Lankan Tamil. Component is 99.800017% of the printed parent category. Never sum parent and component.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
8,true,NAT-015,Western Punjabi,pnb-Arab-PK,Pakistan,high_reach_underserved,Asia,South Asia,POP-PK-002,Punjabi,Pakistan 2023 Punjabi category,Pakistan,written_text_candidate,Perso-Arabic,regional_language_population,census_mother_tongue_persons,persons,88915544,88915544,88915544,88915544,88915544,source_interval_or_exact_bounds,2023,PM-S003,"Table 11, national row",true,"Table 11: Population by Mother Tongue, Sex and Rural/Urban, Census 2023",Pakistan Bureau of Statistics,official census table,1,high,0,26167845,88915544,"Several labels are census aggregates (for example Pushto, Balochi, Kohistani); they are not automatically single edition targets.",B74C5E37D943B28F625467FF3AF2AFD73F1EF79573169C9DDD026A2994D5C6F4,source_named_language_observation,,standalone_observation,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Census category may contain dialect variation.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
9,true,NAT-038,Javanese,jv-Latn-ID,Indonesia,high_reach_underserved,Asia,Southeast Asia,POP-ID-001,Javanese,BPS source label Jawa,Indonesia,written_text_candidate,Latin,large_regional_home_language,daily_language_at_home_age5plus_persons,persons,68044660,68044660,68044660,68044660,68044660,source_interval_or_exact_bounds,2010,PM-S005,"Table L4.1, printed p. 47",true,"Kewarganegaraan, Suku Bangsa, Agama, dan Bahasa Sehari-hari Penduduk Indonesia: Hasil Sensus Penduduk 2010",BPS-Statistics Indonesia,official census publication,1,high,0,32661437,68044660,"Home-use counts are not L1 totals. Several rows are broad language groups, including Batak and regional clusters; only individually named cells are retained here.",,source_named_language_observation,,standalone_observation,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Register and dialect choice remain relevant.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
10,true,NAT-007,Gujarati,gu-Gujr-IN,India,high_reach_underserved,Asia,South Asia,POP-IN-COMP-005,Gujarati,C-16 same-name mother-tongue component: Gujarati; edition orthography separately evidenced,India,written_text_candidate,Gujarati,same_name_mother_tongue_component_population,census_same_name_mother_tongue_component_persons,persons,55036204,55036204,55036204,55036204,55036204,source_interval_or_exact_bounds,2011,PM-S001,"Statement 1, printed p. 5; Statement 1 same-name mother-tongue component",true,"C-16 Population by Mother Tongue, Statement 1: Abstract of Speakers' Strength of Languages and Mother Tongues, Census of India 2011","Office of the Registrar General & Census Commissioner, India",official census table,1,high,0,34089878,50467358,"Census language categories can aggregate distinct mother tongues; Hindi parent total overlaps its listed child categories and must not be summed with them. Counts are 2011 observations, not current estimates.",2AAC967E452FC6AF7768A1266E8F88BBD031B61C62383EBDA6B16C8E633B40F3,same_name_mother_tongue_component_preferred_for_standard_edition,ALT-POP-IN-005-CATEGORY-COMPONENT,same_name_component_preferred_over_parent_aggregate,pending_central_coverage_join,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",Component of the broader Gujarati census-language category; C-17 overlap remains a category-level proxy. Component is 99.177637% of the printed parent category. Never sum parent and component.,Do not sum this row with heterogeneous or overlapping observations as unique people unless an explicit disjoint-universe rule exists.
