portfolio_position,intervention_id,intervention_name,target_profiles,territory_or_scope,portfolio_lane,first_product_id,first_product,first_product_depth,first_product_gross_tokens_low,first_product_gross_tokens_base,first_product_gross_tokens_high,first_product_source_ids,next_portfolio_id,next_portfolio_name,next_portfolio_exact_content,next_depth_id,next_depth_name,next_gross_tokens_low,next_gross_tokens_base,next_gross_tokens_high,next_portfolio_source_ids,population_source_ids,profile_authority_source_ids,mapping_caveat
1,NAT-122,Standard Simplified Chinese (Mainland China),zh-Hans-CN,China,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,PM-S022,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
2,NAT-121,Bahasa Indonesia,id-Latn-ID,Indonesia,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,PM-S021,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
3,NAT-003,Telugu,te-Telu-IN,India,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,PM-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
4,NAT-002,Indian Bengali,bn-Beng-IN,India,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,PM-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
5,NAT-001,Bangladesh Bangla,bn-Beng-BD,Bangladesh,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,MV-1,Minimum viable quantitative curriculum,Algebra and Trigonometry 2e,D3,Complete public edition,1612429,5474018,21073801,ACE-E002;ACE-E003,ASSEC-S006,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
6,NAT-006,Marathi,mr-Deva-IN,India,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,PM-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
7,NAT-004,Indian Tamil,ta-Taml-IN,India,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,PM-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
8,NAT-028,Vietnamese,vi-Latn-VN,Vietnam,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,ASSEC-S007,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
9,NAT-038,Javanese,jv-Latn-ID,Indonesia,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,PM-S005,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
10,NAT-007,Gujarati,gu-Gujr-IN,India,high_reach_underserved,FR-2,FR-2 Formal Reasoning Core,D2,912737,4073049,18664571,ACE-A013;ACE-E004;ACE-E005,SB-1,Secondary data bridge,MV-1 plus Introductory Statistics 2e,D3,Complete public edition,2997367,11374125,47112357,ACE-E002;ACE-E003,PM-S001,,"Legacy fixed-source workload comparator only; not a population-specific curriculum recommendation. Token values are gross planning sensitivities, not fresh-token billing or observed cost."
