curation_id,intervention_id,target_name,target_profile,target_type,candidate_rankability_status,observation_id,population_language_label,population_profile,territory,reference_year,measure_type,count_unit,exact_source_population,source_id,source_locator,join_suggestion_status,target_mapping_status,observation_use,overlap_group_id,automatic_curation_status,automatic_curation_reason,manual_disposition,manual_notes
CUR-0001,NAT-001,Bangladesh Bangla,bn-Beng-BD,natural_language,requires_exact_population_join,POP-IN-002,Bengali,C-16 Bengali census language category,India,2011,census_mother_tongue_persons,persons,97237669,PM-S001,"Statement 1, printed p. 5",same_language_other_territory_review,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,ALT-POP-IN-002-CATEGORY-COMPONENT,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0002,NAT-001,Bangladesh Bangla,bn-Beng-BD,natural_language,requires_exact_population_join,POP-MU-001,Bangla,Statistics Mauritius source label Bangla,Mauritius,2022,language_usually_spoken_at_home_persons,persons,14483,PM-S013,"Table D9, printed p. 165",same_language_other_territory_review,source_named_language_observation,gross_upper_bound_pending_intervention_edges,,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0003,NAT-001,Bangladesh Bangla,bn-Beng-BD,natural_language,requires_exact_population_join,POP-IN-COMP-002,Bengali,C-16 same-name mother-tongue component: Bengali; edition orthography separately evidenced,India,2011,census_same_name_mother_tongue_component_persons,persons,96177835,PM-S001,"Statement 1, printed p. 5; Statement 1 same-name mother-tongue component",same_language_other_territory_review,same_name_mother_tongue_component_preferred_for_standard_edition,gross_upper_bound_pending_intervention_edges,ALT-POP-IN-002-CATEGORY-COMPONENT,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0004,NAT-001,Bangladesh Bangla,bn-Beng-BD,natural_language,requires_exact_population_join,TH-2010-021,Bengali/Bangladesh,Bengali home-language profile,Thailand,2010-09-01,census_usual_language_at_home_persons,persons,3137,TH-S001,"Table 7, PDF p. 98 (printed statistical table p. 75)",same_language_other_territory_review,source_named_label_pending_edition_profile_evidence,gross_upper_bound_pending_intervention_edges,TH-OTHER-LABELS,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0005,NAT-001,Bangladesh Bangla,bn-Beng-BD,natural_language,requires_exact_population_join,ALG-BD-L001,Bangla,direct sample language category,Bangladesh,2019,survey_household_head_language_cases,sample_cases,60026,ALG-S002,Variable HC1B in hh.sav,strong_join_suggestion,sample_case_not_population,context_or_sensitivity_only,BD-MICS-HEAD-2019,exclude_nonperson_measure_from_population_rank,"Households, percentages, cases, or another nonperson unit cannot be ranked as people; published person estimates remain eligible with their intervals.",pending,
CUR-0006,NAT-001,Bangladesh Bangla,bn-Beng-BD,natural_language,requires_exact_population_join,ASSEC-BD-BN-001,Bangla,NAT-001 bn-Beng-BD Bangladesh Bangla,Bangladesh,2026-03-17 CLDR release; component estimate year not stated,derived_cldr_territory_functional_language_users,persons,165323060,ASSEC-S006,cldr_target_derivations.md row bn-Beng-BD; supplementalData.xml XPath /supplementalData/territoryInfo/territory[@type='BD'] and languagePopulation[@type='bn'],strong_join_suggestion,exact_language_and_territory_match_to_NAT-001; population source does not establish orthography,gross_upper_bound_pending_intervention_edges,ASSEC-BD-BN-FUNCTIONAL,eligible_exact_gross_ceiling,Exact code/profile/territory and person-count measure match; the source measure role and factor/overlap assignment remain downstream.,pending,
CUR-0007,NAT-002,Indian Bengali,bn-Beng-IN,natural_language,requires_exact_population_join,POP-IN-002,Bengali,C-16 Bengali census language category,India,2011,census_mother_tongue_persons,persons,97237669,PM-S001,"Statement 1, printed p. 5",strong_join_suggestion,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,ALT-POP-IN-002-CATEGORY-COMPONENT,exclude_superseded_parent_aggregate,A same-name C-16 mother-tongue component is available; the broader category remains context only.,pending,
CUR-0008,NAT-002,Indian Bengali,bn-Beng-IN,natural_language,requires_exact_population_join,POP-MU-001,Bangla,Statistics Mauritius source label Bangla,Mauritius,2022,language_usually_spoken_at_home_persons,persons,14483,PM-S013,"Table D9, printed p. 165",same_language_other_territory_review,source_named_language_observation,gross_upper_bound_pending_intervention_edges,,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
CUR-0009,NAT-002,Indian Bengali,bn-Beng-IN,natural_language,requires_exact_population_join,POP-IN-COMP-002,Bengali,C-16 same-name mother-tongue component: Bengali; edition orthography separately evidenced,India,2011,census_same_name_mother_tongue_component_persons,persons,96177835,PM-S001,"Statement 1, printed p. 5; Statement 1 same-name mother-tongue component",strong_join_suggestion,same_name_mother_tongue_component_preferred_for_standard_edition,gross_upper_bound_pending_intervention_edges,ALT-POP-IN-002-CATEGORY-COMPONENT,eligible_exact_gross_ceiling,Exact code/profile/territory and person-count measure match; the source measure role and factor/overlap assignment remain downstream.,pending,
CUR-0010,NAT-002,Indian Bengali,bn-Beng-IN,natural_language,requires_exact_population_join,TH-2010-021,Bengali/Bangladesh,Bengali home-language profile,Thailand,2010-09-01,census_usual_language_at_home_persons,persons,3137,TH-S001,"Table 7, PDF p. 98 (printed statistical table p. 75)",same_language_other_territory_review,source_named_label_pending_edition_profile_evidence,gross_upper_bound_pending_intervention_edges,TH-OTHER-LABELS,not_automatic_cross_territory_or_name_only,The target territory or exact code/profile does not match; explicit many-to-many curation is required.,pending,
