region,subregion,source_id,population_measure,source_confidence,source_tier,cardinal_rows,top100_rows,reference_dates_or_years,observation_ids,source_title,source_authority,source_type,source_limitations,population_aggregation
Africa,Eastern Africa,AFG-S011,derived_census_any_kirundi_read_and_written_persons_age_10_plus,high,1,1,1,2008,POP-BI-AFG-002,Répartition de la population issue du RGPH 2008,Institut de Statistiques et d’Études Économiques du Burundi (ISTEEBU/INSBU),official census tables,"The any-Kirundi count is a derived sum of 16 mutually exclusive total-column rows containing Kirundi. It is nested over the exact Kirundi-only cell; never add the two observations. Counts concern reading and writing among persons aged 10+, not total speakers.",not summed across rows
Africa,Horn of Africa,PM-S020,census_mother_tongue_persons,high,1,6,6,2007,POP-ET-002 || POP-ET-003 || POP-ET-004 || POP-ET-005 || POP-ET-006 || POP-ET-009,Population and Housing Census 2007: National Statistical Report,Central Statistical Agency of Ethiopia (now Ethiopian Statistical Service),official census statistical report,"The observation is old but remains the latest Ethiopian national census. Several census labels, especially Guragiegna, aggregate distinct languages; counts are not current projections.",not summed across rows
Africa,Indian Ocean,PM-S013,language_usually_spoken_at_home_persons,high,1,1,1,2022,POP-MU-004,"2022 Housing and Population Census, Volume II: Demographic and Fertility Characteristics",Statistics Mauritius,official census report,Chinese languages is an aggregate. Home language is not necessarily L1. The published table excludes Agalega and St Brandon as documented in the report.,not summed across rows
Africa,Southern Africa,PM-S011,census_mother_tongue_persons,high,1,3,3,2022,POP-ZW-001 || POP-ZW-002 || POP-ZW-006,"Zimbabwe 2022 Population and Housing Census Report, Volume 1",Zimbabwe National Statistics Agency (ZIMSTAT),official census report,"Census labels do not resolve every dialect or orthographic choice. Sign Language is a census mother-tongue category, not a complete sign-language-use measure.",not summed across rows
Africa,Southern Africa,ZA-S001,census_language_most_often_spoken_in_household_persons_age_1_plus,high,1,9,9,2022,ZA-NBL-2022 || ZA-NSO-2022 || ZA-SOT-2022 || ZA-SSW-2022 || ZA-TSN-2022 || ZA-TSO-2022 || ZA-VEN-2022 || ZA-XHO-2022 || ZA-ZUL-2022,Census 2022 in Brief,Statistics South Africa,official national census report,"The measure is language most often spoken with other household members, not mother tongue, proficiency, literacy, or academic-language comfort. The table excludes Not applicable (638,736) and Unspecified (258,967). Census label 'Sign language' does not identify a signed-language variety.",not summed across rows
Africa,Western Africa,AFG-S008,census_mother_tongue_persons_age_3_plus,medium,1,1,1,2022,POP-ML-AFG-001,RGPH5 2022: Caractéristiques culturelles de la population,"Institut National de la Statistique (INSTAT) and Bureau Central du Recensement (BCR), Mali",official census thematic report,"Table 3.01 and Annex A03 publish materially different counts, and some printed sex subtotals do not exactly add to the printed ensemble cells. These observations preserve the Table 3.01 ensemble cells verbatim and do not repair or combine them. Peulh/Fulfulde and Malinké/Maninkakan remain source aggregates unless separately resolved.",not summed across rows
Africa,Western Africa,AFG-S009,census_principal_language_commonly_spoken_persons_age_3_plus,high,1,3,3,2023,POP-SN-AFG-001 || POP-SN-AFG-002 || POP-SN-AFG-005,"RGPH-5 2023 definitive report, Theme I: Etat et structure, urbanisation et caractéristiques socioculturelles de la population","Agence Nationale de la Statistique et de la Démographie (ANSD), Senegal",official census report,"Principal-language categories are mutually exclusive and do not measure all languages spoken, literacy, or academic reading ability. Joola is not a single exact variety. ISO mappings are editorial and not supplied by the census table.",not summed across rows
Americas,Arctic,GRG-S001,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,high,1,1,0,2017-2021,GRG-US-011,Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over in the United States: 2017-2021,U.S. Census Bureau,official ACS five-year detailed-language tabulation,"Sample estimates, not enumerated counts. Universe is age 5 and over and the measure is language spoken at home, not mother tongue or educational access. Parent language-family rows overlap child rows and were excluded. Published margins of error are 90 percent intervals; nonsampling error is not included. Detailed estimates may not sum to aggregates because of rounding.",not summed across rows
Americas,North America (Caribbean and Central American diaspora),GRG-S001,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,high,1,1,0,2017-2021,GRG-US-035,Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over in the United States: 2017-2021,U.S. Census Bureau,official ACS five-year detailed-language tabulation,"Sample estimates, not enumerated counts. Universe is age 5 and over and the measure is language spoken at home, not mother tongue or educational access. Parent language-family rows overlap child rows and were excluded. Published margins of error are 90 percent intervals; nonsampling error is not included. Detailed estimates may not sum to aggregates because of rounding.",not summed across rows
Americas,North America (Caribbean diaspora),GRG-S001,acs_2017_2021_estimated_persons_age5plus_language_spoken_at_home,high,1,3,2,2017-2021,GRG-US-025 || GRG-US-026 || GRG-US-028,Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over in the United States: 2017-2021,U.S. Census Bureau,official ACS five-year detailed-language tabulation,"Sample estimates, not enumerated counts. Universe is age 5 and over and the measure is language spoken at home, not mother tongue or educational access. Parent language-family rows overlap child rows and were excluded. Published margins of error are 90 percent intervals; nonsampling error is not included. Detailed estimates may not sum to aggregates because of rounding.",not summed across rows
