forward_row_id,intervention_id,target_name,target_profile,territory,population_observation_id,population_measure_class,source_population_base,population_source_id,candidate_source_ids,decision_frame,exact_work_stage_format,curriculum_or_research_stage,format_scope,unit_type,total_units,verified_complete_units,residual_units,residual_units_status,content_deficit_D_forward,content_deficit_status,incremental_gross_tokens_low,incremental_gross_tokens_base,incremental_gross_tokens_high,forward_marginal_access_low,forward_marginal_access_base_sensitivity,forward_marginal_access_high,forward_efficiency_per_million_tokens,forward_rank_low,forward_rank_high,verified_existing_coverage,next_nonduplicative_action,need_evidence_status,coverage_evidence_basis,duplication_rule
FWD-CN-OLP,NAT-122,Standard Simplified Chinese (Mainland China),zh-Hans-CN,China,POP-CN-001,territory_all_residents_ceiling,1411778724,PM-S022,PM-S022;ACE-E060;ACE-E061;ACE-E062;ACE-E063,current_forward_allocation_after_verified_coverage,Open Logic complete target set,formal_reasoning,registered exact Chinese edition,modules,722,722,0,exact_complete_unit_count,0.000000,exact_completed_corpus,0,0,0,0,0,0,,,,Open Logic 722/722,Do not retranslate; commission only a separately demonstrated format or semantic-access derivative.,complete_exact_corpus,complete Open Logic 722 of 722 and Algebra and Trigonometry 2e 94 of 94; Calculus Volume 1 30 of 55; six additional fixed STEM books pending; ex-ante equal-basis row,Completed exact units receive D=0 and no duplicate benefit; unknown residual units or tokens remain blank and unranked.
FWD-CN-AT2E,NAT-122,Standard Simplified Chinese (Mainland China),zh-Hans-CN,China,POP-CN-001,territory_all_residents_ceiling,1411778724,PM-S022,PM-S022;ACE-E060;ACE-E061;ACE-E062;ACE-E063,current_forward_allocation_after_verified_coverage,Algebra and Trigonometry 2e,upper_secondary_to_undergraduate_bridge,registered exact Chinese edition,modules,94,94,0,exact_complete_unit_count,0.000000,exact_completed_corpus,0,0,0,0,0,0,,,,Algebra and Trigonometry 2e 94/94,"Do not retranslate; audit only accessibility, maintenance, or edition-version residuals.",complete_exact_corpus,complete Open Logic 722 of 722 and Algebra and Trigonometry 2e 94 of 94; Calculus Volume 1 30 of 55; six additional fixed STEM books pending; ex-ante equal-basis row,Completed exact units receive D=0 and no duplicate benefit; unknown residual units or tokens remain blank and unranked.
FWD-CN-CALC1,NAT-122,Standard Simplified Chinese (Mainland China),zh-Hans-CN,China,POP-CN-001,territory_all_residents_ceiling,1411778724,PM-S022,PM-S022;ACE-E060;ACE-E061;ACE-E062;ACE-E063,current_forward_allocation_after_verified_coverage,Calculus Volume 1,undergraduate,registered Chinese course modules,modules,55,30,25,exact_module_residual_but_source_token_fraction_unmeasured,,unknown_until_residual_source_tokens_are_measured,,,,,,,,,,Calculus Volume 1 30/55,Finish the exact residual after measuring residual source tokens; do not infer D from module count alone.,partial_exact_corpus_with_unknown_token_weight,complete Open Logic 722 of 722 and Algebra and Trigonometry 2e 94 of 94; Calculus Volume 1 30 of 55; six additional fixed STEM books pending; ex-ante equal-basis row,Completed exact units receive D=0 and no duplicate benefit; unknown residual units or tokens remain blank and unranked.
FWD-CN-STEM6,NAT-122,Standard Simplified Chinese (Mainland China),zh-Hans-CN,China,POP-CN-001,territory_all_residents_ceiling,1411778724,PM-S022,PM-S022;ACE-E060;ACE-E061;ACE-E062;ACE-E063,current_forward_allocation_after_verified_coverage,Six further fixed STEM books,multidisciplinary_undergraduate,six candidate titles in the current program ledger; completion not audited,candidate_books,6,,,six_candidate_titles_not_six_verified_residuals,,unknown_work_weight,,,,,,,,,,Six candidate STEM titles; completion and residual unknown,"Audit exact titles, current unit coverage, source tokens, and local supply before ordering.",bounded_program_gap_not_yet_compute_rankable,complete Open Logic 722 of 722 and Algebra and Trigonometry 2e 94 of 94; Calculus Volume 1 30 of 55; six additional fixed STEM books pending; ex-ante equal-basis row,Completed exact units receive D=0 and no duplicate benefit; unknown residual units or tokens remain blank and unranked.
FWD-CN-ACCESS-FRONTIER,NAT-122,Standard Simplified Chinese (Mainland China),zh-Hans-CN,China,POP-CN-001,territory_all_residents_ceiling,1411778724,PM-S022,PM-S022;ACE-E060;ACE-E061;ACE-E062;ACE-E063,current_forward_allocation_after_verified_coverage,Semantic accessibility and demonstrated advanced/research-frontier gaps,accessibility_postgraduate_research,HTML/MathML/offline/advanced corpus scope unresolved,unknown,,,,unknown_scope,,unknown_until_exact_target_work_format_is_registered,,,,,,,,,,No exact cardinal residual registered,Define exact format or advanced corpus first; then measure its source and residual units.,research_assignment_not_cardinal_score,"official mainland census denominator and standardized-character prevalence; exact written academic comfort remains a sensitivity; local completion and accessibility residual are hash-pinned | Equal-treatment counterfactual for the original language-opportunity set. Forward work must not duplicate completed Open Logic or Algebra and Trigonometry; prioritize exact STEM residual, semantic accessibility, and demonstrated advanced gaps.",Completed exact units receive D=0 and no duplicate benefit; unknown residual units or tokens remain blank and unranked.
FWD-ID-OLP,NAT-121,Bahasa Indonesia,id-Latn-ID,Indonesia,POP-ID-018,functional_language_ability_or_estimate,248501794,PM-S021,PM-S021;ACE-E021;ACE-E023;CURRENT_INDONESIAN_PROGRAM_STATUS_20260830;INDONESIAN_PUBLIC_PROGRAM_AUDIT_20260830;INDONESIAN_PROGRAM_COMPUTE_AND_PAGE_RECONCILIATION_20260830,current_forward_allocation_after_verified_coverage,Open Logic complete target set,formal_reasoning,registered exact Indonesian edition,modules,722,722,0,exact_complete_unit_count,0.000000,exact_completed_corpus,0,0,0,0,0,0,,,,Open Logic 722/722,Do not retranslate; preserve and maintain the completed corpus.,complete_exact_corpus,established Indonesian program; Open Logic complete 722 of 722; public catalog verifies 27 of 40 roles published and 13 in production; page ledgers document multiple noninterchangeable rendered/corpus universes and no final translated-page total; ex-ante equal-basis row,Completed exact units receive D=0 and no duplicate benefit; unknown residual units or tokens remain blank and unranked.
FWD-ID-PROGRAM13,NAT-121,Bahasa Indonesia,id-Latn-ID,Indonesia,POP-ID-018,functional_language_ability_or_estimate,248501794,PM-S021,PM-S021;ACE-E021;ACE-E023;CURRENT_INDONESIAN_PROGRAM_STATUS_20260830;INDONESIAN_PUBLIC_PROGRAM_AUDIT_20260830;INDONESIAN_PROGRAM_COMPUTE_AND_PAGE_RECONCILIATION_20260830,current_forward_allocation_after_verified_coverage,Nonpublic roles in the registered 40-course program,multi_stage_mathematics_program,course-role publication status; heterogeneous works,course_roles,40,27,13,13_not_public_roles_but_partial_content_and_token_residuals_unknown,,unknown_heterogeneous_role_weights,,,,,,,,,,27/40 roles published; 13 in production,"Select an exact role, work, version, and format; then measure its remaining source tokens.",bounded_program_roles_not_yet_compute_comparable,established Indonesian program; Open Logic complete 722 of 722; public catalog verifies 27 of 40 roles published and 13 in production; page ledgers document multiple noninterchangeable rendered/corpus universes and no final translated-page total; ex-ante equal-basis row,Completed exact units receive D=0 and no duplicate benefit; unknown residual units or tokens remain blank and unranked.
FWD-ID-ACCESS,NAT-121,Bahasa Indonesia,id-Latn-ID,Indonesia,POP-ID-018,functional_language_ability_or_estimate,248501794,PM-S021,PM-S021;ACE-E021;ACE-E023;CURRENT_INDONESIAN_PROGRAM_STATUS_20260830;INDONESIAN_PUBLIC_PROGRAM_AUDIT_20260830;INDONESIAN_PROGRAM_COMPUTE_AND_PAGE_RECONCILIATION_20260830,current_forward_allocation_after_verified_coverage,"Accessibility, offline-delivery, and maintenance residuals",cross_stage_accessibility,format-specific scope unresolved,unknown,,,,unknown_scope,,unknown_until_exact_format_gap_is_registered,,,,,,,,,,No exact cardinal residual registered,"Audit each published role for semantic HTML/MathML, screen-reader, offline, and maintenance gaps.",research_assignment_not_cardinal_score,official functional-language population ceiling; exact current public program inventory; written access and academic-language non-overlap remain sensitivities | Equal-treatment counterfactual for whether Bahasa Indonesia belonged in the original language opportunity set. The completed-baseline row answers the ex-post question; future work targets only the exact 13 production roles or demonstrated format/access gaps.,Completed exact units receive D=0 and no duplicate benefit; unknown residual units or tokens remain blank and unranked.
FWD-HI-FR2,NAT-124,Standard Hindi (India),hi-Deva-IN,India,POP-IN-COMP-006,same_name_mother_tongue_component,322230097,PM-S001,PM-S001;ACE-E011;ACE-E019;ACE-A007,current_forward_allocation_after_verified_coverage,FR-2 Formal Reasoning Core at D3,formal_reasoning,registered exact Hindi edition,editable_units,210,210,0,exact_completed_comparator_mapping,0.000000,exact_completed_corpus,0,0,0,0,0,0,,,,Complete local Hindi FR-2/D3 edition; comparator has 210 units and 120083 source alpha tokens,"Do not retranslate FR-2; commission only a separately demonstrated subject, stage, or format residual.",complete_exact_corpus,"complete local Hindi formal-reasoning edition recorded in the Hindi-Urdu lane; ex-ante equal-basis row; forward work limited to uncovered subject, stage, and accessibility residuals",Completed exact units receive D=0 and no duplicate benefit; unknown residual units or tokens remain blank and unranked.
FWD-HI-OTHER,NAT-124,Standard Hindi (India),hi-Deva-IN,India,POP-IN-COMP-006,same_name_mother_tongue_component,322230097,PM-S001,PM-S001;ACE-E011;ACE-E019;ACE-A007,current_forward_allocation_after_verified_coverage,"Uncovered Hindi subject, stage, and accessibility residuals",cross_stage,exact work/format unresolved,unknown,,,,unknown_scope,,unknown_until_exact_target_work_format_is_registered,,,,,,,,,,Only the completed formal-reasoning edition is credited,"Name and audit an exact missing work, stage, and format before computing a residual score.",research_assignment_not_cardinal_score,"official same-name Hindi mother-tongue component; the larger census Hindi category and C-17 first/second/third-language totals remain separate umbrella or conversational sensitivities | Equal-treatment correction for a completed language program. Keep D=1 only for ex-ante comparison; use D=0 for the exact completed formal-reasoning corpus and commission only demonstrated subject, stage, format, or accessibility residuals.",Completed exact units receive D=0 and no duplicate benefit; unknown residual units or tokens remain blank and unranked.
