intervention_id,matrix_row_count,mechanism_classes,exact_communities_or_varieties,language_or_profile_tags,scripts,territory_scopes,coverage_modes,tested_task_evidence,observed_task_scores,prior_study_required_statements,receptive_or_productive_evidence,existing_edition_overlap,exclusions,double_count_rules,direct_comprehension_source_ids,all_source_ids,confidence_values,rankable_under_current_evidence,scope_warning
IL-AR,1,pluricentric_shared_core,Readers comfortable with Modern Standard Arabic,ar,Arab,territories separately modeled,existing_formal_base,none registered for target corpus,,formal literacy required,receptive,complete local Arabic edition,Amazigh Kurdish Nubian Modern South Arabian and signed languages,Existing MSA coverage is baseline and cannot be claimed again by scaffolds,,ACE-A009 || ACE-E001,medium,false,Component rows and population ceilings are nonadditive; no family reach is inferred from the intervention name.
IL-BCMS,5,dual_script_register || pluricentric_shared_core,Bosnian-standard cell || Croatian-standard cell || Montenegrin-standard cell || Serbian Cyrillic-reading stratum || Serbian Latin-reading stratum,bs-Latn || cnr-Latn || hr-Latn || sr-Cyrl || sr-Latn,Cyrl || Latn,Bosnia and Herzegovina || Croatia || Montenegro || Serbia,localized_native_output || script_variant_of_localized_output,none registered,,none beyond named-standard literacy || none beyond script literacy,receptive,none established,Croatian Montenegrin Serbian and non-BCMS languages remain distinct cells || Other BCMS standards || Other BCMS standards remain distinct cells,Named output claims only Bosnian cell; shared source has compute value only || Named output claims only Croatian cell || Named output claims only Montenegrin cell || Partition one Serbian population by script use; do not add Latin and Cyrillic,,ACE-A021,low,false,Component rows and population ceilings are nonadditive; no family reach is inferred from the intervention name.
IL-GERM,10,natural_intercomprehension_reuse,Afrikaans-standard cell || Dutch-standard cell || Faroese cell || Hutterisch cell || Low German exact-standard cell || Pennsylvania Dutch cell || Plautdietsch cell || Scots cell || West Frisian cell || Yiddish exact-register cell,af-Latn || fo-Latn-FO || fy-Latn-NL || geh-Latn || nds-Latn-DE || nl-Latn || pdc-Latn || pdt-Latn || sco-Latn-GB || yi-Hebr,Hebr || Latn,diaspora territories separate || exact diaspora territories separate || Faroe Islands || Germany and diaspora cells separate || Netherlands || Netherlands and Belgium profiles separate || North American communities || Scotland || South Africa and Namibia cells separate || United States exact communities,localized_native_output,none,,none beyond community-standard literacy || none beyond exact-register literacy || none beyond exact-standard literacy || none beyond named-standard literacy,receptive,Danish and English overlap unmeasured || Dutch and English overlap unmeasured || English and German overlap unmeasured || English Hebrew Russian and German overlaps vary || English overlap expected high but unmeasured || English overlap expected very high but unmeasured || English overlap likely high but unmeasured || German English Russian Spanish and Portuguese overlaps vary || German overlap unmeasured,All Latin-script Germanic profiles || All residual Germanic communities || Dutch Afrikaans and other Germanic communities || Mainland Scandinavian and other Germanic languages || Other Frisian languages and Germanic communities || Other Germanic communities || Other Germanic diaspora languages || Other Germanic languages,Claims only residual Afrikaans cell; directional Dutch credit zero || Claims only residual Dutch cell; cross-language credit zero || Count only residual comfortable-reader gain; no pan-Germanic credit || Count only residual community readers; no pan-Germanic credit || Deduplicate by residence and dominant academic-language access; no pan-Germanic credit || No pan-Germanic credit || No pan-Germanic credit; named output only || No pan-Germanic credit; residence and community register define separate cells || No pan-Germanic or mainland Scandinavian credit,ACE-E015,ACE-A021 || ACE-E015,low,false,Component rows and population ceilings are nonadditive; no family reach is inferred from the intervention name.
IL-HU,3,dual_script_register,Indian Urdu cell || Pakistani Urdu cell || Standard Hindi-oriented cell,hi-Deva-IN || ur-Arab-IN || ur-Arab-PK,Arab Nastaliq || Deva,India || Pakistan,existing_localized_output || localized_native_output,none,,none beyond named-standard literacy,receptive,C-17 reports English-or-Hindi subsidiary-language knowledge for 23172258 of 50772631 Urdu-category speakers; academic comfort remains unknown || complete local Hindi edition; C-17 reports English subsidiary-language knowledge for 35257144 of the 528347193 Hindi census umbrella || Hindi overlap unmeasured,Other Indian mother tongues || Punjabi Sindhi Saraiki Pashto and other languages || Urdu and Hindi census umbrella sublanguages,Existing Hindi coverage is baseline and not added to Urdu adaptation reach; C-17 language knowledge is not academic comfort || Hindi gives zero Urdu credit; named Urdu output claims exact Pakistan cell || Keep Indian Urdu separate from Pakistan Urdu; apply disclosed nonoverlap sensitivity 0.543607303/0.771803651/0.908721461 rather than categorical Hindi coverage,,ACE-A007 || ACE-E011 || ACE-E012 || ACE-E019,low || medium,false,Component rows and population ceilings are nonadditive; no family reach is inferred from the intervention name.
IL-IDMS,4,dual_script_register || pluricentric_shared_core,Brunei Malay educational-standard cell || Indonesian standard cell || Malaysian Malay Jawi-reading stratum || Malaysian Malay Rumi cell,id-Latn-ID || ms-Arab-MY || ms-Latn-BN || ms-Latn-MY,Arab || Latn,Brunei || Indonesia || Malaysia,localized_native_output || script_derivative,none,,none beyond exact-standard literacy || none beyond Jawi literacy || none beyond named-standard literacy,receptive,722 of 722 Open Logic units complete || Indonesian and Malaysian overlap untested || Indonesian cross-standard overlap untested || Same language as ms-Latn-MY,Javanese Sundanese Madurese Minangkabau Acehnese and other languages || Other Malayic and Indonesian languages || Other Malayic languages,Completed Indonesian Open Logic is excluded from forward reach; no Malaysian reach || Named Brunei cell only; no regional blanket credit || Partition or model dual literacy; never add Jawi and Rumi populations || Zero Indonesian credit pending directional technical-text audit; localized output claims Malaysian cell,,ACE-A011 || ACE-A021 || CURRENT_INDONESIAN_PROGRAM_STATUS_20260830,low || medium,false,Component rows and population ceilings are nonadditive; no family reach is inferred from the intervention name.
IL-ISV,15,constructed_bridge,Belarusian-literate cohort || Bosnian-standard cohort || Bulgarian-literate cohort || Croatian-standard cohort || Czech-literate cohort || Macedonian-literate cohort || Montenegrin-standard cohort || Polish-literate cohort || Pooled native-Slavic study respondents || Russian-literate cohort || Serbian Cyrillic-script reading cell || Serbian Latin-script reading cell || Slovak-literate cohort || Slovene-literate cohort || Ukrainian-literate cohort,be-Cyrl || bg-Cyrl || bs-Latn || cnr-Latn || cs-Latn || hr-Latn || mk-Cyrl || multiple native Slavic labels || pl-Latn || ru-Cyrl || sk-Latn || sl-Latn || sr-Cyrl || sr-Latn || uk-Cyrl,Cyrl || Latn || study surface reported as written Interslavic,Bosnia and Herzegovina || Bulgaria || Croatia || Czechia || exact territory pending || Montenegro || North Macedonia || Poland and separately diaspora || self-selected online sample || Serbia || Slovakia || Slovenia,cross_language_bridge,none at exact leaf level in current register || seven-gap written professional-text cloze [seven-gap short written professional-text cloze] score=0.84,0.84,not required for the short cloze; sustained mathematics unknown || unknown for sustained mathematics,receptive,No exact local native-language-edition overlap was subtracted || unknown || unknown in current local coverage census,Kashubian is not included || Kashubian Sorbian Rusyn and all untested minority leaves || No additive credit with Serbian Cyrillic || No additive credit with Serbian Latin || No BCMS or other South-Slavic transfer credit || No Bulgarian or other South-Slavic transfer credit || No Czech or other West-Slavic transfer credit || No Macedonian or other South-Slavic transfer credit || No Slovak or other West-Slavic transfer credit || No unnamed BCMS population aggregation || No untested minority or exact language leaf receives this pooled value || Untested Slavic leaves,Credit zero until an exact surface/script/cohort test; deduct any comfortable Russian edition before reach || Credit zero until exact testing and deduct any comfortable Ukrainian edition || Partition one Serbian population by observed script use; then deduct named Serbian access || The pooled 0.84 is one study-level point estimate and may not be copied to leaf rows or multiplied by a Slavic demographic ceiling || Zero until exact testing and after any named BCMS edition || Zero until exact testing and overlap subtraction || Zero until exact testing; deduct Czech and English comfortable access || Zero until exact testing; deduct Polish and English comfortable access || Zero until exact testing; deduct Slovak and English comfortable access || Zero until exact testing; deduct Slovene and English comfortable access || Zero until exact testing; one person cannot be counted in both Latin and Cyrillic projection cells,ACE-E014 || ACE-E015,ACE-E014 || ACE-E015,low || medium,false,Component rows and population ceilings are nonadditive; no family reach is inferred from the intervention name.
IL-MANDING,5,dual_script_register || pluricentric_shared_core,Bambara Latin-standard cell || Bambara N'Ko-literate stratum || Jula Latin-standard cell || Maninka exact-national-standard cell || Maninka N'Ko-literate stratum,bm-Latn-ML || bm-Nkoo-ML || dyu-Latn-CI || man-Latn || man-Nkoo,Latn || Nkoo,Cote d'Ivoire and cross-border cells separate || exact territory pending || Guinea and neighboring cells separate || Mali,localized_native_output || script_derivative,none registered,,none beyond exact-standard literacy || none beyond N'Ko literacy || none beyond named-standard literacy,receptive,none established || Same Bambara language cell as Latin output || Same Maninka language cell as Latin output,Other Manding and Mande languages || Other Manding languages,Named output and country cell only || Named output and territory cell only || Named output only; no continuum-wide population || Partition by observed script use; never add Latin and N'Ko users,,ACE-A021,low,false,Component rows and population ceilings are nonadditive; no family reach is inferred from the intervention name.
IL-NGUNI,4,pluricentric_shared_core,isiXhosa-standard cell || isiZulu-standard cell || siSwati-standard cell || Southern Ndebele standard cell,nr-Latn-ZA || ss-Latn || xh-Latn-ZA || zu-Latn-ZA,Latn,South Africa || South Africa and Eswatini cells separate,localized_native_output,none registered,,none beyond named-standard literacy,receptive,none established,isiXhosa siSwati isiNdebele and non-Nguni languages || Other Nguni standards || Zimbabwean Ndebele and other Nguni standards,Country cells and named output only || Keep nr and nd distinct; named output only || Named output only; no combined Nguni population || Named output only; no cross-language credit,,ACE-A021,low,false,Component rows and population ceilings are nonadditive; no family reach is inferred from the intervention name.
IL-PDT,3,pluricentric_shared_core,Dari-standard cell || Iranian Persian cell || Tajik-standard cell,fa-Arab-IR || prs-Arab-AF || tg-Cyrl-TJ,Arab || Cyrl,Afghanistan and displaced cells || Iran || Tajikistan,existing_localized_output || localized_native_output,none,,none beyond named-standard literacy,receptive,complete local Iranian Persian edition || Iranian Persian directional overlap unmeasured,Dari Tajik Kurdish Pashto Balochi and Pamiri languages || Pamiri Uzbek Russian and other languages || Pashto Hazaragi and other languages,Existing fa-IR coverage is baseline and not added to adaptation reach || Zero fa-IR reach pending technical-text evidence; named Dari output claims only exact cells || Zero fa-IR reach; named Tajik output only; transliteration is not additive,,ACE-A009 || ACE-A021,low || medium,false,Component rows and population ceilings are nonadditive; no family reach is inferred from the intervention name.
IL-PUNJABI,2,dual_script_register,Eastern Punjabi Gurmukhi cell || Western Punjabi Shahmukhi cell,pa-Guru-IN || pnb-Arab-PK,Arab Shahmukhi || Guru,India || Pakistan,localized_native_output,none,,none beyond named-standard literacy,receptive,C-17 reports English-or-Hindi subsidiary-language knowledge for 17571723 of 33124726 Punjabi-category speakers; academic comfort remains unknown || none established,Saraiki Hindko and unresolved Punjabi census sublabels || Western Punjabi Saraiki Hindko,Claims only India Gurmukhi cell; apply nonoverlap sensitivity 0.469528503/0.734764251/0.893905701 and never add a dual-script population || Claims only resolved Shahmukhi population; no additive dual-script population,,ACE-E011 || ACE-E012 || ACE-E019,medium,false,Component rows and population ceilings are nonadditive; no family reach is inferred from the intervention name.
