census_language_category,census_language_code,total_speakers,speaking_any_subsidiary_language,speaking_english_as_first_or_second_subsidiary,speaking_hindi_as_first_or_second_subsidiary,speaking_english_or_hindi_union,not_reporting_english_or_hindi,english_or_hindi_overlap_share,nonoverlap_low,nonoverlap_base,nonoverlap_high,reference_year,source_id,source_sha256,source_locator,limitations
Hindi,006000,528347193,60972033,35257144,0,35257144,493090049,0.066731014,0.933268986,0.966634493,0.986653797,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Bengali,002000,97237669,17417924,6523330,10506958,14164474,83073195,0.145668589,0.854331411,0.927165706,0.970866282,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Marathi,013000,83026680,39156897,11615706,36257578,36954768,46071912,0.445095095,0.554904905,0.777452453,0.910980981,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Telugu,021000,81127740,20504206,10975371,7543445,13878134,67249606,0.171065211,0.828934789,0.914467394,0.965786958,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Tamil,020000,69026881,17441335,13109744,1742030,13992609,55034272,0.202712462,0.797287538,0.898643769,0.959457508,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Gujarati,005000,55492554,23599056,7690545,22618495,23033648,32458906,0.415076372,0.584923628,0.792461814,0.916984726,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Urdu,022000,50772631,31657507,4752542,20817029,23172258,27600373,0.456392697,0.543607303,0.771803651,0.908721461,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Kannada,007000,43706512,11635584,4412479,3939661,6350597,37355915,0.145300934,0.854699066,0.927349533,0.970939813,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Odia,015000,37521324,10788852,6925469,7301181,9907688,27613636,0.264054861,0.735945139,0.867972569,0.947189028,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Malayalam,011000,34838819,9507035,7618099,3723817,8293347,26545472,0.238049028,0.761950972,0.880975486,0.952390194,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Punjabi,016000,33124726,17673586,9866855,17039153,17571723,15553003,0.530471497,0.469528503,0.734764251,0.893905701,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Assamese,001000,15311351,5810980,1733535,3475249,3867217,11444134,0.252571899,0.747428101,0.873714050,0.949485620,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Maithili,010000,13583464,7340071,591050,7232979,7268617,6314847,0.535107760,0.464892240,0.732446120,0.892978448,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Bhili/Bhilodi,030000,10413637,5234478,264130,3859578,3888927,6524710,0.373445608,0.626554392,0.813277196,0.925310878,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Santali,018000,7368192,4960536,144243,2205282,2268331,5099861,0.307854491,0.692145509,0.846072754,0.938429102,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Kashmiri,008000,6797587,2988338,1006888,281249,1191267,5606320,0.175248511,0.824751489,0.912375745,0.964950298,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Gondi,044000,2984453,1983575,23226,1504681,1509657,1474796,0.505840434,0.494159566,0.747079783,0.898831913,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Nepali,014000,2926168,1920718,448291,1544618,1642485,1283683,0.561309193,0.438690807,0.719345403,0.887738161,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Sindhi,019000,2772264,2184343,486372,1627424,1700198,1072066,0.613288633,0.386711367,0.693355683,0.877342273,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Dogri,004000,2596767,1795494,608946,1702882,1741927,854840,0.670806045,0.329193955,0.664596978,0.865838791,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Konkani,009000,2256502,1859691,817304,749517,1186396,1070106,0.525767759,0.474232241,0.737116120,0.894846448,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Kurukh/Oraon,072000,1988350,1545124,53982,1407198,1413884,574466,0.711084065,0.288915935,0.644457968,0.857783187,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Others,124000,1875542,1309627,230930,397453,560262,1315280,0.298720050,0.701279950,0.850639975,0.940255990,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
Khandeshi,053000,1860236,1324015,19980,431895,444980,1415256,0.239206208,0.760793792,0.880396896,0.952158758,2011,ACE-E019,CD74F457DBD62017C919E763E8F4E956B4F8C46C0920500907D949828CCFE673,C-17 national rows; total speakers and first/second subsidiary-language hierarchy,Census language knowledge is not academic reading comfort. Low treats every reported English/Hindi speaker as served; base discounts half; high discounts one fifth. Categories can aggregate mother tongues.
