intervention_id,mechanism_class,expected_new_named_outputs,named_outputs_with_exact_population,base_marginal_joined_outputs,territory_proxy_derived_outputs,constituent_natural_rows_found,access_interval_reconciled,upstream_population_union_admissible,observed_population_base,base_marginal_access_sensitivity,independent_named_output_tokens_base,shared_core_tokens_base,modeled_token_savings,selected_for_deduplicated_portfolio,decision_reason,constituent_observation_ids,caveat
IL-AR,pluricentric_shared_core,0,0,0,0,0,true,false,0,,0,5702269,-5702269,false,exclude_incomplete_observed_population_coverage,,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings."
IL-BCMS,pluricentric_shared_core,3,0,0,0,0,true,false,0,,16292196,10793580,5498616,false,exclude_incomplete_observed_population_coverage,,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings."
IL-GERM,natural_intercomprehension_reuse,10,1,1,1,0,false,false,6365488,2901071,40730490,22401770,18328720,false,exclude_incomplete_observed_population_coverage,ZA-AFR-2022,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings."
IL-HU,dual_script_register,2,2,2,0,2,true,false,72975069,37148859,8146098,6109574,2036524,false,exclude_upstream_population_union_not_admissible,POP-PK-001;POP-IN-COMP-022,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings."
IL-IDMS,pluricentric_shared_core,3,1,1,1,0,false,false,42682566,20487632,12219147,8757055,3462092,false,exclude_incomplete_observed_population_coverage,POP-ID-002,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings."
IL-ISV,constructed_bridge,0,0,0,0,0,true,false,0,,0,4684006,-4684006,false,exclude_incomplete_observed_population_coverage,,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings."
IL-MANDING,pluricentric_shared_core,3,1,1,0,1,true,false,9551561,1701611,12219147,9368013,2851134,false,exclude_incomplete_observed_population_coverage,POP-ML-AFG-001,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings."
IL-NGUNI,pluricentric_shared_core,4,4,4,0,4,true,false,27137226,12367792,16292196,10182623,6109573,false,exclude_upstream_population_union_not_admissible,ZA-ZUL-2022;ZA-XHO-2022;ZA-SSW-2022;ZA-NBL-2022,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings."
IL-PDT,pluricentric_shared_core,2,0,0,0,0,true,false,0,,8146098,6109574,2036524,false,exclude_incomplete_observed_population_coverage,,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings."
IL-PUNJABI,dual_script_register,2,2,2,0,1,false,false,120059639,44054221,8146098,6109574,2036524,false,exclude_upstream_population_union_not_admissible,POP-IN-COMP-016;POP-PK-002,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings."
IL-ROM,pluricentric_shared_core,7,0,0,0,0,true,false,0,,20365245,12219147,8146098,false,exclude_incomplete_observed_population_coverage,,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings."
IL-SCAND,natural_intercomprehension_reuse,4,0,0,0,0,true,false,0,,16292196,10182623,6109573,false,exclude_incomplete_observed_population_coverage,,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings."
IL-SOTHO,pluricentric_shared_core,3,3,3,0,3,true,false,15624006,7120641,12219147,8146098,4073049,false,exclude_upstream_population_union_not_admissible,ZA-NSO-2022;ZA-TSN-2022;ZA-SOT-2022,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings."
IL-SQUECHUA,pluricentric_shared_core,3,0,0,0,0,true,false,0,,12219147,8146098,4073049,false,exclude_incomplete_observed_population_coverage,,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings."
IL-TURKIC,natural_intercomprehension_reuse,10,4,3,0,3,false,false,25452562,,36657441,20365245,16292196,false,exclude_incomplete_observed_population_coverage,ALG-TM-L001;ALG-KZ-L001;ALG-KG-L001;ALG-KZ-L004,"Reuse is an unobserved sensitivity; selection is architecture dominance within that scenario, not empirical production savings."
