intervention_id,target_name,target_profile,target_profile_ready,profile_tag_status,profile_resolution_status,profile_ranking_treatment,resolved_edition_name,territory,observation_id,source_population_low_reported,source_population_high_reported,population_interval_status,population_low,population_base,population_high,population_unit,population_measure,population_role,population_reference_year,population_source_id,population_source_locator,reach_band,content_deficit_FR2,comprehension_exact_target_conditional_on_standard_literacy,practical_access_low,practical_access_base,practical_access_high,practical_access_status,practical_access_source_id,academic_nonoverlap_low,academic_nonoverlap_base,academic_nonoverlap_high,academic_nonoverlap_status,academic_nonoverlap_source_id,marginal_access_low,marginal_access_base_sensitivity,marginal_access_high,gross_ceiling_per_million_base_tokens,conservative_access_per_million_high_tokens,neutral_access_per_million_base_tokens,optimistic_access_per_million_low_tokens,openalex_math_open_access,openalex_math_open_access_books,scarcity_relative_percentile,scarcity_band,scarcity_adjusted_access_base,ai_support_resource_levels,internet_percent_context,electricity_percent_context,tertiary_enrollment_percent_context,fr2_units,fr2_source_tokens,fr2_gross_tokens_low,fr2_gross_tokens_base,fr2_gross_tokens_high,fr2_api_equivalent_usd_base,recommended_openstax_next_product,recommended_openstax_depth,foundational_numeracy_pre_algebra_source_gap,curriculum_selection_basis,openstax_next_gross_tokens_low,openstax_next_gross_tokens_base,openstax_next_gross_tokens_high,explicit_negative_control,resource_abundance_control_candidate,recommendation_eligibility,interpretation,gross_ceiling_rank,conservative_efficiency_rank,neutral_efficiency_rank,optimistic_efficiency_rank,scarcity_adjusted_rank,rank_best_across_views,rank_worst_across_views
NAT-122,Mainland Simplified Chinese,zh-Hans-CN,true,single_valid_bcp47,resolved_single_profile,ex_ante_equal_basis_rank_forward_residual_separate,Standard Simplified Chinese (Mainland China),China,POP-CN-001,1411778724,1411778724,source_interval_or_exact_bounds,1411778724,1411778724,1411778724,persons,official_census_mainland_population_gross_territory_ceiling,standalone_territory_ceiling_not_exact_language_count,2020-11-01,PM-S022,"Section I Total Population; mainland row 1,411,778,724; note 6",R5_50m_plus,1.000000,1.000000,0.000000,0.967400,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,682877354,1411778724,346614716.396,0.000,167657534.618,1546753034.007,1860,21,0.096491,S1_resource_abundance_control_candidate,65891519,High,91.6,100,76.8757843123403,210,120083,912737,4073049,18664571,16.77,SB-1,D3,false,Large exact population plus territory tertiary-enrollment proxy at or above 25%; scenario selects algebra/trigonometry plus statistics.,2997367,11374125,47112357,false,true,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",1,1,1,1,1,1,1
NAT-124,Standard Hindi,hi-Deva-IN,true,single_valid_bcp47,resolved_single_profile,ex_ante_equal_basis_rank_forward_residual_separate,Standard Hindi (India),India,POP-IN-COMP-006,322230097,322230097,source_interval_or_exact_bounds,322230097,322230097,322230097,persons,census_same_name_mother_tongue_component_persons,same_name_component_preferred_over_parent_aggregate,2011,PM-S001,"Statement 1, printed pp. 5-6; same-name mother-tongue component Hindi = 322,230,097",R5_50m_plus,1.000000,1.000000,0.000000,0.781625,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.933269,0.966634,0.986654,India_C17_category_proxy_sensitivity,ACE-E019,0,243459662,317929549,79112747.477,0.000,59773320.295,348325474.603,119,0,0.201754,S2_lower_scarcity_relative_proxy,49118961,High,70,99.9,34.4465039692543,210,120083,912737,4073049,18664571,16.77,SB-1,D3,false,Large exact population plus territory tertiary-enrollment proxy at or above 25%; scenario selects algebra/trigonometry plus statistics.,2997367,11374125,47112357,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",2,2,2,2,2,2,2
NAT-121,Bahasa Indonesia,id-Latn-ID,true,single_valid_bcp47,resolved_single_profile,ex_ante_equal_basis_rank_forward_residual_separate,Bahasa Indonesia,Indonesia,POP-ID-018,,,source_point_without_interval_model_low_zero_high_point,0,248501794,248501794,persons,official_long_form_census_able_to_speak_indonesian_persons_age5plus,standalone_functional_language_observation_preferred_over_home_language_for_reach_ceiling,2022,PM-S021,"TOTAL row; 248,501,794 able to speak Indonesian of 253,679,348 persons aged 5+",R5_50m_plus,1.000000,1.000000,0.000000,0.960000,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,119280861,248501794,61011245.875,0.000,29285398.020,272260020.137,32350,126,0.008772,S1_resource_abundance_control_candidate,1046332,High,72.78075544,99.9,44.8813034886441,210,120083,912737,4073049,18664571,16.77,SB-1,D3,false,Large exact population plus territory tertiary-enrollment proxy at or above 25%; scenario selects algebra/trigonometry plus statistics.,2997367,11374125,47112357,false,true,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",3,3,3,3,28,3,28
NAT-001,Bangladesh Bangla,bn-Beng-BD,true,,,,Bangladesh Bangla,Bangladesh,ASSEC-BD-BN-001,,,source_point_without_interval_model_low_zero_high_point,0,165323060,165323060,persons,derived_cldr_territory_functional_language_users,standalone_secondary_estimate_replaces_no_master_population_count,2026-03-17 CLDR release; component estimate year not stated,ASSEC-S006,cldr_target_derivations.md row bn-Beng-BD; supplementalData.xml XPath /supplementalData/territoryInfo/territory[@type='BD'] and languagePopulation[@type='bn'],R5_50m_plus,1.000000,1.000000,0.000000,0.790000,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,65302609,165323060,40589509.235,0.000,16032856.148,181128912.272,68,1,0.245614,S2_lower_scarcity_relative_proxy,16039235,High,53.42171316,99.5,23.7295608009814,210,120083,912737,4073049,18664571,16.77,MV-1,D3,false,Territory tertiary-enrollment proxy at or above 15%; scenario selects a complete algebra/trigonometry bridge.,1612429,5474018,21073801,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",4,4,5,4,11,4,11
NAT-123,Japanese,ja-Jpan-JP,true,single_valid_bcp47,resolved_single_profile,ex_ante_equal_basis_rank_forward_stage_specific,Japanese (Japan),Japan,POP-JP-001,126146099,126146099,source_interval_or_exact_bounds,126146099,126146099,126146099,persons,official_census_territory_population_gross_ceiling,standalone_territory_ceiling_not_exact_language_count,2020-10-01,PM-S023,"Basic Complete Tabulation, Table 1, 2020 exact population 126,146,099",R5_50m_plus,1.000000,1.000000,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,31536525,126146099,30970925.957,0.000,7742731.489,138206404.474,9000,27,0.043860,S1_resource_abundance_control_candidate,1383192,High,85.54153081,100,64.4907608032227,210,120083,912737,4073049,18664571,16.77,SB-1,D3,false,Large exact population plus territory tertiary-enrollment proxy at or above 25%; scenario selects algebra/trigonometry plus statistics.,2997367,11374125,47112357,false,true,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",5,5,12,5,26,5,26
NAT-002,Indian Bengali,bn-Beng-IN,true,,,,Indian Bengali,India,POP-IN-COMP-002,96177835,96177835,source_interval_or_exact_bounds,96177835,96177835,96177835,persons,census_same_name_mother_tongue_component_persons,same_name_component_preferred_over_parent_aggregate,2011,PM-S001,"Statement 1, printed p. 5; Statement 1 same-name mother-tongue component",R5_50m_plus,1.000000,1.000000,0.000000,0.781625,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.854331,0.927166,0.970866,India_C17_category_proxy_sensitivity,ACE-E019,0,69699712,93375817,23613228.076,0.000,17112416.685,102303091.775,68,1,0.245614,S2_lower_scarcity_relative_proxy,17119225,High,70,99.9,34.4465039692543,210,120083,912737,4073049,18664571,16.77,SB-1,D3,false,Large exact population plus territory tertiary-enrollment proxy at or above 25%; scenario selects algebra/trigonometry plus statistics.,2997367,11374125,47112357,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",6,6,4,6,10,4,10
NAT-028,Vietnamese,vi-Latn-VN,true,,,,Vietnamese,Vietnam,ASSEC-VN-VI-001,89000000,,source_lower_bound_only_model_high_uses_reported_threshold,89000000,89000000,89000000,persons,peer_reviewed_published_lower_bound_speakers,published_lower_bound_not_a_point_estimate,2016 publication; population estimate vintage not stated,ASSEC-S007,PubMed XML PMID 27172848; Abstract/AbstractText[@Label='PURPOSE']; first sentence; DOI 10.3109/17549507.2015.1101162,R5_50m_plus,1.000000,1.000000,0.000000,0.961300,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.000000,0.500000,1.000000,unmeasured_low0_neutral0.5_high1_sensitivity,,0,42777849,89000000,21850952.444,0.000,10502659.992,97508920.971,194,2,0.166667,S1_resource_abundance_control_candidate,7129656,High,84.15,100,37.5923642016718,210,120083,912737,4073049,18664571,16.77,SB-1,D3,false,Large exact population plus territory tertiary-enrollment proxy at or above 25%; scenario selects algebra/trigonometry plus statistics.,2997367,11374125,47112357,false,true,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",7,7,9,7,18,7,18
NAT-006,Marathi,mr-Deva-IN,true,,,,Marathi,India,POP-IN-COMP-013,82801140,82801140,source_interval_or_exact_bounds,82801140,82801140,82801140,persons,census_same_name_mother_tongue_component_persons,same_name_component_preferred_over_parent_aggregate,2011,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",R5_50m_plus,1.000000,1.000000,0.000000,0.781625,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.554905,0.777452,0.910981,India_C17_category_proxy_sensitivity,ACE-E019,0,50316309,75430264,20329031.151,0.000,12353475.116,82641838.498,3,0,0.622807,S4_high_scarcity_relative_proxy,31337350,Low,70,99.9,34.4465039692543,210,120083,912737,4073049,18664571,16.77,SB-1,D3,false,Large exact population plus territory tertiary-enrollment proxy at or above 25%; scenario selects algebra/trigonometry plus statistics.,2997367,11374125,47112357,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",8,8,7,9,4,4,9
NAT-003,Telugu,te-Telu-IN,true,,,,Telugu,India,POP-IN-COMP-021,80912459,80912459,source_interval_or_exact_bounds,80912459,80912459,80912459,persons,census_same_name_mother_tongue_component_persons,same_name_component_preferred_over_parent_aggregate,2011,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",R5_50m_plus,1.000000,1.000000,0.000000,0.781625,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.828935,0.914467,0.965787,India_C17_category_proxy_sensitivity,ACE-E019,0,57833869,78144198,19865329.143,0.000,14199158.772,85615240.362,4,0,0.578947,S3_middle_relative_proxy,33482745,Low,70,99.9,34.4465039692543,210,120083,912737,4073049,18664571,16.77,SB-1,D3,false,Large exact population plus territory tertiary-enrollment proxy at or above 25%; scenario selects algebra/trigonometry plus statistics.,2997367,11374125,47112357,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",9,9,6,8,3,3,9
NAT-004,Indian Tamil,ta-Taml-IN,true,,,,Indian Tamil,India,POP-IN-COMP-020,68888839,68888839,source_interval_or_exact_bounds,68888839,68888839,68888839,persons,census_same_name_mother_tongue_component_persons,same_name_component_preferred_over_parent_aggregate,2011,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",R5_50m_plus,1.000000,1.000000,0.000000,0.781625,1.000000,territory_adult_literacy_proxy_sensitivity,ACE-E021,0.797288,0.898644,0.959458,India_C17_category_proxy_sensitivity,ACE-E019,0,48387709,66095914,16913334.212,0.000,11879972.172,72415070.054,9,1,0.491228,S3_middle_relative_proxy,23769397,Low,70,99.9,34.4465039692543,210,120083,912737,4073049,18664571,16.77,SB-1,D3,false,Large exact population plus territory tertiary-enrollment proxy at or above 25%; scenario selects algebra/trigonometry plus statistics.,2997367,11374125,47112357,false,false,provisional_eligible,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",10,10,8,11,7,7,11
