safeguard_order,order_interpretation,edge_id,intervention_id,intervention_name,mechanism_class,barrier_axis,territory,learner_stratum,language_or_modality,population_measure,reference_year,source_ceiling_low,source_ceiling_point,source_ceiling_high,ceiling_status,incremental_access_low,incremental_access_base,incremental_access_high_ceiling,marginal_range_status,overlap_group_id,do_not_sum_with,existing_access_overlap,curriculum_scope,adaptation_depth,product_specification,workload_increment_low,workload_increment_base,workload_increment_high,fr2_reference_token_increment_low,fr2_reference_token_increment_base,fr2_reference_token_increment_high,cost_status,standards_source_ids,population_source_ids,evidence_status,rank_ready,portfolio_slot_selected,nonadditivity_caveat
1,foundational horizontal requirement,ACCEDGE-HTML-VIS-INDIA,AX-HTML,Semantic HTML with accessible math,accessibility_derivative,visual_disability,India,age 5-19 attending educational institution,source category In-Seeing,attending_educational_institution_persons,2011,771288,771288,771288,nested_current_learner_ceiling,0,,771288,zero_to_nested_ceiling_only,VIS-INDIA-5-19-2011,ACCPOP-VIS-INDIA-5-19-2011; all intervention edges in VIS-INDIA-5-19-2011,unmeasured,OpenStax mathematics/science and Open Logic FR-2,D3_plus_accessibility,Born-accessible localized HTML; semantic headings tables language metadata MathML intent/structure skip links keyboard navigation and tested screen-reader reading order,0.10,0.15,0.20,91274,610957,3732914,planning sensitivity from FR-2 gross-token scenarios × registered workload increment; not observed tokens or programme cost,ACC-S008;ACC-S009;ACC-S013;ACC-S014;ACC-S015,ACC-S004,mechanism_established_incremental_gain_unmeasured,false,false,The high value is only the nested census ceiling. It is not a forecast and cannot be added to a language-edition reach. Attendance does not imply readiness for tertiary OpenStax or Open Logic content and the count does not partition low vision blindness screen-reader use or Braille literacy.
2,deterministic registered backlog order; not an evidence-based cardinal rank,ACCEDGE-AUDIO-VIS-INDIA,AX-AUDIO,Formula narration and synchronized audio,accessibility_derivative,visual_disability,India,age 5-19 attending educational institution,source category In-Seeing,attending_educational_institution_persons,2011,771288,771288,771288,nested_current_learner_ceiling,0,,771288,zero_to_nested_ceiling_only,VIS-INDIA-5-19-2011,ACCPOP-VIS-INDIA-5-19-2011; all intervention edges in VIS-INDIA-5-19-2011,unmeasured,OpenStax mathematics/science and Open Logic FR-2,D4,Deterministic language-specific symbol and formula narration synchronized with navigable text; diagrams require separate descriptions,0.25,0.35,0.45,228184,1425567,8399057,planning sensitivity from FR-2 gross-token scenarios × registered workload increment; not observed tokens or programme cost,ACC-S008;ACC-S009;ACC-S010;ACC-S013;ACC-S014,ACC-S004,mechanism_plausible_language_specific_validation_and_gain_unmeasured,false,false,Generic TTS is not a validated mathematics audiobook. Do not add visual disability and low-literacy groups. Attendance does not imply readiness for tertiary OpenStax or Open Logic content and the count does not partition low vision blindness screen-reader use or Braille literacy.
3,deterministic registered backlog order; not an evidence-based cardinal rank,ACCEDGE-BRAILLE-EN,AX-BRAILLE-MATH,English mathematical Braille derivative,accessibility_derivative,braille_math,United States and Canada,unresolved,English technical Braille,no_braille_literacy_or_technical_code_use_count,current,,,,no_defensible_population_denominator,0,,,unbounded_unknown,BRAILLE-EN-US-CA,visual impairment and screen-reader populations,unmeasured,Selected English OpenStax mathematics/science and Open Logic FR-2,D5,Source-linked BRF using the jurisdictionally correct UEB technical or UEB-with-Nemeth policy; tactile/diagram alternatives; round-trip formula QA,,,,,,,"no registered workload coefficient; blank is unknown, not zero",ACC-S009;ACC-S012;ACC-S013;ACC-S014,ACC-S012,standard_exists_for_bounded_english_jurisdiction_population_denominator_missing,false,false,Not rankable. BANA guidance is limited to US/Canada English and cannot be generalized to India or other language communities. Visual impairment prevalence cannot be converted to Braille literacy. Other languages and jurisdictions require their own Braille codes and evidence.
4,deterministic registered backlog order; not an evidence-based cardinal rank,ACCEDGE-BSL-SIGNED,AX-SIGNED-BSL,Localized British Sign Language instructional video and interactive glossary,signed_language_access,signed_language,Scotland,age 3 and over reporting ability to use BSL,British Sign Language,self_reported_ability_to_use_persons,2022,117250,117300,117349,named_signed_language_ability_ceiling,0,,117349,zero_to_language_ability_ceiling_only,SIGN-BSL-SCOT-2022,none,English_and_other_languages_unmeasured,Open Logic FR-2 foundations first; selected foundational OpenStax units only after domain glossary,D5,Native BSL presentation with captions transcript downloadable low-bandwidth video glossary diagrams and source-aligned segment identifiers,,,,,,,"no registered workload coefficient; blank is unknown, not zero",ACC-S008,ACC-S006,named_ability_cell_but_first_language_and_incremental_access_unmeasured,false,false,The census ability total is an especially loose upper ceiling. The around-2600 main-sign-language context is not an exact BSL lower bound. Ability includes many second-language users. Around 2600 report sign language as main language but not all are BSL users; that contextual value is not used as a lower bound.
5,deterministic registered backlog order; not an evidence-based cardinal rank,ACCEDGE-LOGICFIG-VIS-INDIA,AX-FIG-LOGIC,Logic figure and proof-tree remediation,accessibility_derivative,visual_disability,India,age 5-19 attending educational institution,source category In-Seeing,attending_educational_institution_persons,2011,771288,771288,771288,nested_current_learner_ceiling,0,,771288,zero_to_nested_ceiling_only,VIS-INDIA-5-19-2011,ACCPOP-VIS-INDIA-5-19-2011; all intervention edges in VIS-INDIA-5-19-2011,unmeasured,Open Logic FR-2,D3_plus_accessibility,Programmatic proof structure with explicit subproof starts ends indentation rule names symbol pronunciation and linearized fallback,0.05,0.085,0.12,45637,346209,2239749,planning sensitivity from FR-2 gross-token scenarios × registered workload increment; not observed tokens or programme cost,ACC-S008;ACC-S009;ACC-S014;ACC-S015,ACC-S004,target_mechanism_demonstrated_residual_defects_known_gain_unmeasured,false,false,A corpus-specific regression suite is required across NVDA JAWS VoiceOver and relevant browser combinations before conformance claims. Attendance does not imply readiness for tertiary OpenStax or Open Logic content and the count does not partition low vision blindness screen-reader use or Braille literacy.
6,deterministic registered backlog order; not an evidence-based cardinal rank,ACCEDGE-MATHFIG-VIS-INDIA,AX-FIG-MATH,Mathematics figure remediation,accessibility_derivative,visual_disability,India,age 5-19 attending educational institution,source category In-Seeing,attending_educational_institution_persons,2011,771288,771288,771288,nested_current_learner_ceiling,0,,771288,zero_to_nested_ceiling_only,VIS-INDIA-5-19-2011,ACCPOP-VIS-INDIA-5-19-2011; all intervention edges in VIS-INDIA-5-19-2011,unmeasured,Selected OpenStax mathematics titles,D3_plus_accessibility,Structured data plus concise alt text and adjacent long descriptions; non-colour-only encodings; downloadable data where meaningful,0.10,0.15,0.20,91274,610957,3732914,planning sensitivity from FR-2 gross-token scenarios × registered workload increment; not observed tokens or programme cost,ACC-S008;ACC-S009;ACC-S013,ACC-S004,corpus_mechanism_established_title_coverage_and_gain_unmeasured,false,false,Do not treat every person in the source category as a graph-remediation beneficiary. Attendance does not imply readiness for tertiary OpenStax or Open Logic content and the count does not partition low vision blindness screen-reader use or Braille literacy.
7,deterministic registered backlog order; not an evidence-based cardinal rank,ACCEDGE-NZSL-SIGNED,AX-SIGNED-NZSL,Localized New Zealand Sign Language instructional video and interactive glossary,signed_language_access,signed_language,New Zealand,persons reporting language spoken,New Zealand Sign Language,census_languages_spoken_multiple_response_persons,2023,24676,24678,24680,named_signed_language_ability_ceiling,0,,24680,zero_to_language_ability_ceiling_only,SIGN-NZSL-NZ-2023,none,English_and_other_languages_unmeasured,Open Logic FR-2 foundations first; selected foundational OpenStax units only after domain glossary,D5,Native NZSL presentation with captions transcript downloadable low-bandwidth video glossary diagrams and source-aligned segment identifiers,,,,,,,"no registered workload coefficient; blank is unknown, not zero",ACC-S008,ACC-S005,named_population_cell_product_mechanism_clear_incremental_gain_unmeasured,false,false,All reported NZSL users cannot be treated as newly served or as unable to read English. Translation must be direct to NZSL rather than signed rendering of English word order. Multiple response language ability is not first-language use and does not show inability to use existing English materials.
8,deterministic registered backlog order; not an evidence-based cardinal rank,ACCEDGE-OFFLINE-GLOBAL,AX-OFFLINE,Offline HTML EPUB or SCORM package,accessibility_derivative,connectivity,Global,all ages,all languages,people_remaining_offline_estimate,2025,2200000000,2200000000,2200000000,gross_connectivity_ceiling_false_precision_guard,0,,2200000000,zero_to_global_ceiling_only,OFFLINE-GLOBAL-2025,every language territory and learner cell; all other delivery-axis interventions,unmeasured,All selected OpenStax and Open Logic products,D3_plus_delivery,Dependency-free static HTML plus conformant EPUB; local assets search navigation checksums and print profile; no mandatory account analytics CDN font or runtime requests,0.05,0.085,0.12,45637,346209,2239749,planning sensitivity from FR-2 gross-token scenarios × registered workload increment; not observed tokens or programme cost,ACC-S010;ACC-S013;ACC-S014,ACC-S002,delivery_mechanism_established_intersection_and_gain_unmeasured,false,false,Offline people may lack a compatible device electricity storage or distribution channel. The global estimate is an absolute ceiling only. Must be intersected with exact language territory learner curriculum and device/storage access. Offline people are not necessarily able to use a digital offline package.
9,deterministic registered backlog order; not an evidence-based cardinal rank,ACCEDGE-PDF-VIS-INDIA,AX-PDF,Tagged searchable screen and print PDF,accessibility_derivative,visual_disability,India,age 5-19 attending educational institution,source category In-Seeing,attending_educational_institution_persons,2011,771288,771288,771288,nested_current_learner_ceiling,0,,771288,zero_to_nested_ceiling_only,VIS-INDIA-5-19-2011,ACCPOP-VIS-INDIA-5-19-2011; all intervention edges in VIS-INDIA-5-19-2011,unmeasured,Selected OpenStax and Open Logic titles,D3_plus_accessibility,Tagged reading order bookmarks language metadata embedded fonts searchable text black-and-white print profile and formula alternatives,0.05,0.075,0.10,45637,305479,1866457,planning sensitivity from FR-2 gross-token scenarios × registered workload increment; not observed tokens or programme cost,ACC-S008;ACC-S013;ACC-S014,ACC-S004,mechanism_established_exact_title_pdf_audit_pending,false,false,A tagged PDF is not automatically equivalent to MathML navigation and must not duplicate HTML users. Attendance does not imply readiness for tertiary OpenStax or Open Logic content and the count does not partition low vision blindness screen-reader use or Braille literacy.
10,deterministic registered backlog order; not an evidence-based cardinal rank,ACCEDGE-PLAIN-COG-INDIA,AX-PLAIN,Plain-language companion,accessibility_derivative,cognitive_access_proxy,India,age 5-19 attending educational institution,historical source category Mental retardation,attending_educational_institution_persons,2011,257755,257755,257755,nested_proxy_not_plain_language_denominator,0,,257755,zero_to_nested_proxy_ceiling_only,COG-INDIA-5-19-2011,ACCPOP-COG-INDIA-5-19-2011; AX-PLAIN edges,unmeasured,Selected foundational OpenStax units and Open Logic FR-2 worked examples,D4,Aligned summaries definitions one-idea steps worked examples explicit goals consistent vocabulary and source links; preserve mathematical truth conditions,0.35,0.475,0.60,319458,1934698,11198743,planning sensitivity from FR-2 gross-token scenarios × registered workload increment; not observed tokens or programme cost,ACC-S008;ACC-S011,ACC-S004,standards_guidance_present_target_gain_and_curriculum_relevance_unmeasured,false,false,The high value is a nested census proxy ceiling not a plain-language audience estimate. The historical source category is not a target definition. No evidence identifies which learners would gain comfortable access from a plain-language companion or whether the target curriculum is relevant.
