flores_lang_code,sonar_lang_code,lang_name,script,family,subgrouping,resource_level,variety,source_id,source_sha256,capability_interpretation
ace_Arab,ace_Arab,Acehnese,Arabic,Austronesian,Malayo-Polynesian,Low,North Acehnese,ACE-E022,D420A781FE70198DAF1231F60FFB4EF8203C3760CF75A89052BC32E971D5E386,"Benchmark/encoder support and NLLB resource tier only; not evidence of current Codex quality, mathematical terminology, variety fit, source fidelity, or educational usability."
ace_Latn,ace_Latn,Acehnese,Latin,Austronesian,Malayo-Polynesian,Low,North Acehnese,ACE-E022,D420A781FE70198DAF1231F60FFB4EF8203C3760CF75A89052BC32E971D5E386,"Benchmark/encoder support and NLLB resource tier only; not evidence of current Codex quality, mathematical terminology, variety fit, source fidelity, or educational usability."
acm_Arab,acm_Arab,Mesopotamian Arabic,Arabic,Afro-Asiatic,Semitic,Low,Baghdadi,ACE-E022,D420A781FE70198DAF1231F60FFB4EF8203C3760CF75A89052BC32E971D5E386,"Benchmark/encoder support and NLLB resource tier only; not evidence of current Codex quality, mathematical terminology, variety fit, source fidelity, or educational usability."
acq_Arab,acq_Arab,Taʽizzi-Adeni Arabic,Arabic,Afro-Asiatic,Semitic,Low,,ACE-E022,D420A781FE70198DAF1231F60FFB4EF8203C3760CF75A89052BC32E971D5E386,"Benchmark/encoder support and NLLB resource tier only; not evidence of current Codex quality, mathematical terminology, variety fit, source fidelity, or educational usability."
aeb_Arab,aeb_Arab,Tunisian Arabic,Arabic,Afro-Asiatic,Semitic,Low,Derja,ACE-E022,D420A781FE70198DAF1231F60FFB4EF8203C3760CF75A89052BC32E971D5E386,"Benchmark/encoder support and NLLB resource tier only; not evidence of current Codex quality, mathematical terminology, variety fit, source fidelity, or educational usability."
afr_Latn,afr_Latn,Afrikaans,Latin,Indo-European,Germanic,High,,ACE-E022,D420A781FE70198DAF1231F60FFB4EF8203C3760CF75A89052BC32E971D5E386,"Benchmark/encoder support and NLLB resource tier only; not evidence of current Codex quality, mathematical terminology, variety fit, source fidelity, or educational usability."
ajp_Arab,ajp_Arab,South Levantine Arabic,Arabic,Afro-Asiatic,Semitic,Low,Ammani,ACE-E022,D420A781FE70198DAF1231F60FFB4EF8203C3760CF75A89052BC32E971D5E386,"Benchmark/encoder support and NLLB resource tier only; not evidence of current Codex quality, mathematical terminology, variety fit, source fidelity, or educational usability."
aka_Latn,aka_Latn,Akan,Latin,Atlantic-Congo,Kwa Volta-Congo,Low,Asante,ACE-E022,D420A781FE70198DAF1231F60FFB4EF8203C3760CF75A89052BC32E971D5E386,"Benchmark/encoder support and NLLB resource tier only; not evidence of current Codex quality, mathematical terminology, variety fit, source fidelity, or educational usability."
amh_Ethi,amh_Ethi,Amharic,Geʽez,Afro-Asiatic,Semitic,Low,Addis Ababa,ACE-E022,D420A781FE70198DAF1231F60FFB4EF8203C3760CF75A89052BC32E971D5E386,"Benchmark/encoder support and NLLB resource tier only; not evidence of current Codex quality, mathematical terminology, variety fit, source fidelity, or educational usability."
apc_Arab,apc_Arab,North Levantine Arabic,Arabic,Afro-Asiatic,Semitic,Low,,ACE-E022,D420A781FE70198DAF1231F60FFB4EF8203C3760CF75A89052BC32E971D5E386,"Benchmark/encoder support and NLLB resource tier only; not evidence of current Codex quality, mathematical terminology, variety fit, source fidelity, or educational usability."
arb_Arab,arb_Arab,Modern Standard Arabic,Arabic,Afro-Asiatic,Semitic,High,,ACE-E022,D420A781FE70198DAF1231F60FFB4EF8203C3760CF75A89052BC32E971D5E386,"Benchmark/encoder support and NLLB resource tier only; not evidence of current Codex quality, mathematical terminology, variety fit, source fidelity, or educational usability."
arb_Latn,-,Modern Standard Arabic,Latin,Afro-Asiatic,Semitic,Low,,ACE-E022,D420A781FE70198DAF1231F60FFB4EF8203C3760CF75A89052BC32E971D5E386,"Benchmark/encoder support and NLLB resource tier only; not evidence of current Codex quality, mathematical terminology, variety fit, source fidelity, or educational usability."
ars_Arab,ars_Arab,Najdi Arabic,Arabic,Afro-Asiatic,Semitic,Low,,ACE-E022,D420A781FE70198DAF1231F60FFB4EF8203C3760CF75A89052BC32E971D5E386,"Benchmark/encoder support and NLLB resource tier only; not evidence of current Codex quality, mathematical terminology, variety fit, source fidelity, or educational usability."
ary_Arab,ary_Arab,Moroccan Arabic,Arabic,Afro-Asiatic,Semitic,Low,,ACE-E022,D420A781FE70198DAF1231F60FFB4EF8203C3760CF75A89052BC32E971D5E386,"Benchmark/encoder support and NLLB resource tier only; not evidence of current Codex quality, mathematical terminology, variety fit, source fidelity, or educational usability."
arz_Arab,arz_Arab,Egyptian Arabic,Arabic,Afro-Asiatic,Semitic,Low,,ACE-E022,D420A781FE70198DAF1231F60FFB4EF8203C3760CF75A89052BC32E971D5E386,"Benchmark/encoder support and NLLB resource tier only; not evidence of current Codex quality, mathematical terminology, variety fit, source fidelity, or educational usability."
asm_Beng,asm_Beng,Assamese,Bengali,Indo-European,Indo-Aryan,Low,Eastern,ACE-E022,D420A781FE70198DAF1231F60FFB4EF8203C3760CF75A89052BC32E971D5E386,"Benchmark/encoder support and NLLB resource tier only; not evidence of current Codex quality, mathematical terminology, variety fit, source fidelity, or educational usability."
ast_Latn,ast_Latn,Asturian,Latin,Indo-European,Italic,Low,Central,ACE-E022,D420A781FE70198DAF1231F60FFB4EF8203C3760CF75A89052BC32E971D5E386,"Benchmark/encoder support and NLLB resource tier only; not evidence of current Codex quality, mathematical terminology, variety fit, source fidelity, or educational usability."
awa_Deva,awa_Deva,Awadhi,Devanagari,Indo-European,Indo-Aryan,Low,Ayodhya,ACE-E022,D420A781FE70198DAF1231F60FFB4EF8203C3760CF75A89052BC32E971D5E386,"Benchmark/encoder support and NLLB resource tier only; not evidence of current Codex quality, mathematical terminology, variety fit, source fidelity, or educational usability."
ayr_Latn,ayr_Latn,Central Aymara,Latin,Aymaran,Central Southern Aymara,Low,Aymara La Paz jilata,ACE-E022,D420A781FE70198DAF1231F60FFB4EF8203C3760CF75A89052BC32E971D5E386,"Benchmark/encoder support and NLLB resource tier only; not evidence of current Codex quality, mathematical terminology, variety fit, source fidelity, or educational usability."
