join_suggestion_id,intervention_id,target_name,observation_id,population_language_label,candidate_iso3,population_iso3,code_match,name_match,territory_match,suggestion_status,population_base,count_unit,measure_type,target_mapping_status,observation_use,negative_control,notes
JOIN-0001,NAT-001,Bangladesh Bangla,POP-IN-002,Bengali,ben,ben,true,true,false,same_language_other_territory_review,97237669,persons,census_mother_tongue_persons,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0002,NAT-001,Bangladesh Bangla,POP-MU-001,Bangla,ben,ben,true,true,false,same_language_other_territory_review,14483,persons,language_usually_spoken_at_home_persons,source_named_language_observation,gross_upper_bound_pending_intervention_edges,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0003,NAT-001,Bangladesh Bangla,POP-IN-COMP-002,Bengali,ben,ben,true,true,false,same_language_other_territory_review,96177835,persons,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_preferred_for_standard_edition,gross_upper_bound_pending_intervention_edges,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0004,NAT-001,Bangladesh Bangla,TH-2010-021,Bengali/Bangladesh,ben,ben,true,false,false,same_language_other_territory_review,3137,persons,census_usual_language_at_home_persons,source_named_label_pending_edition_profile_evidence,gross_upper_bound_pending_intervention_edges,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0005,NAT-001,Bangladesh Bangla,ALG-BD-L001,Bangla,ben,ben,true,true,true,strong_join_suggestion,60026,sample_cases,survey_household_head_language_cases,sample_case_not_population,context_or_sensitivity_only,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0006,NAT-001,Bangladesh Bangla,ASSEC-BD-BN-001,Bangla,ben,ben,true,true,true,strong_join_suggestion,165323060,persons,derived_cldr_territory_functional_language_users,exact_language_and_territory_match_to_NAT-001; population source does not establish orthography,gross_upper_bound_pending_intervention_edges,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0007,NAT-002,Indian Bengali,POP-IN-002,Bengali,ben,ben,true,true,true,strong_join_suggestion,97237669,persons,census_mother_tongue_persons,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0008,NAT-002,Indian Bengali,POP-MU-001,Bangla,ben,ben,true,true,false,same_language_other_territory_review,14483,persons,language_usually_spoken_at_home_persons,source_named_language_observation,gross_upper_bound_pending_intervention_edges,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0009,NAT-002,Indian Bengali,POP-IN-COMP-002,Bengali,ben,ben,true,true,true,strong_join_suggestion,96177835,persons,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_preferred_for_standard_edition,gross_upper_bound_pending_intervention_edges,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0010,NAT-002,Indian Bengali,TH-2010-021,Bengali/Bangladesh,ben,ben,true,false,false,same_language_other_territory_review,3137,persons,census_usual_language_at_home_persons,source_named_label_pending_edition_profile_evidence,gross_upper_bound_pending_intervention_edges,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0011,NAT-002,Indian Bengali,ALG-BD-L001,Bangla,ben,ben,true,true,false,same_language_other_territory_review,60026,sample_cases,survey_household_head_language_cases,sample_case_not_population,context_or_sensitivity_only,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0012,NAT-002,Indian Bengali,ASSEC-BD-BN-001,Bangla,ben,ben,true,true,false,same_language_other_territory_review,165323060,persons,derived_cldr_territory_functional_language_users,exact_language_and_territory_match_to_NAT-001; population source does not establish orthography,gross_upper_bound_pending_intervention_edges,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0013,NAT-003,Telugu,POP-IN-021,Telugu,tel,tel,true,true,true,strong_join_suggestion,81127740,persons,census_mother_tongue_persons,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0014,NAT-003,Telugu,POP-MU-010,Telugu,tel,tel,true,true,false,same_language_other_territory_review,362,persons,language_usually_spoken_at_home_persons,source_named_language_observation,gross_upper_bound_pending_intervention_edges,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0015,NAT-003,Telugu,POP-IN-COMP-021,Telugu,tel,tel,true,true,true,strong_join_suggestion,80912459,persons,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_preferred_for_standard_edition,gross_upper_bound_pending_intervention_edges,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0016,NAT-004,Indian Tamil,POP-IN-020,Tamil,tam,tam,true,true,true,strong_join_suggestion,69026881,persons,census_mother_tongue_persons,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0017,NAT-004,Indian Tamil,POP-MU-009,Tamil,tam,tam,true,true,false,same_language_other_territory_review,1035,persons,language_usually_spoken_at_home_persons,source_named_language_observation,gross_upper_bound_pending_intervention_edges,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0018,NAT-004,Indian Tamil,POP-IN-COMP-020,Tamil,tam,tam,true,true,true,strong_join_suggestion,68888839,persons,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_preferred_for_standard_edition,gross_upper_bound_pending_intervention_edges,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0019,NAT-004,Indian Tamil,ALG-SG-L008,Tamil,tam,tam,true,true,false,same_language_other_territory_review,89946,persons,census_home_language_most_frequent_persons,source_named_language_observation,gross_upper_bound_pending_intervention_edges,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0020,NAT-004,Indian Tamil,ASSEC-LK-TA-001,Tamil,tam,tam,true,true,false,same_language_other_territory_review,3297390,persons,derived_cldr_territory_functional_language_users,language_and_country_match_to_NAT-005; source does not separate Sri Lankan Tamil subvarieties and likelySubtag is generic ta-Taml-IN,gross_upper_bound_pending_intervention_edges,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0021,NAT-005,Sri Lankan Tamil,POP-IN-020,Tamil,tam,tam,true,false,false,same_language_other_territory_review,69026881,persons,census_mother_tongue_persons,c16_census_language_aggregate,context_category_parent_superseded_for_standard_edition_by_same_name_component,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0022,NAT-005,Sri Lankan Tamil,POP-MU-009,Tamil,tam,tam,true,false,false,same_language_other_territory_review,1035,persons,language_usually_spoken_at_home_persons,source_named_language_observation,gross_upper_bound_pending_intervention_edges,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0023,NAT-005,Sri Lankan Tamil,POP-IN-COMP-020,Tamil,tam,tam,true,false,false,same_language_other_territory_review,68888839,persons,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_preferred_for_standard_edition,gross_upper_bound_pending_intervention_edges,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
JOIN-0024,NAT-005,Sri Lankan Tamil,ALG-SG-L008,Tamil,tam,tam,true,false,false,same_language_other_territory_review,89946,persons,census_home_language_most_frequent_persons,source_named_language_observation,gross_upper_bound_pending_intervention_edges,false,Machine suggestion only; semantic audit and explicit intervention-edge factors remain required.
