intervention_id,intervention_type,intervention_name,target_profiles,output_count,territory_or_scope,portfolio_lane,lane_basis,population_low,population_base,population_high,source_population_low_reported,source_population_high_reported,population_interval_status,population_measure,population_years,population_observation_ids,population_source_ids,profile_authority_source_ids,profile_population_attribution,source_confidence,source_tier,marginal_access_low,marginal_access_base_sensitivity,marginal_access_high,access_factor_status,gross_tokens_low,gross_tokens_base,gross_tokens_high,api_equivalent_usd_base,gross_people_per_million_base_tokens,base_marginal_access_per_million_tokens,conservative_access_per_million_tokens,optimistic_access_per_million_tokens,scarcity_adjusted_access_per_million_tokens,recommended_first_product,recommended_openstax_next_product,recommended_openstax_depth,openstax_next_gross_tokens_low,openstax_next_gross_tokens_base,openstax_next_gross_tokens_high,profile_resolution_status,profile_ranking_treatment,deduplication_rule,evidence_caveat,base_efficiency_rank_low,base_efficiency_rank_high,gross_efficiency_rank_low,gross_efficiency_rank_high,conservative_efficiency_rank_low,conservative_efficiency_rank_high,optimistic_efficiency_rank_low,optimistic_efficiency_rank_high,scarcity_efficiency_rank_low,scarcity_efficiency_rank_high,informative_rank_best,informative_rank_worst,informative_rank_views_available,conservative_view_treatment,admission_lane,admission_lane_rank_low,admission_lane_rank_high,portfolio_position
NAT-122,natural_language_edition,Standard Simplified Chinese (Mainland China),zh-Hans-CN,1,China,high_reach_underserved,R5_50m_plus; vitality is not inferred from population band,1411778724,1411778724,1411778724,1411778724,1411778724,source_interval_or_exact_bounds,official_census_mainland_population_gross_territory_ceiling,2020-11-01,POP-CN-001,PM-S022,,,high,1,0,682877354,1411778724,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,16.77,346614716.396,167657534.687,0.000,1546753034.007,16177443.237,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,resolved_single_profile,ex_ante_equal_basis_rank_forward_residual_separate,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",1,1,1,1,1,137,1,1,1,1,1,1,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,1,1,1
NAT-124,natural_language_edition,Standard Hindi (India),hi-Deva-IN,1,India,high_reach_underserved,R5_50m_plus; vitality is not inferred from population band,322230097,322230097,322230097,322230097,322230097,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-006,PM-S001,,,high,1,0,243459662,317929549,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,16.77,79112747.477,59773320.183,0.000,348325474.918,12059506.527,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,resolved_single_profile,ex_ante_equal_basis_rank_forward_residual_separate,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",2,2,2,2,1,137,2,2,2,2,2,2,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,2,2,2
NAT-003,natural_language_edition,Telugu,te-Telu-IN,1,India,high_reach_underserved,R5_50m_plus; vitality is not inferred from population band,80912459,80912459,80912459,80912459,80912459,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-021,PM-S001,,,high,1,0,57833869,78144198,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,16.77,19865329.143,14199158.665,0.000,85615240.754,8220560.322,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,,,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",6,6,9,9,1,137,8,8,3,3,3,8,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,3,3,3
NAT-121,natural_language_edition,Bahasa Indonesia,id-Latn-ID,1,Indonesia,high_reach_underserved,R5_50m_plus; vitality is not inferred from population band,0,248501794,248501794,,,source_point_without_interval_model_low_zero_high_point,official_long_form_census_able_to_speak_indonesian_persons_age5plus,2022,POP-ID-018,PM-S021,,,high,1,0,119280861,248501794,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,16.77,61011245.875,29285397.991,0.000,272260020.137,256891.582,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,resolved_single_profile,ex_ante_equal_basis_rank_forward_residual_separate,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",3,3,3,3,1,137,3,3,29,29,3,29,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,3,3,4
NAT-001,natural_language_edition,Bangladesh Bangla,bn-Beng-BD,1,Bangladesh,high_reach_underserved,R5_50m_plus; vitality is not inferred from population band,0,165323060,165323060,,,source_point_without_interval_model_low_zero_high_point,derived_cldr_territory_functional_language_users,2026-03-17 CLDR release; component estimate year not stated,ASSEC-BD-BN-001,ASSEC-S006,,,medium,2,0,65302609,165323060,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,16.77,40589509.235,16032856.221,0.000,181128912.272,3937893.946,FR-2 Formal Reasoning Core,MV-1,D3,1612429,5474018,21073801,,,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",5,5,4,4,1,137,4,4,11,11,4,11,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,4,4,5
NAT-006,natural_language_edition,Marathi,mr-Deva-IN,1,India,high_reach_underserved,R5_50m_plus; vitality is not inferred from population band,82801140,82801140,82801140,82801140,82801140,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-013,PM-S001,,,high,1,0,50316309,75430264,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,16.77,20329031.151,12353475.001,0.000,82641838.777,7693830.838,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,,,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",7,7,8,8,1,137,9,9,4,4,4,9,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,4,4,6
NAT-002,natural_language_edition,Indian Bengali,bn-Beng-IN,1,India,high_reach_underserved,R5_50m_plus; vitality is not inferred from population band,96177835,96177835,96177835,96177835,96177835,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-002,PM-S001,,,high,1,0,69699712,93375817,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,16.77,23613228.076,17112416.767,0.000,102303091.690,4203049.116,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,,,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",4,4,6,6,1,137,6,6,10,10,4,10,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,4,4,7
NAT-123,natural_language_edition,Japanese (Japan),ja-Jpan-JP,1,Japan,high_reach_underserved,R5_50m_plus; vitality is not inferred from population band,126146099,126146099,126146099,126146099,126146099,source_interval_or_exact_bounds,official_census_territory_population_gross_ceiling,2020-10-01,POP-JP-001,PM-S023,,,high,1,0,31536525,126146099,unmeasured_low0_neutral0.5_high1_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,16.77,30970925.957,7742731.551,0.000,138206404.474,339596.209,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,resolved_single_profile,ex_ante_equal_basis_rank_forward_stage_specific,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",12,12,5,5,1,137,5,5,27,27,5,27,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,optimistic,5,5,8
NAT-038,natural_language_edition,Javanese,jv-Latn-ID,1,Indonesia,high_reach_underserved,R5_50m_plus; vitality is not inferred from population band,68044660,68044660,68044660,68044660,68044660,source_interval_or_exact_bounds,daily_language_at_home_age5plus_persons,2010,POP-ID-001,PM-S005,,,high,1,0,32661437,68044660,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,16.77,16706074.491,8018915.805,0.000,74550127.802,7385846.328,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,,,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",11,11,11,11,1,137,10,10,5,5,5,11,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,scarcity,5,5,9
NAT-004,natural_language_edition,Indian Tamil,ta-Taml-IN,1,India,high_reach_underserved,R5_50m_plus; vitality is not inferred from population band,68888839,68888839,68888839,68888839,68888839,source_interval_or_exact_bounds,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-020,PM-S001,,,high,1,0,48387709,66095914,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,16.77,16913334.212,11879972.227,0.000,72415070.278,5835774.870,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,,,one exact population observation; excluded if consumed by a selected shared-core package,"Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count.",8,8,10,10,1,137,11,11,7,7,7,11,3,reported_tie_interval_but_not_used_for_admission_when_globally_degenerate,base,8,8,10
