model_row_id,intervention_id,mechanism_class,token_scenario,reuse_assumption_scenario,expected_new_named_outputs,named_outputs_with_exact_population,population_coverage_fraction_of_named_outputs,exact_named_output_population_low,exact_named_output_population_base,exact_named_output_population_high,population_evidence_status,all_selected_links_usable_as_package_population_total,all_planned_matrix_rows_rankable_under_current_evidence,included_target_profiles,included_population_observation_ids,included_population_source_ids,population_years,base_marginal_access_sensitivity_sum,marginal_access_low_sum,marginal_access_high_sum,marginal_score_joined_output_count,marginal_score_territory_proxy_derived_output_count,marginal_score_missing_observation_ids,single_output_gross_tokens,named_outputs_no_reuse_gross_tokens,named_outputs_shared_core_gross_tokens,named_output_compute_savings_fraction,derivative_increment_gross_tokens,constructed_surface_gross_tokens,total_modeled_gross_tokens,gross_observed_people_per_million_tokens,base_marginal_sensitivity_per_million_tokens,rankable_as_observed_population_gross_sum,exclusions_and_nonadditivity,interpretation
IL-ISV-low-reuse_optimistic,IL-ISV,constructed_bridge,low,reuse_optimistic,0,0,,0,0,0,constructed_bridge_zero_conservative_reach,false,false,,,,,,,,0,0,,912737,0,0,,45637,912737,958374,0.000,,false,constructed bridge: exact target/task incremental comprehension is absent; conservative reach is zero,No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-ISV-low-reuse_base,IL-ISV,constructed_bridge,low,reuse_base,0,0,,0,0,0,constructed_bridge_zero_conservative_reach,false,false,,,,,,,,0,0,,912737,0,0,,136911,912737,1049648,0.000,,false,constructed bridge: exact target/task incremental comprehension is absent; conservative reach is zero,No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-ISV-low-reuse_conservative,IL-ISV,constructed_bridge,low,reuse_conservative,0,0,,0,0,0,constructed_bridge_zero_conservative_reach,false,false,,,,,,,,0,0,,912737,0,0,,319458,912737,1232195,0.000,,false,constructed bridge: exact target/task incremental comprehension is absent; conservative reach is zero,No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-ISV-base-reuse_optimistic,IL-ISV,constructed_bridge,base,reuse_optimistic,0,0,,0,0,0,constructed_bridge_zero_conservative_reach,false,false,,,,,,,,0,0,,4073049,0,0,,203652,4073049,4276701,0.000,,false,constructed bridge: exact target/task incremental comprehension is absent; conservative reach is zero,No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-ISV-base-reuse_base,IL-ISV,constructed_bridge,base,reuse_base,0,0,,0,0,0,constructed_bridge_zero_conservative_reach,false,false,,,,,,,,0,0,,4073049,0,0,,610957,4073049,4684006,0.000,,false,constructed bridge: exact target/task incremental comprehension is absent; conservative reach is zero,No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-ISV-base-reuse_conservative,IL-ISV,constructed_bridge,base,reuse_conservative,0,0,,0,0,0,constructed_bridge_zero_conservative_reach,false,false,,,,,,,,0,0,,4073049,0,0,,1425567,4073049,5498616,0.000,,false,constructed bridge: exact target/task incremental comprehension is absent; conservative reach is zero,No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-ISV-high-reuse_optimistic,IL-ISV,constructed_bridge,high,reuse_optimistic,0,0,,0,0,0,constructed_bridge_zero_conservative_reach,false,false,,,,,,,,0,0,,18664571,0,0,,933229,18664571,19597800,0.000,,false,constructed bridge: exact target/task incremental comprehension is absent; conservative reach is zero,No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-ISV-high-reuse_base,IL-ISV,constructed_bridge,high,reuse_base,0,0,,0,0,0,constructed_bridge_zero_conservative_reach,false,false,,,,,,,,0,0,,18664571,0,0,,2799686,18664571,21464257,0.000,,false,constructed bridge: exact target/task incremental comprehension is absent; conservative reach is zero,No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-ISV-high-reuse_conservative,IL-ISV,constructed_bridge,high,reuse_conservative,0,0,,0,0,0,constructed_bridge_zero_conservative_reach,false,false,,,,,,,,0,0,,18664571,0,0,,6532600,18664571,25197171,0.000,,false,constructed bridge: exact target/task incremental comprehension is absent; conservative reach is zero,No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
IL-ROM-low-reuse_optimistic,IL-ROM,pluricentric_shared_core,low,reuse_optimistic,7,0,0.000000,0,0,0,no_rankable_exact_named_output_population,false,false,,,,,,,,0,0,,912737,4563685,1642927,0.6399999123515316,0,0,1642927,0.000,,false,es:no eligible exact person observation;pt-BR:no eligible exact person observation;fr:no eligible exact person observation;it-Latn-IT:no eligible exact person observation;ro-Latn-RO:no eligible exact person observation;ca-Latn:no eligible exact person observation;gl-Latn-ES:no eligible exact person observation,No observed package reach is rankable under the current exact named-output or constructed-bridge evidence rule.
