edge_id,intervention_id,intervention_name,mechanism_class,curriculum_scope,adaptation_depth,linked_stratum_id,geography,population_measure,population_year,source_population_low,source_population_point,source_population_high,expected_marginal_low,expected_marginal_base,expected_marginal_high_ceiling,workload_increment_low,workload_increment_base,workload_increment_high,rank_ready,portfolio_slot_selected,portfolio_slot_order,portfolio_treatment,selection_basis,existing_baseline,overlap_group_id,selected_after_rule,standards_source_ids,population_source_ids,product_specification,evidence_status,caveats
ACCEDGE-HTML-VIS-INDIA,AX-HTML,Semantic HTML with accessible math,accessibility_derivative,OpenStax mathematics/science and Open Logic FR-2,D3_plus_accessibility,ACCPOP-VIS-INDIA-ATTEND-2011,,,2011,771288,771288,771288,0,,771288,0.10,0.15,0.20,false,false,,foundational_horizontal_requirement_not_cardinal_rank,semantic HTML and structured MathML are a prerequisite for accessible localized editions; this priority does not use the demographic ceiling and receives no numbered portfolio slot,OpenStax web books already use MathML and alt text; forall x already has accessible HTML MathML and structured proofs with known residual defects,VIS-INDIA-5-19-2011,Only residual after exact title language format and assistive-technology audit; later visual edges receive remaining users only,ACC-S008;ACC-S009;ACC-S013;ACC-S014;ACC-S015,ACC-S004,Born-accessible localized HTML; semantic headings tables language metadata MathML intent/structure skip links keyboard navigation and tested screen-reader reading order,mechanism_established_incremental_gain_unmeasured,The high value is only the nested census ceiling. It is not a forecast and cannot be added to a language-edition reach.
ACCEDGE-AUDIO-VIS-INDIA,AX-AUDIO,Formula narration and synchronized audio,accessibility_derivative,OpenStax mathematics/science and Open Logic FR-2,D4,ACCPOP-VIS-INDIA-ATTEND-2011,,,2011,771288,771288,771288,0,,771288,0.25,0.35,0.45,false,false,,unranked_accessibility_evidence_backlog,"retain for exact intersection, baseline, gain, and compute resolution before cardinal ranking",OpenStax notes some audiobook or DAISY availability and forall x uses screen-reader speech through MathJax; coverage and language-specific conventions vary,VIS-INDIA-5-19-2011,After semantic HTML and figure remediation; audio is credited only for residual users for whom audio removes a remaining barrier,ACC-S008;ACC-S009;ACC-S010;ACC-S013;ACC-S014,ACC-S004,Deterministic language-specific symbol and formula narration synchronized with navigable text; diagrams require separate descriptions,mechanism_plausible_language_specific_validation_and_gain_unmeasured,Generic TTS is not a validated mathematics audiobook. Do not add visual disability and low-literacy groups.
ACCEDGE-BRAILLE-EN,AX-BRAILLE-MATH,English mathematical Braille derivative,accessibility_derivative,Selected English OpenStax mathematics/science and Open Logic FR-2,D5,ACCPOP-BRAILLE-NO-DENOMINATOR,,,current,,,,0,,,,,,false,false,,unranked_accessibility_evidence_backlog,"retain for exact intersection, baseline, gain, and compute resolution before cardinal ranking",OpenStax reports selected BRF availability through partners; Open Logic notes Braille-terminal use but no complete technical-Braille coverage audit,BRAILLE-EN-US-CA,Only residual titles and users after exact BRF inventory; do not infer any users from visual-impairment prevalence,ACC-S009;ACC-S012;ACC-S013;ACC-S014,,Source-linked BRF using the jurisdictionally correct UEB technical or UEB-with-Nemeth policy; tactile/diagram alternatives; round-trip formula QA,standard_exists_for_bounded_english_jurisdiction_population_denominator_missing,Not rankable. BANA guidance is limited to US/Canada English and cannot be generalized to India or other language communities.
ACCEDGE-BSL-SIGNED,AX-SIGNED-BSL,Localized British Sign Language instructional video and interactive glossary,signed_language_access,Open Logic FR-2 foundations first; selected foundational OpenStax units only after domain glossary,D5,ACCPOP-BSL-SCOT-2022,,,2022,117250,117300,117349,0,,117349,,,,false,false,,unranked_accessibility_evidence_backlog,"retain for exact intersection, baseline, gain, and compute resolution before cardinal ranking",Written English materials exist and many reported BSL users are second-language users,SIGN-BSL-SCOT-2022,Separate named signed language; no credit outside Scotland cell; deduct English comfort and existing BSL resources if measured,ACC-S008,ACC-S006,Native BSL presentation with captions transcript downloadable low-bandwidth video glossary diagrams and source-aligned segment identifiers,named_ability_cell_but_first_language_and_incremental_access_unmeasured,The census ability total is an especially loose upper ceiling. The around-2600 main-sign-language context is not an exact BSL lower bound.
ACCEDGE-LOGICFIG-VIS-INDIA,AX-FIG-LOGIC,Logic figure and proof-tree remediation,accessibility_derivative,Open Logic FR-2,D3_plus_accessibility,ACCPOP-VIS-INDIA-ATTEND-2011,,,2011,771288,771288,771288,0,,771288,0.05,0.085,0.12,false,false,,unranked_accessibility_evidence_backlog,"retain for exact intersection, baseline, gain, and compute resolution before cardinal ranking",forall x already converts Fitch proofs to navigable tables with hidden subproof structure but its test documentation records screen-reader defects,VIS-INDIA-5-19-2011,After AX-HTML; count only residual proof-structure barriers and never add to AX-FIG-MATH,ACC-S008;ACC-S009;ACC-S014;ACC-S015,ACC-S004,Programmatic proof structure with explicit subproof starts ends indentation rule names symbol pronunciation and linearized fallback,target_mechanism_demonstrated_residual_defects_known_gain_unmeasured,A corpus-specific regression suite is required across NVDA JAWS VoiceOver and relevant browser combinations before conformance claims.
ACCEDGE-MATHFIG-VIS-INDIA,AX-FIG-MATH,Mathematics figure remediation,accessibility_derivative,Selected OpenStax mathematics titles,D3_plus_accessibility,ACCPOP-VIS-INDIA-ATTEND-2011,,,2011,771288,771288,771288,0,,771288,0.10,0.15,0.20,false,false,,unranked_accessibility_evidence_backlog,"retain for exact intersection, baseline, gain, and compute resolution before cardinal ranking",OpenStax reports detailed alternative text for complex mathematical graphics but format and title coverage must be audited,VIS-INDIA-5-19-2011,After AX-HTML; claim only users still blocked by figures and only once across image alt text long descriptions tactile/Braille and audio,ACC-S008;ACC-S009;ACC-S013,ACC-S004,Structured data plus concise alt text and adjacent long descriptions; non-colour-only encodings; downloadable data where meaningful,corpus_mechanism_established_title_coverage_and_gain_unmeasured,Do not treat every person in the source category as a graph-remediation beneficiary.
ACCEDGE-NZSL-SIGNED,AX-SIGNED-NZSL,Localized New Zealand Sign Language instructional video and interactive glossary,signed_language_access,Open Logic FR-2 foundations first; selected foundational OpenStax units only after domain glossary,D5,ACCPOP-NZSL-NZ-2023,,,2023,24676,24678,24680,0,,24680,,,,false,false,,unranked_accessibility_evidence_backlog,"retain for exact intersection, baseline, gain, and compute resolution before cardinal ranking",Written English OpenStax and Open Logic exist; no complete NZSL instructional edition identified in the bounded corpus,SIGN-NZSL-NZ-2023,Separate named signed language; no inter-sign-language coverage; deduct English literacy and any existing NZSL educational product overlap when measured,ACC-S008,ACC-S005,Native NZSL presentation with captions transcript downloadable low-bandwidth video glossary diagrams and source-aligned segment identifiers,named_population_cell_product_mechanism_clear_incremental_gain_unmeasured,All reported NZSL users cannot be treated as newly served or as unable to read English. Translation must be direct to NZSL rather than signed rendering of English word order.
ACCEDGE-OFFLINE-GLOBAL,AX-OFFLINE,Offline HTML EPUB or SCORM package,accessibility_derivative,All selected OpenStax and Open Logic products,D3_plus_delivery,ACCPOP-OFFLINE-GLOBAL-2025,,,2025,2200000000,2200000000,2200000000,0,,2200000000,0.05,0.085,0.12,false,false,,unranked_accessibility_evidence_backlog,"retain for exact intersection, baseline, gain, and compute resolution before cardinal ranking",OpenStax offers free PDFs and online views; forall x offers PDF downloads but an audited dependency-free localized package is not established across the programme,OFFLINE-GLOBAL-2025,Intersect sequentially with one exact language territory learner curriculum and device/storage cell; never add the global total to any language population,ACC-S010;ACC-S013;ACC-S014,ACC-S002,Dependency-free static HTML plus conformant EPUB; local assets search navigation checksums and print profile; no mandatory account analytics CDN font or runtime requests,delivery_mechanism_established_intersection_and_gain_unmeasured,Offline people may lack a compatible device electricity storage or distribution channel. The global estimate is an absolute ceiling only.
ACCEDGE-PDF-VIS-INDIA,AX-PDF,Tagged searchable screen and print PDF,accessibility_derivative,Selected OpenStax and Open Logic titles,D3_plus_accessibility,ACCPOP-VIS-INDIA-ATTEND-2011,,,2011,771288,771288,771288,0,,771288,0.05,0.075,0.10,false,false,,unranked_accessibility_evidence_backlog,"retain for exact intersection, baseline, gain, and compute resolution before cardinal ranking",OpenStax warns that downloadable formats can differ from its online web view; Open Logic accessible HTML is the stronger baseline,VIS-INDIA-5-19-2011,After accessible HTML; count only users requiring the PDF/print axis and not already served by HTML or EPUB,ACC-S008;ACC-S013;ACC-S014,ACC-S004,Tagged reading order bookmarks language metadata embedded fonts searchable text black-and-white print profile and formula alternatives,mechanism_established_exact_title_pdf_audit_pending,A tagged PDF is not automatically equivalent to MathML navigation and must not duplicate HTML users.
ACCEDGE-PLAIN-COG-INDIA,AX-PLAIN,Plain-language companion,accessibility_derivative,Selected foundational OpenStax units and Open Logic FR-2 worked examples,D4,ACCPOP-COG-INDIA-ATTEND-2011,,,2011,257755,257755,257755,0,,257755,0.35,0.475,0.60,false,false,,unranked_accessibility_evidence_backlog,"retain for exact intersection, baseline, gain, and compute resolution before cardinal ranking",No systematic programme-wide plain-language companion identified; source-faithful edition remains the baseline,COG-INDIA-5-19-2011,Credit only an experimentally evidenced residual register-access gain; never count as a second language edition or combine with all disabled low-literacy or L2 readers,ACC-S008;ACC-S011,ACC-S004,Aligned summaries definitions one-idea steps worked examples explicit goals consistent vocabulary and source links; preserve mathematical truth conditions,standards_guidance_present_target_gain_and_curriculum_relevance_unmeasured,The high value is a nested census proxy ceiling not a plain-language audience estimate. The historical source category is not a target definition.
