gross_screen_order_descriptive,intervention_id,intervention_name,target_profile,territory,source_year,population_measure_class,source_population_measure,learner_or_age_stratum,source_population_ceiling,source_population_low,source_population_high,population_source_id,population_source_locator,FR2_D3_base_gross_tokens,gross_ceiling_per_million_base_tokens,within_measure_class_rank_low,within_measure_class_rank_high,cross_measure_rank_status,interpretation
1,NAT-122,Standard Simplified Chinese (Mainland China),zh-Hans-CN,China,2020-11-01,territory_all_residents_ceiling,official_census_mainland_population_gross_territory_ceiling,national written-standard potential population,1411778724,1411778724,1411778724,PM-S022,"Section I Total Population; mainland row 1,411,778,724; note 6",4073049,346614716.396,1,1,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
2,NAT-124,Standard Hindi (India),hi-Deva-IN,India,2011,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,322230097,322230097,322230097,PM-S001,"Statement 1, printed pp. 5-6; same-name mother-tongue component Hindi = 322,230,097",4073049,79112747.477,1,1,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
3,NAT-121,Bahasa Indonesia,id-Latn-ID,Indonesia,2022,functional_language_ability_or_estimate,official_long_form_census_able_to_speak_indonesian_persons_age5plus,population_age_5_plus,248501794,0,248501794,PM-S021,"TOTAL row; 248,501,794 able to speak Indonesian of 253,679,348 persons aged 5+",4073049,61011245.875,1,1,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
4,NAT-001,Bangladesh Bangla,bn-Beng-BD,Bangladesh,2026-03-17 CLDR release; component estimate year not stated,functional_language_ability_or_estimate,derived_cldr_territory_functional_language_users,functional_literate_language_users_L1_or_later_language,165323060,0,165323060,ASSEC-S006,cldr_target_derivations.md row bn-Beng-BD; supplementalData.xml XPath /supplementalData/territoryInfo/territory[@type='BD'] and languagePopulation[@type='bn'],4073049,40589509.235,2,2,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
5,NAT-123,Japanese (Japan),ja-Jpan-JP,Japan,2020-10-01,territory_all_residents_ceiling,official_census_territory_population_gross_ceiling,national written-standard potential population,126146099,126146099,126146099,PM-S023,"Basic Complete Tabulation, Table 1, 2020 exact population 126,146,099",4073049,30970925.957,2,2,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
6,NAT-002,Indian Bengali,bn-Beng-IN,India,2011,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,96177835,96177835,96177835,PM-S001,"Statement 1, printed p. 5; Statement 1 same-name mother-tongue component",4073049,23613228.076,2,2,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
7,NAT-028,Vietnamese,vi-Latn-VN,Vietnam,2016 publication; population estimate vintage not stated,published_or_derived_speaker_estimate,peer_reviewed_published_lower_bound_speakers,Vietnam_total_Vietnamese_speakers_L1_L2_unspecified,89000000,89000000,89000000,ASSEC-S007,PubMed XML PMID 27172848; Abstract/AbstractText[@Label='PURPOSE']; first sentence; DOI 10.3109/17549507.2015.1101162,4073049,21850952.444,1,1,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
8,NAT-006,Marathi,mr-Deva-IN,India,2011,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,82801140,82801140,82801140,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",4073049,20329031.151,3,3,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
9,NAT-003,Telugu,te-Telu-IN,India,2011,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,80912459,80912459,80912459,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",4073049,19865329.143,4,4,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
10,NAT-004,Indian Tamil,ta-Taml-IN,India,2011,same_name_mother_tongue_component,census_same_name_mother_tongue_component_persons,same_name_mother_tongue_component_population,68888839,68888839,68888839,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",4073049,16913334.212,5,5,not_estimated_heterogeneous_population_measures,"Ex-ante gross opportunity screen only; not a harmed-person, comfortable-reader, or forward-commissioning estimate."
