wikimedia_code,wikipedia_articles,wikipedia_activeusers,wikipedia_edits,wikipedia_pages,wikibooks_articles,wikibooks_activeusers,wikibooks_edits,wikibooks_pages,wikiversity_articles,wikiversity_activeusers,wikiversity_edits,wikiversity_pages,wikisource_articles,wikisource_activeusers,wikisource_edits,wikisource_pages,wikipedia_articles_per_active_user,possible_automation_skew,source_date,source_id,source_sha256,limitations
aa,0,1,4694,508,0,1,3424,80,0,0,0,0,0,0,0,0,0.000,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
ab,6731,37,172482,38455,0,0,0,0,0,0,0,0,0,0,0,0,181.919,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
ace,13074,35,158211,28319,0,0,0,0,0,0,0,0,0,0,0,0,373.543,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
ady,647,26,17249,5077,0,0,0,0,0,0,0,0,0,0,0,0,24.885,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
af,130319,274,2950390,442388,34,7,7790,1150,0,0,0,0,0,0,0,0,475.617,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
ak,0,3,29902,1709,0,0,3428,93,0,0,0,0,0,0,0,0,0.000,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
als,31777,93,1084675,75435,0,0,0,0,0,0,0,0,0,0,0,0,341.688,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
alt,1112,16,49277,7323,0,0,0,0,0,0,0,0,0,0,0,0,69.500,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
am,15723,86,394154,46793,0,0,0,0,0,0,0,0,0,0,0,0,182.826,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
ami,1144,19,50621,2232,0,0,0,0,0,0,0,0,0,0,0,0,60.211,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
an,86523,100,2466834,243923,0,0,0,0,0,0,0,0,0,0,0,0,865.230,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
ang,5231,73,230726,22133,153,2,5838,1034,0,0,0,0,1,0,1671,41,71.658,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
ann,438,12,5151,953,0,0,0,0,0,0,0,0,0,0,0,0,36.500,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
anp,1694,19,23109,5327,0,0,0,0,0,0,0,0,0,0,0,0,89.158,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
ar,1329723,5393,76198204,9200765,898,28,227420,48386,909,14,148534,28747,94287,59,618105,290633,246.565,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
arc,1920,22,97631,6363,0,0,0,0,0,0,0,0,0,0,0,0,87.273,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
ary,20338,67,587647,108997,0,0,0,0,0,0,0,0,0,0,0,0,303.552,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
arz,1633311,312,13180980,2259454,0,0,0,0,0,0,0,0,0,0,0,0,5234.971,yes,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
as,25346,133,630349,127116,0,0,3432,72,0,0,0,0,4215,17,258050,92391,190.571,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
ast,139341,182,4515976,249903,5,0,3987,271,0,0,0,0,0,0,0,0,765.610,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
atj,2081,13,17002,3314,0,0,0,0,0,0,0,0,0,0,0,0,160.077,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
av,4015,28,97820,18796,0,0,0,0,0,0,0,0,0,0,0,0,143.393,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
avk,29906,24,147760,36378,0,0,0,0,0,0,0,0,0,0,0,0,1246.083,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
awa,2933,25,34325,7845,0,0,0,0,0,0,0,0,0,0,0,0,117.320,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
ay,5290,27,103109,8999,0,0,6003,46,0,0,0,0,0,0,0,0,195.926,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
az,216744,858,9034894,686543,3442,15,46542,9849,0,0,0,0,11840,39,96876,24943,252.615,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
azb,244808,121,1591996,580666,0,0,0,0,0,0,0,0,0,0,0,0,2023.207,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
ba,64299,83,1302540,185202,1216,4,25245,3589,0,0,0,0,0,0,0,0,774.687,,Mon Aug 24 21:45:18 UTC 2026,ACE-E020,53647853ED8A33C487E9D73FDE1CB698304AE47AAC77A7AA99E92214EEECD2D9,"Project counts measure Wikimedia presence, not advanced mathematics, educational quality, reader access, or language-wide digital resources. Bot-heavy editions can inflate articles."
