stratum_id,barrier_axis,territory,language_or_modality,iso_or_profile,learner_stratum,measure_type,count_unit,population_low,population_base,population_high,range_basis,reference_year,source_id,source_locator,exact_source_observation,denominator_status,rank_ready,marginal_access_low,marginal_access_base,marginal_access_high,marginal_range_status,overlap_group_id,preferred_role,do_not_sum_with,existing_access_overlap,caveats
ACCPOP-VIS-GLOBAL-2026,visual_disability,Global,all languages and modalities,und,all ages,near_or_distance_vision_impairment_lower_bound,persons,2200000000,,,at_least_lower_bound,2026,ACC-S001,Prevalence section,"At least 2.2 billion people have a near or distance vision impairment",context_only_not_product_denominator,false,0,,,unknown_incremental_gain_and_no_finite_global_upper_bound,VIS-GLOBAL-2026,global_context_only,"all national visual-disability cells; Braille; audio; screen-reader cells",unmeasured,"Most are over 50; impairment does not establish screen-reader use Braille literacy student status language or lack of accessible editions."
ACCPOP-VIS-INDIA-ALL-2011,visual_disability,India,source category In seeing,und,all ages,census_disability_in_seeing_persons,persons,5033431,5033431,5033431,exact_census_count,2011,ACC-S003,C-20 India Total row column 4,5033431,gross_barrier_context,false,0,,5033431,zero_to_gross_ceiling_only,VIS-INDIA-2011,context_parent,"ACCPOP-VIS-INDIA-5-19-2011; ACCPOP-VIS-INDIA-ATTEND-2011",unmeasured,"All-age count includes people outside the educational-product learner stratum and does not measure assistive-technology or accessible-format need."
ACCPOP-VIS-INDIA-5-19-2011,visual_disability,India,source category In-Seeing,und,age 5-19,total_disabled_population_by_source_type,persons,1133472,1133472,1133472,exact_census_count,2011,ACC-S004,C-22 India Total In-Seeing age 5-19 row total persons,1133472,gross_education_age_ceiling,false,0,,1133472,zero_to_gross_ceiling_only,VIS-INDIA-5-19-2011,age_specific_parent,ACCPOP-VIS-INDIA-ATTEND-2011,unmeasured,"Includes attending formerly attending and never-attending groups; no causal claim connects nonattendance to inaccessible textbook formats."
ACCPOP-VIS-INDIA-ATTEND-2011,visual_disability,India,source category In-Seeing,und,age 5-19 attending educational institution,attending_educational_institution_persons,persons,771288,771288,771288,exact_census_count,2011,ACC-S004,C-22 India Total In-Seeing age 5-19 row attending persons,771288,nested_current_learner_ceiling,false,0,,771288,zero_to_nested_ceiling_only,VIS-INDIA-5-19-2011,preferred_current_learner_context,"ACCPOP-VIS-INDIA-5-19-2011; all intervention edges in VIS-INDIA-5-19-2011",unmeasured,"Attendance does not imply readiness for tertiary OpenStax or Open Logic content and the count does not partition low vision blindness screen-reader use or Braille literacy."
ACCPOP-COG-INDIA-5-19-2011,cognitive_access_proxy,India,"historical source category Mental retardation",und,age 5-19,total_disabled_population_by_source_type,persons,545847,545847,545847,exact_census_count,2011,ACC-S004,C-22 India Total source-category row age 5-19 total persons,545847,gross_proxy_not_plain_language_denominator,false,0,,545847,zero_to_gross_proxy_ceiling_only,COG-INDIA-5-19-2011,context_parent,ACCPOP-COG-INDIA-ATTEND-2011,unmeasured,"The historical label is transcribed solely for auditability. It is not a modern diagnostic definition and cannot be converted into plain-language users."
ACCPOP-COG-INDIA-ATTEND-2011,cognitive_access_proxy,India,"historical source category Mental retardation",und,age 5-19 attending educational institution,attending_educational_institution_persons,persons,257755,257755,257755,exact_census_count,2011,ACC-S004,C-22 India Total source-category row age 5-19 attending persons,257755,nested_proxy_not_plain_language_denominator,false,0,,257755,zero_to_nested_proxy_ceiling_only,COG-INDIA-5-19-2011,preferred_current_learner_context,"ACCPOP-COG-INDIA-5-19-2011; AX-PLAIN edges",unmeasured,"No evidence identifies which learners would gain comfortable access from a plain-language companion or whether the target curriculum is relevant."
ACCPOP-OFFLINE-GLOBAL-2025,connectivity,Global,all languages,und,all ages,people_remaining_offline_estimate,persons,2200000000,2200000000,2200000000,reported_rounded_point_estimate,2025,ACC-S002,2025 overview,2200000000,gross_connectivity_ceiling_false_precision_guard,false,0,,2200000000,zero_to_global_ceiling_only,OFFLINE-GLOBAL-2025,global_context_only,"every language territory and learner cell; all other delivery-axis interventions",unmeasured,"Must be intersected with exact language territory learner curriculum and device/storage access. Offline people are not necessarily able to use a digital offline package."
ACCPOP-NZSL-NZ-2023,signed_language,New Zealand,New Zealand Sign Language,nzs,persons reporting language spoken,census_languages_spoken_multiple_response_persons,persons,24676,24678,24680,fixed_random_rounding_range_around_reported_24678,2023,ACC-S005,Total New Zealand population 2023 language table,24678,named_signed_language_ability_ceiling,false,0,,24680,zero_to_language_ability_ceiling_only,SIGN-NZSL-NZ-2023,named_national_signed_language_cell,none,English_and_other_languages_unmeasured,"Multiple response language ability is not first-language use and does not show inability to use existing English materials."
ACCPOP-BSL-SCOT-2022,signed_language,Scotland,British Sign Language,bfi,age 3 and over reporting ability to use BSL,self_reported_ability_to_use_persons,persons,117250,117300,117349,nearest_hundred_rounding_range,2022,ACC-S006,British Sign Language section,117300,named_signed_language_ability_ceiling,false,0,,117349,zero_to_language_ability_ceiling_only,SIGN-BSL-SCOT-2022,named_national_territory_signed_language_cell,none,English_and_other_languages_unmeasured,"Ability includes many second-language users. Around 2600 report sign language as main language but not all are BSL users; that contextual value is not used as a lower bound."
ACCPOP-PSL-PERU-2017,signed_language,Peru,Peruvian Sign Language,prl,population age 3 and over reporting language learned in childhood,census_childhood_language_persons,persons,10447,10447,10447,exact_census_count,2017,ACC-S007,Cuadro 4 printed page 618,10447,named_signed_language_childhood_language_ceiling,false,0,,10447,zero_to_childhood_language_ceiling_only,SIGN-PSL-PERU-2017,named_national_signed_language_cell,none,Spanish_and_other_languages_unmeasured,"Narrow childhood-language measure likely differs from total users; it cannot be compared additively with ability measures or assigned to a written Spanish edition."
