concept	chosen_te	TS_evidence	AP_evidence	status	decision
counting / natural numbers	సహజ సంఖ్యలు	TS6-2018 PDF26 printed16 §2.1 N={1,2,3,...}	not acquired	TS verified	Retain source convention beginning at1; other natural-number conventions disclosed separately.
whole numbers	పూర్ణాంకాలు	TS6-2018 PDF26 printed16 §2.2 W={0,1,2,...}	not acquired	TS verified	Singular పూర్ణాంకం; case forms పూర్ణాంకాల/పూర్ణాంకాలను/పూర్ణాంకాల్లో/పూర్ణాంకమా. Supersedes reversed draft.
integers	పూర్ణ సంఖ్యలు	TS6-2018 PDF85 printed75 Z={...,-1,0,1,...}; closed spelling పూర్ణసంఖ్యలు	not acquired	TS verified; house spacing	Do not use the whole-number label for integers. Spacing is editorial, not regional evidence.
number line	సంఖ్యారేఖ	TS6-2018 PDF27 printed17 §2.3 సంఖ్యా రేఖ and running సంఖ్యారేఖ	not acquired	TS verified; house spacing	Consecutive whole-number marks one unit apart in this lesson; do not generalize to arbitrary selected labels.
digit	అంకె	TS-MATH2-2018 PDF42 printed30 table	not acquired	TS verified	Distinguish digit from its position and positional contribution.
place	స్థానం	TS-MATH2-2018 PDF42 printed30 table	not acquired	TS verified	Zero has a position even when its contribution is zero.
place value	స్థాన విలువ	TS-MATH2-2018 PDF42 printed30 table	not acquired	TS verified	Keep digit × place unit explicit.
face value	సహజ విలువ	TS-MATH2-2018 PDF42 printed30 table	not acquired	TS verified	Do not silently substitute a literal-English or unverified regional alternative.
ones	ఒకట్లు	TS-MATH2-2018 PDF32/42 printed20/30	not acquired	TS verified	Use the witnessed plural; positional inflection ఒకట్ల స్థానంలో.
tens	పదులు	TS-MATH2-2018 PDF32/42 printed20/30	not acquired	TS verified	Ten ones regroup as one ten.
hundreds	వందలు	TS-MATH2-2018 PDF42 printed30	not acquired	TS verified	Ten tens regroup as one hundred.
expanded form	విస్తరణ రూపం	TS-MATH2-2018 PDF44 printed32 exercise8	not acquired	TS verified	Show zero terms when they clarify a missing group.
compact form	సంక్షిప్త రూపం	TS-MATH2-2018 PDF44 printed32 exercise9	not acquired	TS verified	Pair expansion with compact numeral in next unit.
origin	మూలబిందువు	selected canon does not attest this label	not acquired	provisional	Define explicitly as point labeled0 and retain English origin; seek specific witness when needed.
coordinate	నిరూపకం	selected canon does not attest this label	not acquired	provisional	One-dimensional number paired with a point, not an ordered pair here; retain English coordinate.
larger / smaller	పెద్ద / చిన్న	TS-MATH2-2018 PDF34 printed22 exercises6–9	not acquired	TS verified	Pairwise comparison differs from largest/smallest; keep inequality direction explicit.
