universe_profile_id,display_name,profile_tag,source_profile_tag,disposition,candidate_id,candidate_target_name,observation_id,join_status,suggestion_status,semantic_join_status,candidate_ready_for_ranking,source_target_mapping_status,denominator_class,source_measure_type,learner_stratum,population_low,population_base,population_high,count_unit,reference_date_or_year,source_id,source_locator,source_url,source_value_status,derivation_method,typed_view_eligibility,source_transcribed_exactly,gross_population_only,source_rank_ready_claim,rank_ready_marginal_access,source_series_id,overlap_group_id,nonadditivity_group_id,nonadditivity_rule,supersedes_observation_ids,population_use,existing_supply_state,next_nonduplicative_action,caveats
GLB-001,Global learned English access baseline,en-Latn; locale outputs required,en-Latn-US,supply_rich_negative_control,,"English-only or very-well English, United States",SUP-002,supplemental_profile_link_context_only,not_applicable,profile_id_explicit_but_not_rank_approved,false,supplement_context_only,functional_language_ability_or_estimate,acs_english_only_or_speaks_english_very_well_age5plus,United States residents age 5+,,292827195,,persons,2024,SUPSRC-US-ACS-S1601-2024,S1601; English only plus non-English home-language population speaking English very well,https://data.census.gov/table/ACSST1Y2024.S1601?g=010XX00US,published_or_exactly_summed_source_cells,sum of mutually exclusive published S1601 strata,context_only,false,true,false,false,EN-US-ACS-2024,EN-US-ACS-2024-ALTERNATIVES,EN-US-ACS-2024-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,gross_or_context_typed_view_only_not_direct_residual_rank,"Very high but licensing, login, accessibility and stage gaps remain.",Audit exact stage/subject/format residuals and keep English overlap out of unique-language reach.,"Global L2/use estimates are not academic-reading comfort and overlap nearly every other profile. Self-rated speaking ability; not reading, academic comfort, or unique educational access. Alternative to SUP-001; never add them."
GLB-001,Global learned English access baseline,en-Latn; locale outputs required,en-Latn-GB-ENG,supply_rich_negative_control,,"English main language or proficient, England",SUP-003,supplemental_profile_link_context_only,not_applicable,profile_id_explicit_but_not_rank_approved,false,supplement_context_only,functional_language_ability_or_estimate,census_main_language_or_speaks_english_well_very_well_age3plus,England residents age 3+,,53667911,,persons,2021,SUPSRC-GB-ONS-TS029-2021,England; English main language plus speaks English well and very well,"https://www.nomisweb.co.uk/api/v01/dataset/NM_2048_1.data.csv?geography=E92000001&c2021_engprf_6=0,1,2,3,4,5&measures=20100",exact_census_cells_summed,"49,652,172 + 2,212,300 + 1,803,439",context_only,false,true,false,false,EN-GB-CENSUS-2021,EN-GB-CENSUS-2021,,no_internal_alternative_row_registered,,gross_or_context_typed_view_only_not_direct_residual_rank,"Very high but licensing, login, accessibility and stage gaps remain.",Audit exact stage/subject/format residuals and keep English overlap out of unique-language reach.,Global L2/use estimates are not academic-reading comfort and overlap nearly every other profile. Speaking proficiency and main language; not an academic-reading measure. Country observation; do not add to a modeled global English total without overlap control.
GLB-001,Global learned English access baseline,en-Latn; locale outputs required,en-Latn-US,supply_rich_negative_control,,"English at home, United States",SUP-001,supplemental_profile_link_context_only,not_applicable,profile_id_explicit_but_not_rank_approved,false,supplement_context_only,home_or_usual_language_use,acs_speak_only_english_at_home_age5plus,United States residents age 5+,,247695110,,persons,2024,SUPSRC-US-ACS-S1601-2024,"S1601, United States, population age 5+, Speak only English",https://data.census.gov/table/ACSST1Y2024.S1601?g=010XX00US,published_estimate,none,context_only,true,true,false,false,EN-US-ACS-2024,EN-US-ACS-2024-ALTERNATIVES,EN-US-ACS-2024-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,gross_or_context_typed_view_only_not_direct_residual_rank,"Very high but licensing, login, accessibility and stage gaps remain.",Audit exact stage/subject/format residuals and keep English overlap out of unique-language reach.,"Global L2/use estimates are not academic-reading comfort and overlap nearly every other profile. Sampling estimate; not L1, literacy, academic comfort, or unique access. Negative-control context for existing English supply."
GLB-002,"Standard Written Chinese, Mainland Simplified",zh-Hans-CN,Hans,forward_residual_audit,NAT-122,Mainland Simplified Chinese,POP-CN-001,machine_strong_join_suggestion_pending_semantic_audit,strong_join_suggestion,not_audited_machine_suggestion,false,territory_ceiling_with_independent_zh_Hans_CN_written_standard_mapping,territory_all_residents_ceiling,official_census_mainland_population_gross_territory_ceiling,national written-standard potential population,1411778724,1411778724,1411778724,persons,2020-11-01,PM-S022,"Section I Total Population; mainland row 1,411,778,724; note 6",,source_observation_transcribed_exactly,,context_only_pending_semantic_join_audit,true,true,false,false,CN-MAINLAND-2020-TOTAL,CN-MAINLAND-2020-TOTAL,CN-MAINLAND-2020-TOTAL,never_sum_rows_sharing_overlap_group_id,,gross_or_context_typed_view_only_not_direct_residual_rank,Large national supply; exact OLP and algebra corpus complete; accessibility/frontier residuals remain.,"Finish registered partial works and commission only exact open, accessible, professional or frontier gaps.","Territory, Putonghua communication and simplified-character use are different universes; not spoken-Sinitic mutual intelligibility. Total mainland population is not an exact zh-Hans-CN comfort count. MOE reports Putonghua prevalence 80.72% and standardized-character use above 95% among literate people, with substantial regional disparity. Downstream practical-access and academic-nonoverlap sensitivities remain mandatory."
GLB-003,"Standard Written Chinese, Taiwan Traditional",zh-Hant-TW,zh-Hant-TW,forward_residual_audit,,"Guoyu first learned, Taiwan",SUP-005,supplemental_profile_link_context_only,not_applicable,profile_id_explicit_but_not_rank_approved,false,supplement_context_only,first_learned_language_derived_from_percentage,census_first_learned_guoyu_share,Taiwan resident nationals age 6+,8790849,8801742,8812635,persons,2020,SUPSRC-TW-DGBAS-CENSUS-2020,"40.4% first learned Guoyu; age 6+ census universe 21,786,490",https://ws.dgbas.gov.tw/001/Upload/463/relfile/11064/230649/0b703c3e-23af-471f-a1f6-555315ca0ce2.pdf,derived_from_published_rounded_percentage,"21,786,490 × 40.4%; bounds use 40.35%–40.45%",typed_first_learned_view,false,true,false,false,ZH-HANT-TW-2020,ZH-HANT-TW-2020-ALTERNATIVES,ZH-HANT-TW-2020-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,gross_or_context_typed_view_only_not_direct_residual_rank,Strong local supply; exact open/accessibility/frontier inventory pending.,Audit exact residual and reuse semantic source with a Taiwan locale layer.,Taiwan Guoyu and traditional-character literacy are not mainland Hans reach. Bounds reflect only rounding of 40.4% to the nearest 0.1 percentage point; source nonresponse/model uncertainty is not quantified. First-learned Guoyu is not total Guoyu use or literacy in traditional characters.
GLB-003,"Standard Written Chinese, Taiwan Traditional",zh-Hant-TW,zh-Hant-TW,forward_residual_audit,,"Guoyu primary-or-secondary use, Taiwan",SUP-006,supplemental_profile_link_context_only,not_applicable,profile_id_explicit_but_not_rank_approved,false,supplement_context_only,functional_language_ability_or_estimate,census_primary_or_secondary_guoyu_use_share,Taiwan resident nationals age 6+,21078430,21089322,21100215,persons,2020,SUPSRC-TW-DGBAS-CENSUS-2020,"96.8% primary-or-secondary Guoyu use; age 6+ census universe 21,786,490",https://ws.dgbas.gov.tw/001/Upload/463/relfile/11064/230649/0b703c3e-23af-471f-a1f6-555315ca0ce2.pdf,derived_from_published_rounded_percentage,"21,786,490 × 96.8%; bounds use 96.75%–96.85%",typed_functional_use_view,false,true,false,false,ZH-HANT-TW-2020,ZH-HANT-TW-2020-ALTERNATIVES,ZH-HANT-TW-2020-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,gross_or_context_typed_view_only_not_direct_residual_rank,Strong local supply; exact open/accessibility/frontier inventory pending.,Audit exact residual and reuse semantic source with a Taiwan locale layer.,Taiwan Guoyu and traditional-character literacy are not mainland Hans reach. Bounds reflect percentage rounding only; use does not establish reading comfort or unique access. Alternative to SUP-004 and SUP-005; never add them.
GLB-003,"Standard Written Chinese, Taiwan Traditional",zh-Hant-TW,zh-Hant-TW,forward_residual_audit,,Taiwan resident nationals age 6+,SUP-004,supplemental_profile_link_context_only,not_applicable,profile_id_explicit_but_not_rank_approved,false,supplement_context_only,territory_age_restricted_ceiling,census_resident_nationals_age6plus,Taiwan resident nationals age 6+,,21786490,,persons,2020,SUPSRC-TW-DGBAS-CENSUS-2020,"language-use tables, resident nationals age 6+ universe",https://ws.dgbas.gov.tw/001/Upload/463/relfile/11064/230649/0b703c3e-23af-471f-a1f6-555315ca0ce2.pdf,published_census_universe,none,context_only,true,true,false,false,ZH-HANT-TW-2020,ZH-HANT-TW-2020-ALTERNATIVES,ZH-HANT-TW-2020-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,gross_or_context_typed_view_only_not_direct_residual_rank,Strong local supply; exact open/accessibility/frontier inventory pending.,Audit exact residual and reuse semantic source with a Taiwan locale layer.,"Taiwan Guoyu and traditional-character literacy are not mainland Hans reach. Territory/age universe, not a Guoyu or traditional-character comfort count. Hard ceiling for the two derived percentage observations below."
GLB-004,Wu varieties and written-access profiles,wuu-Hans-CN; exact variety outputs unresolved,,unresolved_no_comparable_count,,,,no_current_candidate_profile,not_applicable,not_applicable,false,not_applicable,,,,,,,not_applicable,,,,,,,,,,not_applicable,false,,,,not_applicable,,unresolved_no_current_population_join,Mainstream schooling uses Standard Written Chinese; vernacular supply unresolved.,"Resolve exact varieties, modality and product need before any rank.",Standard Written Chinese schooling does not make spoken Wu identical to Mandarin or prove vernacular written demand.
GLB-005,Yue/Cantonese written and spoken profiles,yue-Hant-HK; yue-Hans-CN; locale outputs,yue-Hant-HK spoken profile,unresolved_no_comparable_count,,"Cantonese spoken ability, Hong Kong",SUP-036,supplemental_profile_link_context_only,not_applicable,profile_id_explicit_but_not_rank_approved,false,supplement_context_only,functional_language_ability_or_estimate,census_cantonese_usual_or_other_spoken_language_age5plus,Hong Kong residents age 5+,6726872,6730463,6734054,persons,2021,SUPSRC-HK-CENSUS-2021,"Table 3.12: 93.7%; Table 8.4: 7,182,991 residents age 5+",https://www.censtatd.gov.hk/en/data/stat_report/product/B1120109/att/B11201092021XXXXB0100.pdf,derived_from_published_rounded_percentage,"7,182,991 × 93.7%; bounds use 93.65%–93.75%",typed_functional_use_view,false,true,false,false,YUE-HK-2021,YUE-HK-2021-ALTERNATIVES,YUE-HK-2021-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,gross_or_context_typed_view_only_not_direct_residual_rank,Strong Hong Kong and Guangdong supply but reuse/licensing/access gaps unquantified.,Build separate HK/Guangdong profile inventory before commissioning.,Formal written Chinese and written vernacular Cantonese are not the same target. Bounds reflect percentage rounding only; spoken ability is not written vernacular Cantonese or academic-register comfort. Alternative to SUP-035; never add them. Guangdong/Hans and Hong Kong/Hant profiles remain separate.
GLB-005,Yue/Cantonese written and spoken profiles,yue-Hant-HK; yue-Hans-CN; locale outputs,yue-Hant-HK spoken profile,unresolved_no_comparable_count,,"Cantonese usual spoken language, Hong Kong",SUP-035,supplemental_profile_link_context_only,not_applicable,profile_id_explicit_but_not_rank_approved,false,supplement_context_only,home_or_usual_language_use,census_cantonese_usual_spoken_language_age5plus,Hong Kong residents age 5+,6331807,6335398,6338989,persons,2021,SUPSRC-HK-CENSUS-2021,"Table 3.12: 88.2%; Table 8.4: 7,182,991 residents age 5+",https://www.censtatd.gov.hk/en/data/stat_report/product/B1120109/att/B11201092021XXXXB0100.pdf,derived_from_published_rounded_percentage,"7,182,991 × 88.2%; bounds use 88.15%–88.25%",typed_home_language_view,false,true,false,false,YUE-HK-2021,YUE-HK-2021-ALTERNATIVES,YUE-HK-2021-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,gross_or_context_typed_view_only_not_direct_residual_rank,Strong Hong Kong and Guangdong supply but reuse/licensing/access gaps unquantified.,Build separate HK/Guangdong profile inventory before commissioning.,"Formal written Chinese and written vernacular Cantonese are not the same target. Bounds reflect only rounding of 88.2% to the nearest 0.1 percentage point; this is spoken use, not written vernacular Cantonese readership. Do not treat ability to read standard written Chinese as evidence of ability or demand for written vernacular Cantonese."
