universe_profile_id,recall_code,display_name,profile_tag,profile_kind,region,threshold_band,denominator_classes_available,candidate_ids,disposition,disposition_basis,source_basis,population_identity_warning,existing_supply_state,next_nonduplicative_action
GLB-001,en,Global learned English access baseline,en-Latn; locale outputs required,learned_lingua_franca,Global,>=1B functional ceiling,L1;home;functional;territory,,supply_rich_negative_control,"Explicitly enumerate English; residual is academic comfort, plain language, bilingual access, offline and accessibility rather than generic translation.",US ACS 2024; England Census 2021; British Council global estimate as diagnostic only,Global L2/use estimates are not academic-reading comfort and overlap nearly every other profile.,"Very high but licensing, login, accessibility and stage gaps remain.",Audit exact stage/subject/format residuals and keep English overlap out of unique-language reach.
GLB-002,zh,"Standard Written Chinese, Mainland Simplified",zh-Hans-CN,learned_written_standard,Eastern Asia,>=1B territory; >=1B derived functional sensitivity,territory;functional,NAT-122,forward_residual_audit,Equal-basis profile with completed exact corpora subtracted only in forward allocation.,PRC 2020 census; MOE 2020 Putonghua 80.72%; MOE standardized-character evidence,"Territory, Putonghua communication and simplified-character use are different universes; not spoken-Sinitic mutual intelligibility.",Large national supply; exact OLP and algebra corpus complete; accessibility/frontier residuals remain.,"Finish registered partial works and commission only exact open, accessible, professional or frontier gaps."
GLB-003,zh,"Standard Written Chinese, Taiwan Traditional",zh-Hant-TW,pluricentric_written_standard,Eastern Asia,regional constituent,first-learned;main-use;functional,,forward_residual_audit,Traditional-script locale must be explicit and cannot inherit mainland population or terminology.,Taiwan 2020 census Guoyu first-learned/current-use tables,Taiwan Guoyu and traditional-character literacy are not mainland Hans reach.,Strong local supply; exact open/accessibility/frontier inventory pending.,Audit exact residual and reuse semantic source with a Taiwan locale layer.
GLB-004,wuu,Wu varieties and written-access profiles,wuu-Hans-CN; exact variety outputs unresolved,macrolanguage_resolution,Eastern Asia,>=50M recall,functional estimate only,,unresolved_no_comparable_count,Large Sinitic recall case; one academic written Wu profile and comfortable-reader population are not established.,Pinned CLDR recall; Chinese dialectology/standard-language evidence required,Standard Written Chinese schooling does not make spoken Wu identical to Mandarin or prove vernacular written demand.,Mainstream schooling uses Standard Written Chinese; vernacular supply unresolved.,"Resolve exact varieties, modality and product need before any rank."
GLB-005,yue,Yue/Cantonese written and spoken profiles,yue-Hant-HK; yue-Hans-CN; locale outputs,language_register_split,Eastern Asia,>=50M recall,home;functional,,unresolved_no_comparable_count,Large directed spoken/written profile requiring Hans/Hant and vernacular/formal separation.,Pinned CLDR recall; Hong Kong 2021 census Putonghua/Cantonese language tables,Formal written Chinese and written vernacular Cantonese are not the same target.,Strong Hong Kong and Guangdong supply but reuse/licensing/access gaps unquantified.,Build separate HK/Guangdong profile inventory before commissioning.
GLB-006,hsn,Xiang varieties,hsn-Hans-CN; exact standard unresolved,macrolanguage_resolution,Eastern Asia,40-50M watch,functional estimate only,,unresolved_no_comparable_count,Watch-band Sinitic population with no validated single academic written target.,Pinned CLDR recall,Do not substitute the Sinitic family or mainland population.,Standard Written Chinese school supply exists; vernacular residual unknown.,"Resolve exact community, written modality and incremental use."
GLB-007,hi,"Standard Hindi, India",hi-Deva-IN,standard_variety,South Asia,>=250M exact same-name L1,L1;functional umbrella,NAT-124,forward_residual_audit,"Use 322,230,097 same-name C-16 component, never the 528M Hindi umbrella as Standard Hindi.",India C-16/C-17,Bhojpuri and other named returns are nested in the census Hindi umbrella.,Strong school supply and exact formal-reasoning edition; higher/professional gaps remain.,"Commission exact bilingual tertiary, research-method, professional and accessibility residuals."
GLB-008,ur,"Urdu, Pakistan",ur-Aran-PK,national_standard,South Asia,>=50M functional/bridge recall,L1;territory;functional unresolved,NAT-012,ranked_in_typed_view,Exact Pakistan L1 cell and separate national-bridge sensitivity.,Pakistan 2023 Census Table 11,National status is not universal comfortable Nastaliq readership.,School and media supply exists; advanced open sequence unresolved.,Audit secondary-to-tertiary and professional gaps with offline Nastaliq rendering.
GLB-009,ur,"Urdu, India",ur-Aran-IN,regional_standard,South Asia,>=50M exact L1,L1;functional,NAT-013,ranked_in_typed_view,Separate India curriculum and population cell with shared Hindi-Urdu source tooling.,India C-16/C-17,Do not merge with Pakistan Urdu or Standard Hindi readership.,Supply varies by state and stage.,Audit exact state/stage open supply and terminology transitions.
GLB-010,bn,"Bangla, Bangladesh",bn-Beng-BD,national_standard,South Asia,>=150M,territory;derived L1,NAT-001,ranked_in_typed_view,Use official territory and survey-derived L1 in their own views; replace stale CLDR point.,Bangladesh PHC 2022; SEDS 2023,Derived L1 is not an exact census language count; Bangladesh and India need separate overlays.,Current NCTB supply; foundational mastery and continuity gaps documented.,"Prioritize ECE/grades 2-5 recovery, emergency continuity, then TVET/applied pathways."
