supplement_id,universe_profile_id,display_name,profile_tag,denominator_class,measure_type,learner_stratum,count_unit,population_low,population_base,population_high,reference_date_or_year,source_id,source_authority,source_url,source_locator,source_value_status,derivation_method,source_transcribed_exactly,source_series_id,overlap_group_id,nonadditivity_group_id,nonadditivity_rule,supersedes_observation_ids,typed_view_eligibility,population_use,rank_ready_marginal_access,uncertainty,notes
SUP-001,GLB-001,"English at home, United States",en-Latn-US,home_or_usual_language_use,acs_speak_only_english_at_home_age5plus,United States residents age 5+,persons,,247695110,,2024,SUPSRC-US-ACS-S1601-2024,"United States Census Bureau, ACS 1-year S1601",https://data.census.gov/table/ACSST1Y2024.S1601?g=010XX00US,"S1601, United States, population age 5+, Speak only English",published_estimate,none,true,EN-US-ACS-2024,EN-US-ACS-2024-ALTERNATIVES,EN-US-ACS-2024-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,"Sampling estimate; not L1, literacy, academic comfort, or unique access.",Negative-control context for existing English supply.
SUP-002,GLB-001,"English-only or very-well English, United States",en-Latn-US,functional_language_ability_or_estimate,acs_english_only_or_speaks_english_very_well_age5plus,United States residents age 5+,persons,,292827195,,2024,SUPSRC-US-ACS-S1601-2024,"United States Census Bureau, ACS 1-year S1601",https://data.census.gov/table/ACSST1Y2024.S1601?g=010XX00US,S1601; English only plus non-English home-language population speaking English very well,published_or_exactly_summed_source_cells,sum of mutually exclusive published S1601 strata,false,EN-US-ACS-2024,EN-US-ACS-2024-ALTERNATIVES,EN-US-ACS-2024-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,"Self-rated speaking ability; not reading, academic comfort, or unique educational access.",Alternative to SUP-001; never add them.
SUP-003,GLB-001,"English main language or proficient, England",en-Latn-GB-ENG,functional_language_ability_or_estimate,census_main_language_or_speaks_english_well_very_well_age3plus,England residents age 3+,persons,,53667911,,2021,SUPSRC-GB-ONS-TS029-2021,"Office for National Statistics via Nomis, Census 2021 TS029","https://www.nomisweb.co.uk/api/v01/dataset/NM_2048_1.data.csv?geography=E92000001&c2021_engprf_6=0,1,2,3,4,5&measures=20100",England; English main language plus speaks English well and very well,exact_census_cells_summed,"49,652,172 + 2,212,300 + 1,803,439",false,EN-GB-CENSUS-2021,EN-GB-CENSUS-2021,,no_internal_alternative_row_registered,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,Speaking proficiency and main language; not an academic-reading measure.,Country observation; do not add to a modeled global English total without overlap control.
SUP-004,GLB-003,Taiwan resident nationals age 6+,zh-Hant-TW,territory_age_restricted_ceiling,census_resident_nationals_age6plus,Taiwan resident nationals age 6+,persons,,21786490,,2020,SUPSRC-TW-DGBAS-CENSUS-2020,"Taiwan Directorate-General of Budget, Accounting and Statistics, 2020 Census",https://ws.dgbas.gov.tw/001/Upload/463/relfile/11064/230649/0b703c3e-23af-471f-a1f6-555315ca0ce2.pdf,"language-use tables, resident nationals age 6+ universe",published_census_universe,none,true,ZH-HANT-TW-2020,ZH-HANT-TW-2020-ALTERNATIVES,ZH-HANT-TW-2020-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,"Territory/age universe, not a Guoyu or traditional-character comfort count.",Hard ceiling for the two derived percentage observations below.
SUP-005,GLB-003,"Guoyu first learned, Taiwan",zh-Hant-TW,first_learned_language_derived_from_percentage,census_first_learned_guoyu_share,Taiwan resident nationals age 6+,persons,8790849,8801742,8812635,2020,SUPSRC-TW-DGBAS-CENSUS-2020,"Taiwan Directorate-General of Budget, Accounting and Statistics, 2020 Census",https://ws.dgbas.gov.tw/001/Upload/463/relfile/11064/230649/0b703c3e-23af-471f-a1f6-555315ca0ce2.pdf,"40.4% first learned Guoyu; age 6+ census universe 21,786,490",derived_from_published_rounded_percentage,"21,786,490 × 40.4%; bounds use 40.35%–40.45%",false,ZH-HANT-TW-2020,ZH-HANT-TW-2020-ALTERNATIVES,ZH-HANT-TW-2020-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,typed_first_learned_view,gross_or_context_typed_view_only_not_direct_residual_rank,false,Bounds reflect only rounding of 40.4% to the nearest 0.1 percentage point; source nonresponse/model uncertainty is not quantified.,First-learned Guoyu is not total Guoyu use or literacy in traditional characters.
SUP-006,GLB-003,"Guoyu primary-or-secondary use, Taiwan",zh-Hant-TW,functional_language_ability_or_estimate,census_primary_or_secondary_guoyu_use_share,Taiwan resident nationals age 6+,persons,21078430,21089322,21100215,2020,SUPSRC-TW-DGBAS-CENSUS-2020,"Taiwan Directorate-General of Budget, Accounting and Statistics, 2020 Census",https://ws.dgbas.gov.tw/001/Upload/463/relfile/11064/230649/0b703c3e-23af-471f-a1f6-555315ca0ce2.pdf,"96.8% primary-or-secondary Guoyu use; age 6+ census universe 21,786,490",derived_from_published_rounded_percentage,"21,786,490 × 96.8%; bounds use 96.75%–96.85%",false,ZH-HANT-TW-2020,ZH-HANT-TW-2020-ALTERNATIVES,ZH-HANT-TW-2020-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,typed_functional_use_view,gross_or_context_typed_view_only_not_direct_residual_rank,false,Bounds reflect percentage rounding only; use does not establish reading comfort or unique access.,Alternative to SUP-004 and SUP-005; never add them.
SUP-035,GLB-005,"Cantonese usual spoken language, Hong Kong",yue-Hant-HK spoken profile,home_or_usual_language_use,census_cantonese_usual_spoken_language_age5plus,Hong Kong residents age 5+,persons,6331807,6335398,6338989,2021,SUPSRC-HK-CENSUS-2021,"Hong Kong Census and Statistics Department, 2021 Population Census",https://www.censtatd.gov.hk/en/data/stat_report/product/B1120109/att/B11201092021XXXXB0100.pdf,"Table 3.12: 88.2%; Table 8.4: 7,182,991 residents age 5+",derived_from_published_rounded_percentage,"7,182,991 × 88.2%; bounds use 88.15%–88.25%",false,YUE-HK-2021,YUE-HK-2021-ALTERNATIVES,YUE-HK-2021-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,typed_home_language_view,gross_or_context_typed_view_only_not_direct_residual_rank,false,"Bounds reflect only rounding of 88.2% to the nearest 0.1 percentage point; this is spoken use, not written vernacular Cantonese readership.",Do not treat ability to read standard written Chinese as evidence of ability or demand for written vernacular Cantonese.
SUP-036,GLB-005,"Cantonese spoken ability, Hong Kong",yue-Hant-HK spoken profile,functional_language_ability_or_estimate,census_cantonese_usual_or_other_spoken_language_age5plus,Hong Kong residents age 5+,persons,6726872,6730463,6734054,2021,SUPSRC-HK-CENSUS-2021,"Hong Kong Census and Statistics Department, 2021 Population Census",https://www.censtatd.gov.hk/en/data/stat_report/product/B1120109/att/B11201092021XXXXB0100.pdf,"Table 3.12: 93.7%; Table 8.4: 7,182,991 residents age 5+",derived_from_published_rounded_percentage,"7,182,991 × 93.7%; bounds use 93.65%–93.75%",false,YUE-HK-2021,YUE-HK-2021-ALTERNATIVES,YUE-HK-2021-ALTERNATIVES,never_sum_rows_sharing_overlap_group_id,,typed_functional_use_view,gross_or_context_typed_view_only_not_direct_residual_rank,false,Bounds reflect percentage rounding only; spoken ability is not written vernacular Cantonese or academic-register comfort.,Alternative to SUP-035; never add them. Guangdong/Hans and Hong Kong/Hant profiles remain separate.
SUP-039,GLB-010,"Bangla mother-tongue population, Bangladesh",bn-Beng-BD; source variety not stated,mother_tongue_or_first_language,derived_official_survey_share_times_official_adjusted_population,Bangladesh residents represented by the official 2023 SEDS mother-tongue estimate,persons,168410840,168419331,168427822,2022 population / 2023 survey,SUPSRC-BD-BBS-PHC2022-SEDS2023,"Bangladesh Bureau of Statistics, Population and Housing Census 2022 and SEDS 2023",https://bbs.portal.gov.bd/pages/static-pages/6922e073933eb65569e27220,"SEDS 2023 Table 3.6, printed p. 66: Bangla mother tongue 99.17%; PHC 2022 National Report Volume I Table 3.1.3, printed p. 43: adjusted population 169,828,911",derived_cross_source_from_official_percentage_and_population,"round(169,828,911 × 99.17%); bounds use 99.165%–99.175% with integer endpoints",false,BD-BBS-PHC2022-SEDS2023,BD-BBS-PHC2022-SEDS2023,,no_internal_alternative_row_registered,ASSEC-BD-BN-001,typed_derived_l1_view,gross_or_context_typed_view_only_not_direct_residual_rank,false,Rounding interval reflects only the published 99.17% to two decimal places; the survey does not print a weighted-person denominator and names all non-Bangla mother tongues only as Other.,"Official replacement for the provisional CLDR functional-language estimate; it remains a gross L1 context, not written academic comfort or unique marginal access."
SUP-008,GLB-024,"Spanish native-domain group, global model",es; locale outputs required,published_or_derived_speaker_estimate,instituto_cervantes_grupo_dominio_nativo,Modeled global native-domain group,persons,,519115258,,2025,SUPSRC-ES-CERVANTES-2025,"Instituto Cervantes, El español en el mundo 2025",https://cvc.cervantes.es/lengua/anuario/anuario_25/el_espanol_en_el_mundo_anuario_instituto_cervantes_2025.pdf,"Table 4, p. 67; Grupo de Dominio Nativo (GDN)",published_institutional_model,none,true,ES-CERVANTES-2025,ES-GLOBAL-US-NONADDITIVE,ES-GLOBAL-US-NONADDITIVE,never_sum_rows_sharing_overlap_group_id,,context_only,gross_or_context_typed_view_only_not_direct_residual_rank,false,Not a synchronized global census; not locale-specific and not an underserved-reader count.,Negative-control gross context. Do not add GCL or learners to this row unless reproducing the report's total model.
