architecture_id,display_name,mechanism_class,named_outputs,diagnostic_universe,threshold_band,direct_reader_reach_status,compute_reuse_status,candidate_ids,evidence_basis,mandatory_exclusions,next_measurement
ARCH-001,Standard Written Chinese localized package,learned_written_standard,zh-Hans-CN; zh-Hant-TW; zh-Hant-HK; zh-Hant-MO; zh-Hans-SG; optional zh-Hans-MY,Mainland territory >1.4B plus separate locale cells,>=1B,No blanket spoken-Sinitic reach; named written-standard outputs only,Very high semantic/toolchain reuse,NAT-122,PRC law/MOE; Taiwan/HK census; Unicode regional variation,"Wu, Yue vernacular, Taigi, Hakka and other Sinitic products remain separate",Measure locale-specific source/QA token reuse and written academic comfort
ARCH-002,South Asian multilingual production system,parallel_semantic_core_compute_only,separate India/Pakistan/Bangladesh language-script outputs,>1.35B current disjoint planning envelope,>=1B,Zero direct reader reach of the core,Potentially very high shared formula/semantic/accessibility QA reuse,,Official India/Pakistan/Bangladesh population audits,No pan-South-Asian reader surface or genealogy multiplier,"Measure core, locale, script and QA tokens per named output"
ARCH-003,Global English overlap/accessibility baseline,learned_lingua_franca,plain English; locale overlays; bilingual glossaries,>2B institutional first/additional-language diagnostic,>=1B,Unmeasured academic comfort; never unique reach by default,High source reuse and accessibility leverage,,British Council diagnostic; national census cells,Does not replace local-language editions,Measure stage/subject comfort and exact plain/offline access gain
ARCH-004,Arabic MSA plus spoken-language scaffolds,learned_written_standard,arb written core plus Egyptian/Levantine/Iraqi/Gulf/Maghrebi/Yemeni/Sudanese/Hassaniya layers,400-450M umbrella diagnostic,>=250M,Named outputs only; MSA not L1,High formal-core and RTL reuse,IL-AR,UNESCO/UN; World Bank diglossia literature,Non-Arabic L1 communities and dialect comfort remain separate,Measure local oral scaffold effect by stage/task
ARCH-005,Romance localized/intercomprehension core,natural_intercomprehension_and_pluricentric_reuse,Spanish; Portuguese; French; optional research bridge,Nonadditive >1B headline speaker estimates,>=250M,Only directed written comprehension receives reach,High terminology/source reuse,IL-ROM,Spanish-Portuguese directed studies; MICReLa,No one pan-Romance replacement or summed audience,Measure mathematical expert/novice written comprehension and locale token reuse
ARCH-006,Hindi-Urdu two-script core,pluricentric_shared_core,hi-Deva-IN; ur-Aran-IN; ur-Aran-PK,"395,205,166 exact named L1 cells",>=250M,No demonstrated untrained academic-text cross-script reach,High semantic/formula reuse,IL-HU;NAT-124;NAT-012;NAT-013,India/Pakistan censuses; ACL transfer evidence,Hindi umbrella subsidiaries remain separate,Measure transliteration/locale QA and directed educational comprehension
ARCH-007,Indonesian-Malaysian Malay package,pluricentric_shared_core,id-Latn-ID; ms-Latn-MY; Brunei/Jawi named derivatives,~274M functional diagnostic; ~319M territory ceiling,>=250M,Only each named locale population receives direct reach,Very high MABBIM/terminology reuse,IL-IDMS;NAT-121;NAT-040,BPS; MABBIM; current Indonesian completion receipts,"Javanese, Sundanese, Madurese and other languages excluded",Measure Malaysian/Bruneian locale delta after completed Indonesian source
ARCH-008,Bangla Bangladesh-India shared core,pluricentric_shared_core,bn-Beng-BD; bn-Beng-IN,~264.6M L1 diagnostic,>=250M,Two distinct locale outputs,High same-script semantic reuse,NAT-001;NAT-002,Bangladesh PHC/SEDS; India C-16/C-17,No locale-neutral curriculum or professional overlay,Measure source reuse and locale-specific terminology/examples
ARCH-009,Russian learned-standard overlap,learned_lingua_franca,ru-Cyrl locale/localization outputs,>250M institutional diagnostic,>=250M,Unique residual unmeasured,High source/localization reuse,,Rosstat; UNESCO diagnostic,No blanket ex-Soviet/Indigenous/displaced coverage,Measure academic comfort and local-language nonoverlap
ARCH-010,Standard Kiswahili country package,learned_lingua_franca,swh-TZ; swh-KE; swh-UG; swc-CD regional outputs,>200M institutional diagnostic,>=100M,Named country/variety outputs only,High standard-core reuse,NAT-063;NAT-064,UNESCO/AU; country censuses; EAKC,DRC varieties and non-Swahili L1 communities remain,Measure country-layer delta and written comfort
ARCH-011,Dravidian parallel pipeline,parallel_semantic_core_compute_only,te; ta-IN/ta-LK; kn; ml outputs,"228,084,103 exact Indian L1 components before Sri Lanka",>=100M,Zero core reach,"Shared formula, layout and QA only unless measured",NAT-003;NAT-004;NAT-005;NAT-008;NAT-009,India C-16/C-17; Sri Lanka census,Genealogy supplies no comprehension multiplier,Measure actual reused tokens across named scripts/outputs
ARCH-012,Slavic/Interslavic supplementary bridge,constructed_bridge,dual-script Interslavic plus native outputs,~266-320M family ceiling,>=250M,Current short-task evidence is not demographic reach,Terminology/semantic reuse plausible,IL-ISV,Interslavic seven-gap study,Russian/Ukrainian bias and communities not tested remain explicit,"Test mathematics by expertise, script and task; measure production reuse"
ARCH-013,Turkic branch production,parallel_semantic_core_and_constructed_hypothesis,"Oghuz, Kipchak, Karluk named outputs",~200M family; Oghuz ~110-120M,>=100M,No pan-Turkic direct reach,Branch terminology/model reuse plausible,IL-TURKIC,Directed Turkish-Azerbaijani evidence; regional population sources,No family-wide standard or comprehension,Measure per-branch reuse and directed text comprehension
ARCH-014,Persian-Dari-Tajik core,pluricentric_shared_core,fa-IR; prs-AF; tg-Cyrl-TJ,~102M functional diagnostic; ~147M territory ceiling,>=100M,Named outputs only,High semantic reuse with script/locale deltas,IL-PDT;NAT-058;NAT-049,National/diagnostic sources,No one script/register or additive comfort count,Resolve exact counts and measure script/terminology delta
ARCH-015,Punjabi dual-script core,dual_script_register,pa-Guru-IN; pa-Arab-PK,"120,059,639 exact source-labelled L1 cells",>=100M,Separate scripts/locale reach only,High semantic and transliteration assistance,IL-PUNJABI;NAT-014;NAT-015,India/Pakistan censuses; COLING transliteration study,Pakistan variety identity and cross-script literacy unresolved,Resolve Pakistan profile and measure post-edit/QA cost
ARCH-016,Hausa country/orthography package,learned_lingua_franca_shared_core,ha-Latn-NG; ha-Latn-NE; optional established Ajami layers,Cross-border >=100M plausible but unverified,80-100M watch / unresolved,No bankable cross-border written reach,Strong shared-source potential,NAT-069,Hausa scholarship; Nigeria/Niger orthography evidence,No universal Ajami or territory-wide reach,Obtain compatible population/literacy evidence and measure country delta
