candidate_id,existing_intervention_id,observation_id,region,subregion,target_name,resolved_edition_name,language_subtag,script_subtag,region_subtag,target_profile,territory,population_low,population_base,population_high,population_interval_status,count_unit,population_measure,population_reference_year,population_source_id,population_source_locator,profile_source_ids,population_profile_fit,overlap_group_id,additivity_rule,existing_score_overlap_status,negative_control_status,gross_rankability,marginal_rankability,population_confidence,profile_confidence,combined_confidence,priority_basis,uncertainty
EXP-001,NAT-016,ASSEC-AF-PS-001,Asia,South Asia,Afghan Pashto,Afghanistan Pashto Arabic-script edition,ps,Arab,AF,ps-Arab-AF,Afghanistan,,18753110,,derived_point_without_interval,persons,derived_2020_total_speakers_from_official_secondary_share_and_world_bank_denominator,2020 estimate; republished in official report 2023,ASSEC-S018,afghanistan_language_derivation.md; CIA page captured 2023-01-02 language field; Netherlands COI report printed p.72 section 3.1.1.2 and footnotes 502-504; World Bank JSON indicator SP.POP.TOTL AFG 2020,ASSEC-S018;TP-S001-IANA;TP-S002-CLDR,direct national core match; source does not measure script literacy and excludes displaced cohorts,ASSEC-AF-MULTILINGUAL-SPEAKERS-2020,Never sum with Dari or another Afghanistan language share: the source explicitly permits multilingual totals above 100 percent.,new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_base_sensitivity_only,not_rank_ready_marginal_access_edges_unmeasured,medium,medium,medium,requested large underserved priority,"39068979 times 48 percent = 18753109.92, rounded half up. The source defines speakers rather than native speakers and says multilingual totals exceed 100 percent. Integer-share rounding and confidence intervals are unstated, so low/high are blank. National Afghanistan only; displaced cohorts excluded. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-002,NAT-017,POP-PK-004,Asia,South Asia,Pakistani Pashto,Pakistan Pashto Arabic-script national umbrella edition,ps,Arab,PK,ps-Arab-PK,Pakistan,43633946,43633946,43633946,exact_point_reported,persons,census_mother_tongue_persons,2023,PM-S003,"Table 11, national row",PM-S003;TP-S001-IANA;TP-S002-CLDR,Pakistan census label Pushto is broader than an exact production variety,,Use only as the Pakistan Pushto umbrella ceiling; do not split or assign the count to one Pashto variety.,new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,not_rankable_exact_variety_unresolved,not_rankable_until_exact_profile_population_join,high,low,low,requested large underserved priority; D0 profile-resolution case,"PBS Pushto is a broad category; exact variety is unresolved. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-003,NAT-046,ALG-UZ-L001,Asia,Central Asia,Uzbek,Uzbekistan Uzbek Latin-script edition,uz,Latn,UZ,uz-Latn-UZ,Uzbekistan,35650000,35700000,35749999,reported_or_conventional_rounding_interval,persons,preliminary_census_mother_tongue_persons_rounded,2026,ALG-S018,Preliminary-results paragraph published 2026-06-30,ALG-S018;TP-S001-IANA;TP-S002-CLDR,national mother-tongue label matches Uzbek; preliminary release does not measure Latin-script literacy,UZ-MT-2026,Uzbekistan resident mother-tongue interval only; do not add cross-border or diaspora Uzbek observations without disjoint-residence accounting.,new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_interval_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium,medium,requested large underserved priority,"Published 35.7 million converted to persons; low/high are the conventional nearest-0.1-million rounding interval Only the Uzbek mother-tongue category was published in this preliminary release Preliminary census result; post-enumeration coverage was 97.3 percent. The separately stated 91.3 percent does not reconcile exactly with 35.7 million against the exact preliminary census total, so it is not used to narrow the interval. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-004,,POP-IN-COMP-010,Asia,South Asia,Indian Maithili,India Maithili Devanagari edition,mai,Deva,IN,mai-Deva-IN,India,13353347,13353347,13353347,exact_point_reported,persons,census_same_name_mother_tongue_component_persons,2011,PM-S001,"Statement 1, printed p. 7; Statement 1 same-name mother-tongue component",PM-S001;TP-S001-IANA;TP-S002-CLDR,same-name Maithili component preferred over its broader census-language parent; script audience not separately counted,ALT-POP-IN-010-CATEGORY-COMPONENT,Nested in parent POP-IN-010; never sum parent and component. Nepal Maithili is a distinct territory observation and profile.,new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium_high,medium_high,requested large underserved priority,"Component of the broader Maithili census-language category; C-17 overlap remains a category-level proxy. Component is 98.305903% of the printed parent category. Never sum parent and component. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-005,,POP-ID-005,Asia,Southeast Asia,Madurese,Indonesia Madurese Latin-script edition,mad,Latn,ID,mad-Latn-ID,Indonesia,7743533,7743533,7743533,exact_point_reported,persons,daily_language_at_home_age5plus_persons,2010,PM-S005,"Table L4.1, printed p. 47",PM-S005;TP-S001-IANA;TP-S002-CLDR,named BPS Madura daily-home-language cell; no dialect split or Latin-literacy count,,"Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.",new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium,medium,large exact Indonesia residual,"Count is 2010 and not projected. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-006,,POP-ID-006,Asia,Southeast Asia,Minangkabau,Indonesia Minangkabau Latin-script edition,min,Latn,ID,min-Latn-ID,Indonesia,4232226,4232226,4232226,exact_point_reported,persons,daily_language_at_home_age5plus_persons,2010,PM-S005,"Table L4.1, printed p. 47",PM-S005;TP-S001-IANA;TP-S002-CLDR,named BPS Minangkabau daily-home-language cell; Malay educational overlap unmeasured,,"Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.",new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium,medium,large exact Indonesia residual,"Malay overlap requires direct comprehension evidence. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-007,,POP-ID-007,Asia,Southeast Asia,Banjar,Indonesia Banjar Latin-script edition,bjn,Latn,ID,bjn-Latn-ID,Indonesia,3651626,3651626,3651626,exact_point_reported,persons,daily_language_at_home_age5plus_persons,2010,PM-S005,"Table L4.1, printed p. 47",PM-S005;TP-S001-IANA;TP-S002-CLDR,named BPS Banjar daily-home-language cell; Malay educational overlap unmeasured,,"Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.",new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium,medium,large exact Indonesia residual,"Malay overlap not assumed. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-008,,POP-ID-012,Asia,Southeast Asia,Sasak,Indonesia Sasak Latin-script edition,sas,Latn,ID,sas-Latn-ID,Indonesia,2691127,2691127,2691127,exact_point_reported,persons,daily_language_at_home_age5plus_persons,2010,PM-S005,"Table L4.1, printed p. 47",PM-S005;TP-S001-IANA;TP-S002-CLDR,named BPS Lombok/Sasak cell; production register remains a localization decision,,"Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.",new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable_requires_local_register,not_rank_ready_marginal_access_edges_unmeasured,high,medium_low,medium_low,exact Indonesia regional-language residual,"Dialect structure requires production-level review. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-009,,POP-ID-013,Asia,Southeast Asia,Acehnese,Indonesia Acehnese Latin-script edition,ace,Latn,ID,ace-Latn-ID,Indonesia,2550055,2550055,2550055,exact_point_reported,persons,daily_language_at_home_age5plus_persons,2010,PM-S005,"Table L4.1, printed p. 47",PM-S005;TP-S001-IANA;TP-S002-CLDR,named BPS Aceh daily-home-language cell; no cross-Malay coverage assumed,,"Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.",new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium,medium,exact Indonesia regional-language residual,"No cross-Malay comprehension assumption. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-010,,POP-ID-014,Asia,Southeast Asia,Betawi,Indonesia Betawi Latin-script edition,bew,Latn,ID,bew-Latn-ID,Indonesia,2244648,2244648,2244648,exact_point_reported,persons,daily_language_at_home_age5plus_persons,2010,PM-S005,"Table L4.1, printed p. 47",PM-S005;TP-S001-IANA;TP-S002-CLDR,named BPS Betawi cell; Indonesian educational substitutability unmeasured,,"Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.",new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium,medium,exact Indonesia regional-language residual,"Relation to Indonesian does not prove full educational substitutability. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-011,,POP-ID-017,Asia,Southeast Asia,Nias,Indonesia Nias Latin-script edition,nia,Latn,ID,nia-Latn-ID,Indonesia,747168,747168,747168,exact_point_reported,persons,daily_language_at_home_age5plus_persons,2010,PM-S005,"Table L4.1, printed p. 47",PM-S005;TP-S001-IANA;TP-S002-CLDR,named BPS Nias daily-home-language cell; no current projection,,"Separate named BPS daily-home-language cell; the master table does not assert portfolio additivity, so do not sum it with grouped Indonesian rows or infer cross-language coverage.",new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,provisional_gross_exact_rankable,not_rank_ready_marginal_access_edges_unmeasured,high,medium,medium,exact Indonesia regional-language residual,"Count is 2010 and not a current estimate. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
EXP-012,NAT-066,POP-ET-001,Africa,Horn of Africa,Oromo,Ethiopia Oromo Latin-script national umbrella edition,om,Latn,ET,om-Latn-ET,Ethiopia,24930424,24930424,24930424,exact_point_reported,persons,census_mother_tongue_persons,2007,PM-S020,"Table 3.2, printed pp. 91-93",PM-S020;TP-S001-IANA;TP-S002-CLDR,census Oromigna category is broad and its editorial identifier is orm:CSA; exact variety reach is unresolved,,Separate 2007 mother-tongue cell; do not add cross-border observations or family-language proxies without explicit disjoint-universe accounting.,new_observation_and_new_target_profile_vs_105_score_rows,not_negative_control,not_rankable_exact_variety_unresolved,not_rankable_until_exact_profile_population_join,high,low,low,requested large underserved priority; D0 profile-resolution case,"Old census observation; not projected to the present. Target profile is an explicit scoring edition; BCP 47 registration does not prove literacy, comprehension, or a unitary educational standard."
